temperature,mean_density,std_density,n_points
155.0,1.13371091,0.0020736258200602722,30
160.0,1.134494175116279,0.0028934051322543914,430
165.0,1.1333741275000002,0.0026570762424029653,40
175.0,1.1268037666666664,0.002742101099225549,42
180.0,1.1270290794188862,0.0034018511197878073,413
185.0,1.1265766318181816,0.003133325572849976,44
195.0,1.1201968508474578,0.003061676591592899,59
200.0,1.120395957591623,0.0031432141665132403,382
205.0,1.1207522086206896,0.003121200708133133,58
210.0,1.1203639,0.0,1
215.0,1.1163032553846153,0.004102557939148702,65
220.0,1.1158069190082645,0.004104747713621751,363
225.0,1.1164691239436624,0.004205429755021305,71
235.0,1.1066178891891891,0.004158088099001698,74
240.0,1.10718918908046,0.004029568355305834,348
245.0,1.1079315025641026,0.0036985319840980254,78
250.0,1.10285405,0.006944849251423625,2
255.0,1.1006564707865167,0.003581306207529779,89
260.0,1.100412382208589,0.004337032395677876,326
265.0,1.100460325925926,0.0040291379536377785,81
270.0,1.1028703333333334,0.002358542207240156,3
275.0,1.0935315216494845,0.004950332963911513,97
280.0,1.0938547428093646,0.004886150096439912,299
285.0,1.0944557000000001,0.004518730443387831,100
290.0,1.0900630799999997,0.007667839087839521,5
295.0,1.0814642834862385,0.004765044058956724,109
300.0,1.0822718031690142,0.004697208394681265,284
305.0,1.0819274410000002,0.004801969321293652,100
310.0,1.0822816857142856,0.006774746420452082,7
315.0,1.068953637254902,0.005990299715619821,102
320.0,1.0699256003663005,0.005134488345481915,273
325.0,1.0701931526315789,0.005588103985200871,114
330.0,1.0641521176470587,0.00907059594508783,17
335.0,1.0507804853211011,0.006730209878652263,109
340.0,1.05034399561753,0.006420245375044533,251
345.0,1.050535679130435,0.005761851577149885,115
350.0,1.0496729192307692,0.005926355690710386,26
355.0,1.039997835135135,0.005267875555350889,111
360.0,1.0400530523809524,0.0065980099898990075,252
365.0,1.0384156887850466,0.0071419606862558336,107
370.0,1.035906496969697,0.006053581084339924,33
375.0,1.0185497520869564,0.007132528487128953,115
380.0,1.0172685935245902,0.00654854326531138,244
385.0,1.0176596169642858,0.0066403608472297105,112
390.0,1.0145245902941173,0.008601347866339601,34
395.0,0.9956419379646018,0.008364462761013759,113
400.0,0.9957636103111112,0.007350181625683977,225
405.0,0.9944777636363636,0.0085442274925603,121
410.0,0.9932835152173911,0.008684226070314365,46
415.0,0.9826165714999999,0.008019039972974257,120
420.0,0.9817671372169813,0.007930987611988136,212
425.0,0.9796141057627119,0.00840096437469654,118
430.0,0.9798438453061225,0.009069765410230449,49
435.0,0.9666070540384616,0.009300721351355196,104
440.0,0.964389248,0.010586960402765626,215
445.0,0.9660665243442621,0.009633294880161994,122
450.0,0.9634553953030305,0.008992096911111918,66
455.0,0.9485446973636362,0.010375773068184985,110
460.0,0.9463140280000001,0.009352751340911517,210
465.0,0.947192709747899,0.009054909498351972,119
470.0,0.9451753601666666,0.009448044925716334,60
475.0,0.9386467127131782,0.009789732293613943,129
480.0,0.9358832656043956,0.008599681952706925,182
485.0,0.9374767478991597,0.00953545782436359,119
490.0,0.934888458030303,0.010098977742640815,66
495.0,0.9152131596296296,0.013173914133082316,135
500.0,0.9130299056989247,0.01014433155062321,186
505.0,0.9128034163716813,0.009854750926003289,113
510.0,0.9154430662857144,0.010846854726810082,70
515.0,0.9042705062222222,0.010878728153789149,135
520.0,0.9034815117142859,0.010266147057862902,175
525.0,0.9036305298373983,0.010087329355988637,123
530.0,0.9035342040625001,0.01008191490203751,64
535.0,0.8833371607936508,0.012902724827134811,126
540.0,0.8810869749999999,0.010694611592376222,178
545.0,0.8820554808333334,0.010945822480099806,120
550.0,0.8834484532142859,0.01126330834677422,84
555.0,0.8667425438888889,0.012051229098824,126
560.0,0.8665916740828403,0.012973657625058548,169
565.0,0.86427178394958,0.013407360888609434,119
570.0,0.8669674779012347,0.0157570029557235,81
575.0,0.8570096975384616,0.013363082045497156,130
580.0,0.8577783246875,0.012959314083166477,160
585.0,0.8571108606818182,0.01394168967015546,132
590.0,0.8560763313580247,0.01379872247165673,81
595.0,0.8373819902542374,0.017727334323169433,118
600.0,0.832816804935065,0.012952145485999088,154
605.0,0.8337753733600001,0.013850776806627704,125
610.0,0.833551258125,0.016573358949266523,48
615.0,0.8361024089999999,0.020062547792886486,10
620.0,0.8304489733333335,0.004127802766270894,3
625.0,0.82640828,0.0,1
