step,volume,temperature,pressure
250000.0,57116.543,301.18672,-776.43273
250500.0,56798.743,295.20489,-12.264082
251000.0,56934.269,296.28125,-70.041574
251500.0,56523.883,304.42312,1591.8541
252000.0,56620.212,303.37813,-968.08045
252500.0,56705.924,299.7125,-399.79941
253000.0,57015.652,302.57145,-473.15794
253500.0,56333.006,299.28526,-1180.7517
254000.0,56635.789,304.0856,-363.21148
254500.0,56654.443,302.31661,-459.36679
255000.0,56498.312,299.84316,425.82289
255500.0,56418.225,301.06808,357.93561
256000.0,56650.801,294.60332,-879.54049
256500.0,56654.315,299.19272,567.90363
257000.0,56565.697,304.52089,-25.618483
257500.0,56869.201,301.84358,-1332.939
258000.0,56706.841,296.38191,-993.56322
258500.0,56424.781,298.396,1538.6429
259000.0,56944.098,303.94384,-1583.846
259500.0,56507.643,301.7504,413.19311
260000.0,56381.946,298.04812,589.60614
260500.0,56395.92,296.45232,-379.69135
261000.0,56550.736,299.39595,982.8945
261500.0,56392.359,299.71433,1031.6946
262000.0,56602.828,303.26229,1286.9644
262500.0,56232.188,298.69263,352.08002
263000.0,56620.899,297.8204,246.78089
263500.0,56326.817,299.13941,355.62913
264000.0,56636.071,300.54288,102.71009
264500.0,56511.205,304.46934,454.55442
265000.0,56248.074,301.0193,415.56993
265500.0,56395.259,296.85546,170.71218
266000.0,56467.71,299.32287,-949.14747
266500.0,56571.821,298.60596,-473.79536
267000.0,56545.146,304.70878,-478.24201
267500.0,56453.227,302.95058,168.82349
268000.0,56764.958,304.1751,-552.77658
268500.0,56307.196,305.15615,811.86895
269000.0,56519.638,303.71616,-242.30465
269500.0,56722.857,302.1269,-47.567619
270000.0,56895.047,297.90978,-718.49324
270500.0,56829.039,300.30467,-153.67468
271000.0,56339.214,294.88008,146.91752
271500.0,56603.038,296.54788,-503.33376
272000.0,56332.403,296.45416,-1542.6315
272500.0,56750.393,298.1371,-1081.879
273000.0,56565.742,300.51162,-129.88668
273500.0,56870.588,300.40616,-370.74296
274000.0,56747.349,300.0727,-845.36486
274500.0,56189.862,301.93116,732.84902
275000.0,56183.926,302.08262,185.75254
275500.0,56653.304,295.94498,468.38055
276000.0,56421.147,294.57573,1400.0937
276500.0,56505.21,300.45049,-1334.7367
277000.0,56934.882,298.03618,-438.82269
277500.0,56225.382,306.66549,625.31097
278000.0,56764.142,303.04576,-970.75971
278500.0,56972.529,298.79899,1173.3608
279000.0,56774.956,302.76498,-483.96214
279500.0,56932.884,305.76954,-834.91218
280000.0,56807.223,298.87061,185.59163
280500.0,56899.594,298.35955,6.7172928
281000.0,56364.553,301.70048,-259.61186
281500.0,56863.477,297.70031,39.493182
282000.0,56925.17,303.0348,455.22922
282500.0,56716.137,303.71919,808.66956
283000.0,56548.207,296.25317,-1089.3236
283500.0,56904.078,298.37928,-817.74902
284000.0,56783.79,304.8557,-1814.3654
284500.0,56263.736,302.99711,-50.531387
285000.0,56410.681,304.45897,390.61354
285500.0,56471.339,293.97897,843.00856
286000.0,56347.834,298.39359,22.161394
286500.0,56671.881,303.59427,-609.52959
287000.0,55994.195,300.25512,1478.8613
287500.0,56772.897,301.71629,-839.85519
288000.0,56684.635,301.34322,503.26318
288500.0,56111.915,304.59193,-84.639446
289000.0,56361.123,300.3959,674.29439
289500.0,56737.467,296.67588,251.45688
290000.0,56520.914,302.28019,171.66505
290500.0,56296.673,303.07856,1187.0902
291000.0,56218.877,298.85661,792.80393
291500.0,56553.59,301.65997,439.49778
292000.0,56500.25,304.36237,-722.09976
292500.0,56646.117,300.44589,-1684.9138
293000.0,56479.525,300.20307,-515.67318
293500.0,56131.536,299.45184,-258.14914
294000.0,56487.381,300.78014,-24.055458
294500.0,56467.501,296.53265,74.323857
295000.0,56149.178,297.24786,-273.93314
295500.0,56602.288,304.8101,382.6595
296000.0,56758.244,295.50929,994.4829
296500.0,56258.139,301.02539,-322.71744
297000.0,57148.494,304.96552,-2101.0569
297500.0,56216.569,295.08691,218.36694
298000.0,56161.042,301.33365,703.06145
298500.0,57060.755,300.93485,162.21
299000.0,56345.512,299.15371,213.7232
299500.0,56213.744,305.79011,495.35848
300000.0,56706.317,303.78373,-168.69829
300500.0,56509.534,301.27061,-98.7407
301000.0,56808.383,298.37867,-672.88059
301500.0,56297.379,303.70794,328.5133
302000.0,57009.346,295.21335,-1019.0495
302500.0,56241.641,297.00671,484.11305
303000.0,56532.989,297.98574,71.612375
303500.0,56812.086,299.11028,-1682.114
304000.0,56885.487,304.60422,-458.80617
304500.0,56321.976,302.02706,-215.26655
305000.0,56781.053,305.78971,-1754.9554
305500.0,56223.057,295.1016,461.18202
306000.0,56571.942,303.95682,278.39839
306500.0,56617.035,296.92548,-388.68281
307000.0,56880.187,304.34538,383.17912
307500.0,56384.386,299.09022,611.00549
308000.0,56208.496,299.49896,175.11334
