step,volume,temperature,pressure
250000.0,67037.629,298.09641,606.44696
250500.0,65978.95,297.88607,180.51357
251000.0,66707.347,297.46965,139.80287
251500.0,66573.127,299.84532,-146.29244
252000.0,66353.289,308.52644,-302.7776
252500.0,67081.062,299.3538,1033.8421
253000.0,66327.241,298.07846,301.7319
253500.0,66733.871,300.32979,-1087.2367
254000.0,66248.686,301.38613,331.70943
254500.0,66646.375,298.60205,-577.2098
255000.0,66167.385,299.38594,189.6605
255500.0,66853.453,298.48596,-370.45631
256000.0,66302.732,304.36975,130.38213
256500.0,66631.573,300.16269,113.05385
257000.0,66255.066,302.9828,200.65382
257500.0,66710.338,302.79789,102.33979
258000.0,66990.649,299.94272,61.238502
258500.0,66758.744,298.32989,-73.925923
259000.0,66518.503,300.16414,-112.41193
259500.0,66485.839,297.62958,925.96773
260000.0,66508.396,297.98555,-401.74459
260500.0,66401.213,302.25148,389.84863
261000.0,67000.21,303.82968,-646.12015
261500.0,66488.233,297.54228,-1049.7119
262000.0,66787.919,292.22276,273.6183
262500.0,66861.451,297.82097,786.47226
263000.0,66602.416,306.11648,821.95429
263500.0,66715.925,303.36158,-90.535995
264000.0,66834.123,303.3524,742.37131
264500.0,66810.677,301.4448,-451.22917
265000.0,66635.397,303.16927,154.40511
265500.0,67038.377,298.49174,-184.5599
266000.0,66723.397,294.06199,-162.6288
266500.0,66729.38,306.24402,65.591206
267000.0,67073.995,302.41406,-780.9533
267500.0,66746.603,299.9324,-1174.1402
268000.0,66917.597,300.73928,-119.02898
268500.0,66622.897,296.28851,-1162.2691
269000.0,67076.939,308.03121,-485.89452
269500.0,66756.509,301.98955,512.11972
270000.0,67168.015,299.27562,452.01768
270500.0,66377.245,296.95707,-171.3656
271000.0,67237.749,297.8288,-522.64729
271500.0,66472.438,306.27079,1919.0121
272000.0,66882.819,296.24095,326.61313
272500.0,67054.203,298.51804,-1157.6024
273000.0,66568.509,301.96896,820.94926
273500.0,67024.58,305.59391,-632.76576
274000.0,66914.844,296.94216,-709.4218
274500.0,66351.52,301.81339,782.32793
275000.0,67192.74,299.42217,-279.31167
275500.0,66869.375,298.33333,513.71057
276000.0,66753.471,306.7734,-676.99479
276500.0,66855.559,296.27874,-403.48212
277000.0,66667.724,299.85226,-32.047423
