LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.3055864 4.3055864 4.3055864) to (47.216471 47.216471 47.216471)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  8000 atoms
  reading velocities ...
  8000 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  10 = max angles/atom
  scanning dihedrals ...
  16 = max dihedrals/atom
  scanning impropers ...
  7 = max impropers/atom
  orthogonal box = (4.3055864 4.3055864 4.3055864) to (47.216471 47.216471 47.216471)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  7990 bonds
  reading angles ...
  14820 angles
  reading dihedrals ...
  17070 dihedrals
  reading impropers ...
  9120 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
     8 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.206 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.29907967
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00037233462
  estimated relative force accuracy = 1.1212747e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 10 of 10 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 35 | 35 | 35 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              302.89961      854.65618      6084.3855      5099.5363      7222.1868     -2122.6505      2720.6038      5702.7776     -9607.2135     -61.323805     -3327.5028      7902.7016     -5452.6933     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      132.09405      1059.0175      1372.857     
      1000   1000           301.33837     -457.6523       4412.0354      4939.4036      7184.9612     -2245.5576      2659.7404      5673.2        -9640.7604     -63.372237     -3344.1243      7918.9008     -5449.1419     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -1077.259      -1109.1758      813.47789    
      2000   2000           301.23817      386.54352      5422.9574      4977.5303      7182.5723     -2205.042       2699.7221      5712.7359     -9682.9387     -64.634907     -3325.9989      7903.6438     -5447.5713     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      1059.3924     -533.56398      633.80217    
      3000   3000           300.35164      740.23666      5867.0161      5014.0164      7161.4343     -2147.4178      2679.8025      5819.1689     -9758.4035     -63.696434     -3299.2596      7920.6751     -5445.7049     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      2017.5094     -134.49258      337.69314    
      4000   4000           298.84118     -597.11562      4264.8883      4952.9648      7125.4196     -2172.4548      2716.7384      5712.5379     -9683.0955     -64.51044      -3306.4955      7898.8848     -5446.5145     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -705.71557     -1134.2997      48.668365    
      5000   5000           299.76532     -606.23914      4347.531       5046.1208      7147.4542     -2101.3334      2790.9729      5805.3585     -9746.7778     -62.128405     -3341.0627      7899.3573     -5447.0532     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -1055.7819     -1354.1069      591.1714     
      6000   6000           305.57984      824.36363      6248.0258      5298.0838      7286.0928     -1988.009       2786.7615      5814.463      -9691.8223     -63.358124     -3284.5996      7903.6819     -5453.1353     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      724.29663     -408.06062      2156.8549    
      7000   7000           303.50647     -615.44813      4451.372       5160.5737      7236.6565     -2076.0828      2774.4086      5696.2737     -9564.9937     -59.957901     -3382.67        7909.522      -5448.6655     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -41.977876     -577.69302     -1226.6735    
      8000   8000           302.80311     -957.25762      3932.6353      5035.7155      7219.8859     -2184.1704      2706.528       5811.2236     -9706.0921     -60.420833     -3406.6059      7918.5301     -5447.3333     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      983.45241     -957.53825     -2897.687     
      9000   9000           302.8258      -449.64998      4720.922       5239.0688      7220.4268     -1981.358       2786.4915      5748.2394     -9604.741      -65.659734     -3287.4115      7892.9298     -5451.2064     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -919.40763      50.21385      -479.75615    
     10000   10000          298.51893      1135.382       6265.9873      4957.6482      7117.736      -2160.0878      2727.8836      5629.7963     -9677.1156     -63.002612     -3233.2554      7908.7324     -5453.1265     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      1513.123       2388.8724     -495.84927    
     11000   11000          300.6937       221.58908      5455.2587      5199.9141      7169.5901     -1969.676       2741.1821      5818.7633     -9602.6973     -62.089759     -3329.9363      7909.5448     -5444.4428     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      1689.3303     -583.38642     -441.17663    
     12000   12000          301.75513      758.86348      5916.8712      5042.4072      7194.8983     -2152.4911      2676.1289      5839.6271     -9681.6772     -63.461671     -3382.9637      7913.7514     -5453.8959     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      354.80855      66.006661      1855.7752    
