LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.4251115 4.4251115 4.4251115) to (47.096946 47.096946 47.096946)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  8000 atoms
  reading velocities ...
  8000 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  10 = max angles/atom
  scanning dihedrals ...
  16 = max dihedrals/atom
  scanning impropers ...
  7 = max impropers/atom
  orthogonal box = (4.4251115 4.4251115 4.4251115) to (47.096946 47.096946 47.096946)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  7990 bonds
  reading angles ...
  14820 angles
  reading dihedrals ...
  17070 dihedrals
  reading impropers ...
  9120 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
     8 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.194 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.29950139
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00036639003
  estimated relative force accuracy = 1.1033727e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 10 of 10 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 35 | 35 | 35 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              300.93012      717.68902      6034.2891      5221.0165      7175.2272     -1954.2107      2760.1905      5864.823      -9516.1808     -66.420668     -3507.1492      7951.0157     -5440.4892     -536.86391      77700.522      42.671834      42.671834      42.671834      1.0737062      501.94429      966.84201      684.28076    
      1000   1000           301.5447      -1217.0087      3893.7825      5288.0119      7189.881      -1901.8691      2755.8004      5873.802      -9508.4395     -60.559063     -3489.9989      7959.2036     -5431.6777     -531.03539      78553.345      42.827385      42.827385      42.827385      1.0620494     -252.80799     -654.11464     -2744.1033    
      2000   2000           304.52579     -846.0861       4372.3585      5337.8566      7260.9604     -1923.1038      2764.4758      5851.9513     -9536.4037     -64.650997     -3481.1228      7969.5585     -5426.9119     -533.12266      78245.794      42.77142       42.77142       42.77142       1.0662239     -1124.1096     -767.70151     -646.44722    
      3000   3000           295.73497     -389.88217      4650.3635      5096.1004      7051.3567     -1955.2563      2763.5093      5810.4576     -9555.4482     -66.126511     -3425.2161      7951.5882     -5434.0206     -532.13133      78391.562      42.797964      42.797964      42.797964      1.0642413      7.6939076     -590.40891     -586.93152    
      4000   4000           299.00372      1224.5292      6614.9897      5217.01        7129.295      -1912.285       2698.6838      5896.277      -9522.3817     -65.073431     -3437.8492      7954.9711     -5436.9127     -532.88356      78280.902      42.777816      42.777816      42.777816      1.0657457      1882.4756      877.65054      913.46145    
      5000   5000           300.09502     -446.71219      4719.5546      5229.7113      7155.3156     -1925.6042      2656.6409      5941.8384     -9537.2031     -63.997067     -3446.3981      7960.3543     -5436.8396     -532.70674      78306.885      42.782548      42.782548      42.782548      1.0653921     -30.750992     -272.05599     -1037.3296    
      6000   6000           299.25382      22.33207       5145.5774      5119.9788      7135.2584     -2015.2796      2726.1554      5782.1571     -9608.5985     -62.993497     -3385.2442      7964.963      -5431.7189     -530.73374      78597.991      42.835497      42.835497      42.835497      1.0614462     -1067.0102     -617.82572      1751.8321    
      7000   7000           301.37287     -429.97278      4850.1748      5344.8543      7185.784      -1840.9296      2823.7048      5819.8289     -9565.4927     -62.300159     -3368.7359      7946.8439     -5434.7785     -528.78737      78887.296      42.88799       42.88799       42.88799       1.0575535     -25.51291      -311.95347     -952.45197    
      8000   8000           300.58306      115.71162      5336.9804      5203.6114      7166.9521     -1963.3408      2667.3629      5930.9784     -9596.0012     -67.276123     -3420.7717      7950.0056     -5427.6388     -527.82006      79031.869      42.914173      42.914173      42.914173      1.0556189      763.27446     -658.97181      242.83222    
      9000   9000           301.19285      265.96182      5656.382       5349.4768      7181.4916     -1832.0148      2739.5114      5843.9029     -9512.4459     -60.983653     -3374.0058      7958.9611     -5426.9548     -527.20446      79124.152      42.93087       42.93087       42.93087       1.0543877      361.52981     -95.662255      532.01789    
