Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (5.0287264 5.0287264 5.0287264) to (46.017825 46.017825 46.017825)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  6320 atoms
  reading velocities ...
  6320 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  12 = max angles/atom
  scanning dihedrals ...
  21 = max dihedrals/atom
  scanning impropers ...
  8 = max impropers/atom
  orthogonal box = (5.0287264 5.0287264 5.0287264) to (46.017825 46.017825 46.017825)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  6310 bonds
  reading angles ...
  11200 angles
  reading dihedrals ...
  13970 dihedrals
  reading impropers ...
  6300 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    10 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.254 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.33473549
  grid = 45 45 45
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00041465705
  estimated relative force accuracy = 1.2487274e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 140608 91125
Generated 21 of 21 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 42.72 | 42.72 | 42.72 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              300.42109     -1255.4226      22539.186      23800.058      5658.6531      18141.405      3049.0954      5179.8527     -5138.1022      202.12543     -3497.3824      61965.264     -43619.448     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433     -2197.1498      455.25542     -2024.3735    
      1000   1000           305.4351      -39.691266      23873.878      23913.741      5753.0957      18160.646      3007.1418      5231.082      -5194.2268      227.4744      -3442.5364      61944.565     -43612.854     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433     -1612.4541      1526.2307     -32.850308    
      2000   2000           302.43674     -26.227767      23642.562      23668.904      5696.6194      17972.285      2891.5266      5192.5046     -5236.6011      219.6766      -3426.1393      61953.329     -43622.011     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433     -1003.2158      1832.5407     -908.00814    
      3000   3000           307.5869       184.64342      24064.244      23878.799      5793.6265      18085.173      3039.4222      5163.917      -5216.1916      230.09203     -3463.0915      61953.441     -43622.416     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433      1432.7124      83.637148     -962.41925    
      4000   4000           300.51356      291.63638      24042.818      23749.916      5660.3949      18089.521      3009.4091      5139.5898     -5169.7536      219.54315     -3448.7937      61968.755     -43629.229     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433     -108.0707      -7.0884654      990.0683     
      5000   5000           301.21654     -921.17899      22815.927      23741.105      5673.636       18067.469      3008.6281      5172.8135     -5223.166       236.49166     -3470.292       61969.376     -43626.383     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433      775.95481     -945.00848     -2594.4833    
      6000   6000           307.17931     -1159.0278      22823.737      23987.795      5785.9491      18201.846      3028.2696      5230.3476     -5199.3924      225.57262     -3429.9042      61970.419     -43623.466     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433     -999.49485      573.1273      -3050.7157    
      7000   7000           300.76398      48.827706      23817.438      23768.399      5665.1116      18103.287      2980.8195      5243.958      -5193.4745      221.60553     -3512.1504      61982.238     -43619.709     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433      1212.7891     -567.29423     -499.01177    
      8000   8000           302.63362      322.08208      24003.683      23680.203      5700.3279      17979.875      2960.0444      5131.3952     -5232.6004      218.45077     -3502.7965      62027.077     -43621.695     -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433      244.64983      381.79169      339.80471    
      9000   9000           301.27774     -1352.2233      22433.658      23791.751      5674.7888      18116.962      2961.4166      5257.9109     -5158.2772      194.23183     -3474.7816      61962.172     -43625.71      -538.0271       68866.04       40.989099      40.989099      40.989099      1.2168433     -1962.6402     -510.75209     -1583.2777    
