Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (5.1413417 5.1413417 5.1413417) to (45.90521 45.90521 45.90521)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  6320 atoms
  reading velocities ...
  6320 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  12 = max angles/atom
  scanning dihedrals ...
  21 = max dihedrals/atom
  scanning impropers ...
  8 = max impropers/atom
  orthogonal box = (5.1413417 5.1413417 5.1413417) to (45.90521 45.90521 45.90521)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  6310 bonds
  reading angles ...
  11200 angles
  reading dihedrals ...
  13970 dihedrals
  reading impropers ...
  6300 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    10 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.255 seconds
Finding SHAKE clusters ...
     700 = # of size 2 clusters
      10 = # of size 3 clusters
     700 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.33511813
  grid = 45 45 45
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00040815171
  estimated relative force accuracy = 1.2291367e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 140608 91125
Generated 21 of 21 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 43.73 | 43.73 | 43.73 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              351.01949      2295.4879      24478.195      22210.54       5628.1683      16582.371      2072.4635      5303.9552     -5677.6626      202.35139     -3538.9336      61920.629     -43700.431     -546.99466      67737.033      40.763868      40.763868      40.763868      1.237125       109.53589      1421.306       5355.6218    
       100   100            304.45577      934.51082      22317.997      21402.622      4881.5761      16521.046      2021.4542      5177.1883     -5664.2694      222.70021     -3522.9659      61982.353     -43695.414     -551.65902      67164.307      40.648655      40.648655      40.648655      1.2476743      90.521179      1565.68        1147.3313    
       200   200            301.29654      2970.9481      24174.514      21313.442      4830.9215      16482.521      2089.5239      5197.2717     -5658.8816      213.50089     -3561.7349      61907.412     -43704.572     -561.11435      66032.522      40.419037      40.419037      40.419037      1.2690592      2728.8143      4348.7312      1835.2988    
       300   300            303.09397      2360.3763      23534.555      21290.196      4859.7413      16430.455      2034.4265      5144.0333     -5569.6186      200.7854      -3592.8757      61920.276     -43706.573     -568.29521      65198.149      40.248073      40.248073      40.248073      1.2853         1784.3545      2148.096       3148.6785    
       400   400            298.74294      3502.168       24571.973      21257.175      4789.9778      16467.198      2021.8002      5258.1647     -5617.7341      203.12358     -3600.4998      61906.591     -43704.248     -570.90666      64899.919      40.186611      40.186611      40.186611      1.2912062      2807.4097      3720.9907      3978.1036    
       500   500            300.39359      3110.6237      24168.332      21231.01       4816.4439      16414.567      2013.8297      5169.8506     -5616.9586      191.12672     -3588.8064      61951.707     -43706.182     -572.24377      64748.273      40.155287      40.155287      40.155287      1.2942304      3640.5442      2447.7696      3243.5573    
       600   600            297.72683      3320.7325      24315.698      21174.484      4773.6857      16400.798      1950.3549      5196.1828     -5537.8094      196.59876     -3613.8204      61911.026     -43701.735     -571.24383      64861.612      40.178703      40.178703      40.178703      1.2919688      1818.2963      3899.864       4244.0373    
       700   700            297.33411      2500.3309      23499.361      21130.368      4767.3889      16362.979      2016.6537      5166.3213     -5571.3718      183.16296     -3628.1787      61903.958     -43707.566     -570.32046      64966.625      40.200375      40.200375      40.200375      1.2898805      1931.6701      2931.8447      2637.4779    
       800   800            297.86108      3009.3843      24058.634      21204.676      4775.8383      16428.838      2037.6098      5163.9683     -5605.3458      209.54166     -3577.9349      61911.21      -43710.211     -569.79066      65027.032      40.212831      40.212831      40.212831      1.2886822      3470.081       3464.8254      2093.2465    
       900   900            300.75505      2076.9384      23290.849      21322.595      4822.2395      16500.356      2107.0754      5199.2677     -5571.8718      200.42571     -3583.712       61864.439     -43715.268     -570.20056      64980.287      40.203192      40.203192      40.203192      1.2896093      2250.4164      1766.2244      2214.1745    
      1000   1000           301.26075      4689.8301      25781.497      21343.464      4830.3478      16513.116      1993.7841      5218.2021     -5556.5395      204.69798     -3571.4009      61938.726     -43714.354     -571.02056      64886.974      40.183939      40.183939      40.183939      1.2914638      4530.1069      4556.7747      4982.6089    
      1100   1100           299.64083      1604.1334      22825.864      21305.374      4804.3743      16500.999      2077.1496      5227.0804     -5576.6538      192.69534     -3591.2826      61885.464     -43713.454     -570.08807      64993.109      40.205837      40.205837      40.205837      1.2893549      1077.8967      1020.663       2713.8406    
      1200   1200           299.41172      3188.5893      24184.908      21162.293      4800.7008      16361.592      1991.7946      5179.2734     -5641.6738      185.15693     -3563.3301      61918.267     -43707.896     -570.03415      64999.256      40.207104      40.207104      40.207104      1.2892329      2974.2158      3757.2286      2834.3235    
      1300   1300           296.05402      3585.2154      24539.984      21142.385      4746.8642      16395.52       2048.0736      5115.3056     -5611.1167      203.78406     -3598.3744      61941.701     -43703.852     -570.20127      64980.205      40.203176      40.203176      40.203176      1.2896109      4062.2177      2630.252       4063.1765    
      1400   1400           297.11783      3264.2299      24299.494      21205.822      4763.9211      16441.901      2079.1939      5105.6151     -5619.0198      216.76137     -3611.7426      61977.794     -43706.701     -570.15325      64985.679      40.204305      40.204305      40.204305      1.2895023      2069.4023      3596.0018      4127.2855    
      1500   1500           301.33798      2463.7445      23615.575      21280.905      4831.5861      16449.318      1994.1399      5216.4496     -5573.4949      193.5464      -3601.0572      61928.329     -43708.595     -570.23681      64976.155      40.20234       40.20234       40.20234       1.2896913      2128.8561      2958.0755      2304.3019    
      1600   1600           301.67715      3601.9946      24693.119      21282.034      4837.0242      16445.01       2076.5511      5087.7285     -5590.0191      191.82681     -3556.7562      61933.948     -43698.27      -570.60517      64934.21       40.193688      40.193688      40.193688      1.2905244      3271.309       3190.6698      4344.0049    
      1700   1700           300.03693      3751.8843      24795.675      21241.902      4810.7253      16431.177      2049.3722      5156.3805     -5575.4125      195.32856     -3585.5992      61898.458     -43707.35      -570.48592      64947.783      40.196488      40.196488      40.196488      1.2902547      5004.7783      2900.4265      3350.4482    
      1800   1800           299.09324      1752.3309      22893.013      21233.042      4795.5944      16437.447      2071.9626      5145.2794     -5642.8462      224.08033     -3562.6253      61908.503     -43706.907     -570.42762      64954.421      40.197857      40.197857      40.197857      1.2901228     -0.61357915     2997.1663      2260.4399    
      1900   1900           302.32955      4144.9258      25179.846      21251.972      4847.4847      16404.488      1941.5032      5134.4583     -5554.1998      188.61925     -3517.283       61918.778     -43707.388     -570.22257      64977.778      40.202675      40.202675      40.202675      1.2896591      4277.3437      3806.3035      4351.1303    
      2000   2000           306.45458      2926.4939      24045.639      21272.317      4913.6244      16358.692      2024.7176      5091.1752     -5566.9303      214.15127     -3654.7116      61960.43      -43710.14      -570.20671      64979.586      40.203048      40.203048      40.203048      1.2896232      3018.2329      2194.1963      3567.0524    
      2100   2100           298.37979      2228.76        23384.677      21273.332      4784.1551      16489.177      2049.4954      5169.3669     -5607.1996      188.96202     -3586.9893      61976.808     -43701.267     -570.41276      64956.113      40.198206      40.198206      40.198206      1.2900892      1458.2416      2652.0045      2576.034     
      2200   2200           299.97796      2865.6373      23946.326      21229.37       4809.7798      16419.59       2068.8464      5265.163      -5661.0558      195.14682     -3674.9033      61927.293     -43700.9       -569.93292      65010.801      40.209485      40.209485      40.209485      1.289004       1745.207       3832.211       3019.4939    
      2300   2300           298.89018      3694.6205      24649.464      21150.605      4792.3385      16358.267      2021.044       5055.4405     -5596.352       220.88942     -3560.845       61924.148     -43706.058     -570.59575      64935.282      40.193909      40.193909      40.193909      1.2905031      3521.5118      3967.6412      3594.7085    
      2400   2400           297.33239      3835.2138      24757.509      21132.45       4767.3613      16365.089      2082.1766      5152.6586     -5657.348       205.1017      -3587.1367      61875.37      -43705.733     -571.68889      64811.117      40.168274      40.168274      40.168274      1.2929754      3095.2314      4964.0766      3446.3334    
      2500   2500           298.63358      3376.7079      24420.581      21235.122      4788.2243      16446.898      2001.4002      5137.874      -5554.7852      208.20144     -3546.8464      61910.238     -43709.185     -572.80483      64684.852      40.142172      40.142172      40.142172      1.2954993      1950.7729      3801.7337      4377.6172    
