Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (51.046552 51.046552 51.046552)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  6320 atoms
  reading velocities ...
  6320 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  12 = max angles/atom
  scanning dihedrals ...
  21 = max dihedrals/atom
  scanning impropers ...
  8 = max impropers/atom
  orthogonal box = (0 0 0) to (51.046552 51.046552 51.046552)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  6310 bonds
  reading angles ...
  11200 angles
  reading dihedrals ...
  13970 dihedrals
  reading impropers ...
  6300 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    10 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.263 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.33160826
  grid = 54 54 54
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00035492389
  estimated relative force accuracy = 1.0688427e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 226981 157464
Generated 21 of 21 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.5
Per MPI rank memory allocation (min/avg/max) = 48.63 | 48.63 | 48.63 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              300            1301.2132      23753.346      21229.147      5650.7216      15578.425      716.02098      2783.3882     -4570.1791      18.846096     -2238.5036      62009.347     -43140.494     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     1339.1195      1225.956       1338.564     
      1000   500            246.15368      8.4846663      24666.703      24650.244      4636.4863      20013.758      2338.5599      4671.3871     -4235.2337      176.5009      -1886.5124      62062.095     -43113.039     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     124.43806      68.545155     -167.52922    
      2000   1000           309.22998     -599.08891      25774.94       26937.101      5824.5751      21112.526      2884.3697      5206.3951     -4273.4069      212.11737     -1770.2396      61970.547     -43117.257     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1196.6545     -491.94989     -108.66237    
      3000   1500           306.95161     -1175.4953      24442.917      26723.239      5781.6604      20941.578      2824.4233      5025.4328     -4332.0886      205.82852     -1602.9728      61954.051     -43133.096     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -65.417608     -1899.1072     -1561.9612    
      4000   2000           299.5186      -690.83633      25087.767      26427.907      5641.6541      20786.253      2767.1781      5034.1322     -4427.5115      210.95509     -1651.5323      61968.463     -43115.432     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -707.00176     -156.26324     -1209.244     
      5000   2500           295.32597     -82.624434      26038.688      26198.969      5562.6829      20636.286      2762.2825      5014.4968     -4486.9877      200.45938     -1628.6117      61903.196     -43128.549     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     253.48732     -505.19435      3.8337261    
      6000   3000           299.36405     -732.56709      24689.842      26110.935      5638.7431      20472.192      2743.5002      5025.1074     -4588.0665      195.91893     -1705.3247      61933.692     -43132.635     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -656.78459     -255.84744     -1285.0692    
      7000   3500           304.46575     -545.23307      25227.717      26285.404      5734.8374      20550.567      2693.6984      5101.9        -4558.5822      212.40302     -1711.4135      61947.946     -43135.385     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -114.20343     -662.74199     -858.7538     
      8000   4000           297.08457     -755.37057      24671.137      26136.466      5595.8073      20540.658      2829.5308      5160.7781     -4662.6846      213.44625     -1714.4904      61858.898     -43144.82      -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1086.4031     -970.48887     -209.21978    
      9000   4500           301.10277     -1012.6234      24051.049      26015.418      5671.4931      20343.925      2895.1234      5010.3235     -4631.1306      196.52125     -1818.738       61839.789     -43147.964     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1380.2854     -552.59623     -1104.9887    
     10000   5000           291.96817     -377.23316      25070.978      25802.765      5499.4361      20303.329      2745.5906      5014.2198     -4619.5717      212.16823     -1785.9232      61899.478     -43162.633     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -312.91691      3.5953184     -822.37788    
     11000   5500           301.84395      32.552721      25837.177      25774.029      5685.4537      20088.575      2752.3917      5036.1251     -4719.4063      177.56903     -1838.4689      61842.283     -43161.918     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -917.24202      1087.526      -72.625806    
     12000   6000           301.07156     -968.56953      24023.604      25902.514      5670.9053      20231.609      2737.4143      5112.0857     -4692.8197      212.82745     -1848.0593      61859.436     -43149.276     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1105.0233     -1232.4343     -568.25096    
     13000   6500           305.36291     -206.33305      25598.158      25998.42       5751.736       20246.684      2750.2962      5071.948      -4720.8403      211.9372      -1796.958       61888.799     -43158.499     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -483.19475     -1127.7225      991.91804    
     14000   7000           301.98297     -897.47748      24053.752      25794.752      5688.0723      20106.679      2784.9787      5039.9502     -4728.538       203.33298     -1895.5823      61858.584     -43156.047     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1005.1247     -1062.3059     -625.00182    
     15000   7500           298.70472     -1340.9676      23006.299      25607.617      5626.3241      19981.293      2729.6211      5196.9072     -4776.7259      175.74172     -2035.249       61842.003     -43151.005     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1153.2168     -571.65425     -2298.0317    
     16000   8000           302.25587      62.111456      25836.918      25716.429      5693.2125      20023.216      2734.3867      5044.0914     -4739.215       213.25712     -1932.1703      61864.456     -43161.589     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -535.58297      382.03763      339.87971    
     17000   8500           303.1833      -534.20464      24719.557      25755.85       5710.6814      20045.169      2798.5443      5098.0198     -4761.6847      200.81128     -1937.5415      61808.76      -43161.741     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     38.123632     -741.60274     -899.13481    
     18000   9000           300.50662      71.640865      25734.814      25595.839      5660.2642      19935.575      2759.5684      5080.2517     -4788.335       187.3455      -1936.3996      61806.256     -43173.113     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     859.77757     -349.79091     -295.06406    
     19000   9500           300.04492     -1265.7212      23063.671      25519.02       5651.5678      19867.452      2807.9143      5055.7174     -4787.6177      207.6477      -1978.2691      61747.558     -43185.498     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -717.85158     -1849.8622     -1229.4498    
     20000   10000          300.47322     -171.09121      25181.799      25513.696      5659.635       19854.061      2734.0335      5110.4357     -4835.1039      217.316       -2019.8241      61822.054     -43174.851     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     273.76436     -454.6031      -332.43488    
     21000   10500          305.82511     -164.46648      25318.503      25637.549      5760.4419      19877.107      2752.3292      5128.3898     -4810.0341      211.90989     -2054.0083      61825.746     -43177.226     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     372.22374     -659.05739     -206.56578    
     22000   11000          301.79158      300.66377      26165.925      25582.673      5684.4673      19898.205      2882.7992      5037.311      -4844.0277      224.94706     -2032.8991      61798.629     -43168.554     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     530.81103      818.59452     -447.41426    
     23000   11500          300.08561     -475.48835      24542.595      25464.985      5652.3342      19812.651      2826.6475      5177.0975     -4871.7273      196.78542     -2078.1095      61735.519     -43173.562     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -206.9543      -669.58564     -549.92511    
     24000   12000          297.97059     -735.69571      23949.792      25376.955      5612.4963      19764.458      2760.8531      5141.4109     -4873.3413      211.46981     -2071.0723      61765.101     -43169.963     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1765.2844     -412.02892     -29.773822    
     25000   12500          298.01094     -252.81626      24821.007      25311.441      5613.2562      19698.185      2856.7417      5048.6514     -4900.4392      206.52037     -2105.0643      61768.144     -43176.37      -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -371.91173      467.31906     -853.8561     
     26000   13000          299.43288      153.75581      25685.792      25387.524      5640.0395      19747.484      2898.9543      5127.1328     -4938.0797      195.62047     -2142.7146      61785.534     -43178.964     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -490.31297      307.87903      643.70137    
     27000   13500          306.81923     -772.17217      24093.693      25591.615      5779.1669      19812.448      2930.9746      5124.7889     -4904.9265      212.36292     -2161.3605      61779.103     -43168.494     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -168.5708      -1607.2356     -540.71016    
     28000   14000          298.81674     -695.15083      23979.969      25328.479      5628.4341      19700.045      2807.427       5124.5732     -4853.5483      190.04183     -2145.6994      61746.163     -43168.912     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -719.88555     -750.7025      -614.86444    
     29000   14500          298.91353     -159.22449      24989.097      25297.973      5630.2572      19667.716      2823.335       5120.1081     -5014.9325      214.75939     -2109.0769      61798.583     -43165.06      -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -500.2741       338.68747     -316.08682    
     30000   15000          301.1717       73.815477      25522.973      25379.78       5672.7914      19706.988      2806.9506      5007.7498     -4904.2181      209.63686     -2007.9831      61770.54      -43175.688     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     317.46189      43.491585     -139.50704    
     31000   15500          297.3604      -409.57261      24549.495      25344.017      5601.0029      19743.014      2850.6466      5164.9383     -4943.7984      212.55542     -2175.0575      61804.156     -43170.426     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -817.27036     -495.52288      84.0754      
     32000   16000          302.57709     -672.90418      24060.85       25366.204      5699.263       19666.941      2831.4834      5089.6383     -4904.41        221.44754     -2157.1321      61764.264     -43178.35      -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     30.47448      -603.00685     -1446.1802    
     33000   16500          296.65067     -306.89467      24597.869      25193.208      5587.6345      19605.573      2813.8992      5068.5036     -4935.4426      205.83735     -2145.6106      61775.873     -43177.487     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -364.62317     -1093.7414      537.68051    
     34000   17000          294.03158     -806.63597      23466.923      25031.701      5538.3021      19493.399      2783.7696      5061.8224     -4981.4192      198.94263     -2183.8366      61784.881     -43170.761     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -1154.9808     -477.02407     -787.90305    
     35000   17500          302.81324     -217.69746      24923.135      25345.443      5703.7111      19641.731      2873.4554      5013.439      -4964.2152      212.73914     -2085.2857      61765.495     -43173.896     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -685.23684      36.314653     -4.1701984    
     36000   18000          308.69885     -386.42545      24709.669      25459.288      5814.5708      19644.717      2919.8725      5120.0791     -4979.2214      210.34058     -2188.8392      61736.03      -43173.544     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     4.7346579     -448.52864     -715.48237    
     37000   18500          299.61026     -586.40549      24202.291      25339.848      5643.3806      19696.467      2849.2597      5131.8809     -4947.8391      238.80831     -2153.7916      61748.242     -43170.093     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -656.36364     -794.74074     -308.11208    
     38000   19000          301.34092     -282.85452      24672.426      25221.13       5675.9787      19545.151      2885.3299      5058.2833     -4976.7723      200.83916     -2169.3071      61719.856     -43173.078     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -631.79941     -176.46136     -40.302784    
     39000   19500          299.00712     -70.232291      25088.704      25224.947      5632.02        19592.927      2862.5984      5208.1137     -4980.5417      209.88815     -2274.8953      61741.133     -43173.369     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999     171.54174     -499.11556      116.87695    
     40000   20000          302.43313     -501.76932      24227.147      25200.519      5696.5514      19503.968      2909.061       5045.507      -4985.3308      219.53465     -2245.1238      61743.486     -43183.166     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -303.71237     -359.92927     -841.66634    
     41000   20500          295.81794     -1022.5413      23148.268      25131.876      5571.9493      19559.927      2924.9031      5072.9636     -5054.5301      200.65549     -2169.4325      61755.275     -43169.907     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -604.44717     -1324.2958     -1138.881     
     42000   21000          293.96814     -928.90525      23302.993      25104.959      5537.107       19567.852      2951.992       5021.08       -4960.3451      219.8232      -2213.107       61727.49      -43179.081     -278.5544       133014.58      51.046552      51.046552      51.046552      0.62999999    -532.34654     -647.34165     -1607.0276    
