Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (51.046552 51.046552 51.046552)
  1 by 1 by 1 MPI processor grid
WARNING: Pair style lj/class2/coul/long/kk in data file differs from currently defined pair style lj/class2/coul/cut/kk (src/read_data.cpp:811)
  reading atoms ...
  6320 atoms
  reading velocities ...
  6320 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  12 = max angles/atom
  scanning dihedrals ...
  21 = max dihedrals/atom
  scanning impropers ...
  8 = max impropers/atom
  orthogonal box = (0 0 0) to (51.046552 51.046552 51.046552)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  6310 bonds
  reading angles ...
  11200 angles
  reading dihedrals ...
  13970 dihedrals
  reading impropers ...
  6300 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    10 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.253 seconds
Generated 21 of 21 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/cut/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.5
Per MPI rank memory allocation (min/avg/max) = 23.8 | 23.8 | 23.8 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              600            966.53         31285.762      29410.809      11301.443      18109.365      2913.1112      5123.3176     -5133.476       213.04546     -2254.4911      17247.858      133014.58      51.046552      51.046552      51.046552      0.62999999     1619.4072      743.12578      537.05699    
      1000   500            314.09774      60.245755      25339.737      25226.642      5916.2629      19310.379      2869.9145      5249.7625     -5030.6613      211.45485     -2102.7528      18112.661      128718.28      50.490934      50.490934      50.490934      0.65102784    -834.27414      511.1458       503.86561    
      2000   1000           303.92526     -70.136643      24909.99       25036.201      5724.6568      19311.544      2777.259       5150.6823     -4941.374       199.20331     -2280.6346      18406.408      123389.36      49.784318      49.784318      49.784318      0.67914433    -672.69078      524.4738      -62.192948    
      3000   1500           298.41157      1040.593       27219.89       25405.723      5620.8024      19784.92       2766.6303      5114.3627     -4949.9623      178.86576     -2242.994       18918.018      119541.99      49.261408      49.261408      49.261408      0.70100208     1261.5911      679.41619      1180.7717    
      4000   2000           298.45482      268.54938      25678.665      25218.184      5621.617       19596.567      2684.5977      5030.3536     -4914.5655      189.05536     -2269.7737      18876.9        117573.96      48.989579      48.989579      48.989579      0.71273591     691.29459     -980.72892      1095.0825    
      5000   2500           304.35685      1325.466       28248.361      26017.707      5732.7861      20284.921      2687.0006      5062.4311     -4913.4197      176.33091     -2279.3263      19551.904      115395.21      48.685084      48.685084      48.685084      0.72619291     2552.0086      981.71501      442.67442    
      6000   3000           303.85567      89.060917      25518.981      25370.633      5723.3461      19647.287      2844.064       5136.5246     -4920.798       196.52654     -2329.9264      18720.897      114213.28      48.518296      48.518296      48.518296      0.73370783     277.89839     -939.52257      928.80694    
      7000   3500           296.11415      627.11213      26555.151      25536.087      5577.5288      19958.558      2732.3149      5186.7503     -4941.6887      189.33574     -2305.1367      19096.983      111424.45      48.120135      48.120135      48.120135      0.75207173     1216.4044      347.58894      317.34301    
      8000   4000           299.61244      973.50178      28367.93       26823.003      5643.4216      21179.581      2764.5722      5050.9748     -4962.1312      199.96271     -2410.6526      20536.855      108816.68      47.741768      47.741768      47.741768      0.77009497     1086.5669      550.12744      1283.811     
      9000   4500           299.10806      739.5677       27492.908      26347.248      5633.9213      20713.327      2741.3984      5229.6431     -4888.161       203.18856     -2433.5784      19860.836      106218.88      47.358787      47.358787      47.358787      0.78892925     1564.9095     -233.15873      886.95232    
     10000   5000           299.53166      1605.7534      29129.892      26695.464      5641.9001      21053.564      2753.366       5206.2091     -4878.4318      205.95984     -2378.6727      20145.134      103954.24      47.019795      47.019795      47.019795      0.80611608     2344.2629      945.81486      1527.1825    
     11000   5500           301.56931      1533.275       29215.001      26921.39       5680.2807      21241.109      2672.1491      5163.179      -4850.7739      210.85362     -2371.8685      20417.57       102570.84      46.810286      46.810286      46.810286      0.81698838     2316.8709      1686.0168      596.93724    
     12000   6000           300.15126      943.90393      27615.555      26240.225      5653.5707      20586.654      2778.9183      5073.2602     -4828.6932      184.1672      -2421.2966      19800.298      99908.665      46.401753      46.401753      46.401753      0.83875788     1183.3248      2072.5426     -424.15562    
     13000   6500           297.12043      1196.3897      26847.133      25132.269      5596.4827      19535.786      2715.2022      5114.8353     -4872.349       213.1112      -2469.1886      18834.175      98283.605      46.148794      46.148794      46.148794      0.85262624     2774.2573      877.30839     -62.396751    
     14000   7000           303.40524      1419.1067      27779.976      25785.158      5714.8618      20070.297      2732.2587      5123.9093     -4851.2905      194.44672     -2483.7393      19354.712      96385.646      45.849801      45.849801      45.849801      0.86941557     2803.6505      1300.4769      153.19262    
     15000   7500           304.00928      2195.4587      29076.26       26021.578      5726.2393      20295.338      2716.5518      5192.7377     -4811.9977      203.8501      -2506.2354      19500.432      95403.638      45.693558      45.693558      45.693558      0.87836463     2281.2217      2798.0573      1507.097     
     16000   8000           298.48508      2500.5873      30338.402      26905.812      5622.1869      21283.625      2646.8515      5137.966      -4826.8522      210.11717     -2484.4247      20599.967      94124.804      45.488473      45.488473      45.488473      0.8902986      2931.1582      3113.7018      1456.9019    
     17000   8500           297.06512      758.72069      27138.345      26122.732      5595.441       20527.292      2766.342       5127.6245     -4744.3251      230.63056     -2522.854       19669.874      91784.731      45.108337      45.108337      45.108337      0.91299697     504.91297      1256.5797      514.66941    
     18000   9000           300.47162      2664.9835      29298.71       25800.845      5659.605       20141.24       2664.1304      5126.6957     -4818.6409      217.58475     -2597.0455      19548.516      89997.949      44.813707      44.813707      44.813707      0.93112323     3162.5103      3130.9239      1701.5162    
     19000   9500           302.42546      2094.8472      28559.925      25885.075      5696.4069      20188.668      2706.076       5155.13       -4714.0726      201.32592     -2650.481       19490.69       87553.026      44.404166      44.404166      44.404166      0.9571249      2403.6106      2518.708       1362.2231    
     20000   10000          304.61132      2223.3658      29642.163      26865.576      5737.5792      21127.997      2715.9253      5254.9793     -4681.6948      192.34991     -2658.4433      20304.881      85629.703      44.076606      44.076606      44.076606      0.97862281     2611.3129      2256.3905      1802.3938    
     21000   10500          305.9386       2117.9187      27551.785      24977.12       5762.5796      19214.541      2735.5026      5131.1661     -4709.2198      228.86891     -2746.7607      18574.984      83355.757      43.682941      43.682941      43.682941      1.0053197      2229.7691      2716.7253      1407.2618    
     22000   11000          305.78366      1888.2401      29176.579      26918.181      5759.6611      21158.52       2815.4437      5114.6733     -4717.515       219.58554     -2765.8875      20492.22       82010.117      43.446601      43.446601      43.446601      1.0218152      2702.7794      2569.7359      392.20511    
     23000   11500          300.88644      2423.746       27888.697      25043.758      5667.4185      19376.34       2773.4758      5147.8818     -4698.3548      212.00769     -2792.1522      18733.482      80484.079      43.175429      43.175429      43.175429      1.0411895      2859.2697      2182.4424      2229.5258    
