Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (5.0985463 5.0985463 5.0985463) to (45.948005 45.948005 45.948005)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  6320 atoms
  reading velocities ...
  6320 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  12 = max angles/atom
  scanning dihedrals ...
  21 = max dihedrals/atom
  scanning impropers ...
  8 = max impropers/atom
  orthogonal box = (5.0985463 5.0985463 5.0985463) to (45.948005 45.948005 45.948005)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  6310 bonds
  reading angles ...
  11200 angles
  reading dihedrals ...
  13970 dihedrals
  reading impropers ...
  6300 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    10 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.252 seconds
Finding SHAKE clusters ...
     700 = # of size 2 clusters
      10 = # of size 3 clusters
     700 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.33497289
  grid = 45 45 45
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00041061248
  estimated relative force accuracy = 1.2365473e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 140608 91125
Generated 21 of 21 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 43.72 | 43.72 | 43.72 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              355.11618      3473.2056      25615.018      22162.267      5693.8537      16468.413      2106.6881      5172.8259     -5695.2152      203.19602     -3571.3308      61945.889     -43693.64      -543.56355      68164.606      40.849459      40.849459      40.849459      1.229365       3684.8099      4078.6157      2656.1913    
       100   100            295.91204     -1434.2822      19897.15       21329.148      4744.5877      16584.56       2127.3052      5254.7922     -5657.3995      199.79586     -3545.773       61897.016     -43691.177     -541.22441      68459.21       40.908224      40.908224      40.908224      1.2240746     -1403.0238     -1098.2624     -1801.5603    
       200   200            299.95708     -105.57407      21281.658      21387.929      4809.445       16578.484      2129.4452      5277.6009     -5719.0503      225.31803     -3573.6714      61934.949     -43696.107     -536.81869      69021.061      41.019832      41.019832      41.019832      1.2141103     -330.34645     -521.65674      535.28098    
       300   300            301.10998     -1867.6702      19620.451      21512.335      4827.9303      16684.404      2147.4789      5394.1201     -5699.2867      204.28156     -3530.8398      61861.622     -43692.972     -533.44654      69457.374      41.106085      41.106085      41.106085      1.2064836     -2304.8463     -2183.3065     -1114.8577    
       400   400            301.71489     -1826.1597      19669.437      21524.545      4837.6293      16686.915      2145.0519      5273.2929     -5703.8351      202.50249     -3498.6854      61946.176     -43677.587     -531.9303       69655.359      41.145105      41.145105      41.145105      1.2030543     -2374.3282     -1106.1056     -1998.0452    
       500   500            304.79039     -258.82204      21154.87       21418.207      4886.9413      16531.266      2072.1243      5196.1527     -5700.7875      219.41767     -3501.6218      61932.95      -43686.97      -531.09763      69764.566      41.166597      41.166597      41.166597      1.2011711     -625.00768     -597.42247      445.96405    
       600   600            295.99813     -341.19266      21001.182      21348.133      4745.968       16602.165      2103.888       5149.4111     -5707.1181      195.56527     -3400.7533      61953.801     -43692.629     -531.39334      69725.743      41.158959      41.158959      41.158959      1.2018399     -891.39958     -847.77614      715.59775    
       700   700            296.22556     -1502.7629      19843.715      21370.021      4749.6146      16620.406      2100.9513      5286.6093     -5688.03        199.41934     -3479.536       61887.732     -43686.739     -532.02756      69642.625      41.142598      41.142598      41.142598      1.2032743     -1803.6511     -1941.5588     -763.0789     
       800   800            300.61328     -1193.2238      20211.693      21418.056      4819.9664      16598.09       2052.4502      5213.5797     -5669.6996      209.39689     -3498.3685      61971.91      -43681.179     -534.47722      69323.434      41.079646      41.079646      41.079646      1.2088146     -2295.1822      11.190316     -1295.6793    
       900   900            302.1975      -1032.9603      20403.929      21443.906      4845.3674      16598.538      2124.461       5310.4255     -5722.5232      211.61633     -3580.6403      61940.19      -43684.991     -536.71667      69034.181      41.022431      41.022431      41.022431      1.2138796     -124.958       -1740.2243     -1233.6986    
      1000   1000           301.0021       177.38409      21615.979      21437.953      4826.2006      16611.752      2052.9515      5239.5316     -5693.706       230.969       -3475.8205      61944.869     -43687.043     -538.41409      68816.542      40.979276      40.979276      40.979276      1.2177186     -77.986748     -33.690387      643.8294     
      1100   1100           293.28017     -1774.3728      19561.025      21344.021      4702.3889      16641.632      2243.9612      5311.2122     -5750.6551      198.78855     -3556.7553      61876.947     -43681.867     -537.74914      68901.636      40.99616       40.99616       40.99616       1.2162147     -2455.7494     -1827.126      -1040.2429    
      1200   1200           299.24046     -546.97035      20718.918      21269.435      4797.955       16471.48       2086.8239      5229.1464     -5729.8485      208.80494     -3597.0392      61947.121     -43673.529     -536.88181      69012.946      41.018224      41.018224      41.018224      1.2142531     -719.38777     -1216.7165      295.19323    
