Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.8584321 4.8584321 4.8584321) to (46.892566 46.892566 46.892566)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  7520 atoms
  reading velocities ...
  7520 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  17 = max angles/atom
  scanning dihedrals ...
  40 = max dihedrals/atom
  scanning impropers ...
  14 = max impropers/atom
  orthogonal box = (4.8584321 4.8584321 4.8584321) to (46.892566 46.892566 46.892566)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  7510 bonds
  reading angles ...
  14000 angles
  reading dihedrals ...
  18910 dihedrals
  reading impropers ...
  8500 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
    11 = max # of 1-3 neighbors
    15 = max # of special neighbors
  special bonds CPU = 0.099 seconds
  read_data CPU = 0.442 seconds
Finding SHAKE clusters ...
      10 = # of size 2 clusters
     490 = # of size 3 clusters
    1010 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.003 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.33292532
  grid = 45 45 45
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00029006286
  estimated relative force accuracy = 8.735157e-07
  using double precision cuFFT
  3d grid and FFT values/proc = 140608 91125
Generated 15 of 15 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 64.5 | 64.5 | 64.5 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              367.35305      32.719236      25941.427      25905.988      6766.0646      19139.923      2415.6059      6548.5072     -1932.2737      190.78453     -313.60555      43010.865     -30779.96      -528.47546      74268.783      42.034134      42.034134      42.034134      1.1196986      383.5959       1529.9436     -1815.3818    
       100   100            300.04367     -594.19928      24100.305      24743.513      5526.3319      19217.182      2451.2784      6617.0818     -1891.8973      197.92972     -386.72827      43012.981     -30783.464     -528.79488      74223.921      42.025668      42.025668      42.025668      1.1203753     -1325.0482     -95.08023      -362.46946    
       200   200            296.66778      505.10116      25180.701      24635.768      5464.1533      19171.615      2438.8768      6522.6482     -1931.3927      210.66131     -344.3216       43049.856     -30774.713     -530.56955      73975.654      41.97876       41.97876       41.97876       1.1241354      814.99071      76.108448      624.20433    
       300   300            296.62455      1051.935       25671.721      24541.331      5463.3571      19077.973      2372.2784      6477.0149     -1958.2885      209.31572     -277.42102      43039.528     -30784.454     -532.68118      73682.402      41.923216      41.923216      41.923216      1.1286094      1076.6606      197.90706      1881.2372    
       400   400            295.04296      1323.4649      26006.973      24588.95       5434.2266      19154.723      2393.9673      6521.6837     -1898.0623      199.54169     -296.2152       43019.184     -30785.375     -534.23994      73467.418      41.882403      41.882403      41.882403      1.131912       455.7312       2865.6769      648.98652    
       500   500            298.30922      939.4462       25671.622      24667.715      5494.3861      19173.329      2469.247       6493.8518     -1918.0312      202.91998     -317.52042      43024.04      -30781.179     -535.65527      73273.3        41.845483      41.845483      41.845483      1.1349107     -142.03284      1559.5635      1400.808     
       600   600            301.1229       507.5092       25228.836      24687.146      5546.2097      19140.936      2425.9654      6521.1305     -1859.6783      196.67813     -386.16942      43028.042     -30785.032     -536.29065      73186.488      41.828951      41.828951      41.828951      1.1362569      607.91268      2009.0987     -1094.4838    
       700   700            300.02469     -569.61934      24080.631      24689.733      5525.9823      19163.75       2457.2805      6629.4342     -1891.109       207.08093     -487.41365      43030.113     -30781.636     -535.30605      73321.101      41.85458       41.85458       41.85458       1.1341708     -118.01832     -975.42616     -615.41355    
       800   800            298.23277      943.85398      25730.577      24720.272      5492.978       19227.293      2456.4796      6544.173      -1930.6351      209.37601     -308.84911      43039.291     -30782.542     -534.76005      73395.963      41.86882       41.86882       41.86882       1.133014       2608.3118      530.95027     -307.70009    
       900   900            300.2847      -191.65771      24571.697      24777.605      5530.7713      19246.834      2453.05        6641.815      -1923.2241      195.02962     -350.59722      43015.419     -30784.659     -532.79314      73666.919      41.920279      41.920279      41.920279      1.1288466     -654.78134      401.57504     -321.76685    
