step,volume,temperature,pressure
449900.0,164969.67,299.42351,-179.49217
450000.0,164452.64,300.17346,-8.4498931
450100.0,163726.11,299.18439,5.9423172
450200.0,163252.76,298.5403,848.15831
450300.0,163318.84,296.87889,341.24634
450400.0,163637.32,304.16613,-419.03569
450500.0,163821.35,302.86846,-460.05054
450600.0,163781.03,301.71534,-91.694101
450700.0,163544.45,298.85713,-235.19592
450800.0,163344.93,299.48757,-190.23833
450900.0,163424.55,299.13615,282.97999
451000.0,163624.28,306.24565,-212.52327
451100.0,163878.81,303.23941,-89.03648
451200.0,164038.73,299.77372,-132.17908
451300.0,164113.31,299.26891,-395.03697
451400.0,164273.22,299.07926,141.427
451500.0,164417.22,300.1885,-447.24624
451600.0,164329.87,305.42671,313.05092
451700.0,164158.1,300.83103,-673.70418
451800.0,163818.91,302.9864,-221.9877
451900.0,163648.46,301.20653,52.205599
452000.0,163579.46,297.96382,658.04081
452100.0,163601.84,299.4146,-674.27638
452200.0,163516.03,299.35119,41.219677
452300.0,163247.24,299.79338,696.00044
452400.0,163315.25,301.85438,-324.80036
452500.0,163537.05,299.66969,-53.025118
452600.0,163847.96,298.95915,-88.156957
452700.0,164110.47,299.72134,-16.949959
452800.0,164105.98,298.20018,-130.92902
452900.0,163836.5,303.86151,-206.61813
453000.0,163830.11,301.14261,625.25169
453100.0,163936.4,300.01379,-798.43937
453200.0,164080.23,297.7628,361.32247
453300.0,164364.1,296.64931,-259.11628
453400.0,164689.16,301.29611,190.0756
453500.0,164987.6,302.89238,-297.13549
453600.0,165033.46,304.60955,-202.20738
453700.0,165135.11,302.24753,338.88661
453800.0,165238.71,299.22197,33.611343
453900.0,165019.57,299.35563,275.64128
454000.0,164563.54,298.81572,13.435766
454100.0,164281.28,298.61457,-422.39102
454200.0,163880.11,301.21782,469.53285
454300.0,163568.07,303.17382,-228.81396
454400.0,163297.34,297.16863,911.77177
454500.0,163420.9,296.5781,485.00988
454600.0,163857.2,298.68947,-496.29021
454700.0,164216.05,299.15295,373.12138
454800.0,164376.88,299.07927,615.16227
454900.0,164477.61,300.76743,-187.71742
455000.0,164392.35,298.98063,-324.89866
455100.0,164085.97,297.46962,-257.48413
455200.0,163672.59,299.17734,571.83046
455300.0,163498.9,303.84433,462.03607
455400.0,163565.37,301.10662,-120.9544
455500.0,163650.72,300.96809,640.00204
455600.0,163792.31,298.38209,714.6275
455700.0,163969.56,300.64141,-469.42778
455800.0,163900.37,301.82121,-610.80564
455900.0,163934.37,302.39454,191.29972
456000.0,164148.56,308.33624,150.45735
456100.0,164341.48,299.04349,-1007.9853
456200.0,164452.14,302.17909,-232.58133
456300.0,164736.26,301.30768,161.02701
456400.0,164649.56,299.11404,-175.31628
456500.0,164229.69,299.44615,-386.90462
456600.0,163849.57,302.63092,459.13891
456700.0,163739.26,300.49144,332.01352
456800.0,163674.09,303.18444,555.00057
456900.0,163705.44,299.78294,-212.01418
457000.0,163678.11,300.09982,83.159987
457100.0,163741.59,300.16909,365.26061
457200.0,163799.86,298.65304,-38.039091
457300.0,163841.59,302.56042,32.468962
457400.0,163968.46,301.71807,381.48204
457500.0,164036.14,301.211,55.803648
457600.0,163915.8,300.9166,-379.11693
457700.0,163644.98,301.27132,-315.96347
457800.0,163473.7,299.26234,531.46407
457900.0,163339.36,299.86706,-768.37793
458000.0,163282.0,302.03276,-145.84205
458100.0,163551.47,300.34502,465.90066
458200.0,163776.91,297.13341,108.50591
458300.0,163917.81,298.51057,-426.91108
458400.0,164082.85,297.8217,-190.89641
458500.0,164278.72,301.02445,177.20881
458600.0,164582.56,300.19235,755.93496
458700.0,164653.92,300.35742,352.90944
458800.0,164833.29,302.10871,-444.84185
458900.0,164693.23,298.26213,223.52324
459000.0,164247.23,301.27847,-261.57558
459100.0,163899.27,302.79047,-304.16736
459200.0,163736.78,299.7835,-116.92864
459300.0,163690.99,298.15299,760.23827
459400.0,163637.83,296.78306,6.4097463
459500.0,163576.86,301.38703,-51.597036
459600.0,163869.31,301.61993,320.41613
459700.0,164197.09,302.82864,-654.37038
459800.0,164211.05,300.20497,368.93351
459900.0,164273.67,301.18974,-224.56724
460000.0,164305.38,297.66627,-682.50378
460100.0,164202.27,299.54513,-269.63287
460200.0,164328.72,299.54633,271.55417
460300.0,164328.63,298.93178,175.83988
460400.0,164197.2,301.3587,-248.46548
460500.0,164139.42,301.41027,636.51273
460600.0,164073.62,301.44625,-498.86188
460700.0,164123.78,298.49689,-328.20612
460800.0,164153.83,298.86626,183.04792
460900.0,164256.06,296.98754,497.94575
461000.0,164582.6,302.28468,267.19079
461100.0,164886.15,299.52089,-497.31362
461200.0,165053.96,300.81946,364.42925
461300.0,165179.49,297.04947,-723.99681
461400.0,164947.06,299.23505,-143.90319
