step,volume,temperature,pressure
250000.0,108385.43,300.27316,-201.46041
250500.0,106618.8,303.21702,-1163.9099
251000.0,107384.22,303.4391,787.3516
251500.0,107963.61,301.0765,308.76099
252000.0,108166.5,299.06411,-771.68139
252500.0,107825.35,296.5539,792.07821
253000.0,107673.49,297.26293,-136.20242
253500.0,108025.03,298.07305,358.85563
254000.0,107306.06,300.14507,371.55697
254500.0,107588.84,296.96578,292.87937
255000.0,108017.48,300.34548,-301.59145
255500.0,107792.19,303.24563,-886.33805
256000.0,107580.02,301.69879,900.3615
256500.0,107321.67,297.17715,-367.39122
257000.0,107595.44,296.17765,-159.5216
257500.0,107614.81,297.17463,-97.633061
258000.0,107846.17,300.05642,1801.6387
258500.0,107824.81,305.25315,-459.01628
259000.0,106894.48,300.07807,156.37509
259500.0,108048.47,299.21712,-1266.3435
260000.0,106919.08,302.98112,678.32292
260500.0,107226.72,304.37978,398.96162
261000.0,107715.49,301.50322,-650.61636
261500.0,107355.56,299.27233,-208.22123
262000.0,107420.34,297.41749,-416.39903
262500.0,107721.22,301.36193,-514.60415
263000.0,107500.95,298.57567,-511.49378
263500.0,108032.55,300.16931,-438.55142
264000.0,107019.12,301.71784,518.40325
264500.0,107501.21,300.82549,-1395.2134
265000.0,107605.54,297.1508,-287.73195
265500.0,107446.27,301.8359,-53.384455
266000.0,107705.24,295.72471,469.52448
266500.0,108007.55,295.53585,-1157.4564
267000.0,107676.55,299.83466,322.29264
267500.0,106896.3,300.20362,442.42978
268000.0,107953.36,304.22084,-1642.1799
268500.0,107990.24,298.11086,-223.77374
269000.0,107642.77,298.85077,835.57468
269500.0,107503.8,298.69911,209.3
270000.0,107515.74,299.04487,-623.15876
270500.0,108277.3,300.73232,-876.77206
271000.0,107103.29,295.73559,747.33856
271500.0,108215.53,298.96086,289.1223
272000.0,108091.52,300.99635,283.43229
272500.0,107439.61,297.91368,347.23395
273000.0,107889.99,303.49125,807.32386
273500.0,107324.01,297.14056,-242.45944
274000.0,108173.99,294.91904,213.66012
274500.0,108169.29,296.95797,-252.90591
275000.0,107749.48,301.87563,-570.46061
275500.0,107224.16,304.03731,385.89508
276000.0,108285.97,299.18175,-36.845143
276500.0,108015.04,297.0585,425.07524
277000.0,107701.75,295.71934,-834.91197
277500.0,107483.54,299.94885,116.68368
278000.0,107666.43,302.65281,-82.072583
278500.0,107721.58,299.73045,-161.40851
279000.0,107887.84,299.989,74.55323
279500.0,107237.45,298.41667,-171.62468
280000.0,107544.87,301.09068,-127.2759
280500.0,107699.56,300.92743,-299.46535
281000.0,107088.61,304.71456,-198.56975
281500.0,107406.68,298.64429,501.04786
282000.0,107358.97,299.01571,-1100.9766
282500.0,107124.67,299.38447,1184.2544
283000.0,107667.77,302.67934,9.3053447
283500.0,106992.76,305.99186,-381.6406
284000.0,107509.62,302.78271,74.724305
284500.0,108429.79,302.22639,-458.88497
285000.0,106783.92,301.09075,-7.1399869
285500.0,107713.47,292.80517,195.77905
286000.0,107774.79,301.72312,270.30835
286500.0,107106.89,302.10708,-954.64498
287000.0,106825.01,299.53178,536.39861
287500.0,107287.72,298.1105,-478.3763
288000.0,107380.7,300.19535,-242.21444
288500.0,107528.24,295.91799,-18.987855
289000.0,107242.53,300.71979,-277.8404
289500.0,107168.16,303.58688,115.53837
290000.0,108001.12,301.16576,-200.76251
290500.0,106890.08,299.74679,-149.66093
291000.0,107403.19,300.32479,-69.156149
291500.0,107410.85,299.1681,96.021896
292000.0,107908.44,300.40839,-295.86174
292500.0,107359.76,299.40669,25.569191
293000.0,107167.29,302.89391,735.35391
293500.0,107994.23,300.62345,424.96659
294000.0,107648.66,300.73193,-203.92113
294500.0,107509.99,295.32418,670.48964
295000.0,107064.18,296.94432,-55.757497
295500.0,107985.57,302.22322,-233.40791
296000.0,106919.86,295.50396,362.3773
296500.0,107814.79,299.6583,-878.07387
297000.0,107201.46,300.0159,11.310409
297500.0,107011.36,302.58451,942.25515
298000.0,107456.13,299.61999,737.69177
298500.0,107838.26,301.60748,61.02401
299000.0,108136.24,299.76994,-553.14921
299500.0,107699.42,304.23589,246.38998
300000.0,108147.38,302.65338,-140.6896
300500.0,107349.37,304.56512,356.37691
301000.0,106894.71,298.18528,117.26053
301500.0,107502.98,301.89663,136.11386
302000.0,107878.62,304.62825,490.72485
302500.0,107486.05,305.54461,-8.0466424
303000.0,108238.81,305.47062,-677.7209
303500.0,107965.49,298.30189,91.254747
304000.0,107231.59,296.95558,78.920419
304500.0,107878.5,297.15301,-655.89441
305000.0,108067.59,300.9713,-286.51614
305500.0,107605.18,302.39236,781.51171
306000.0,108695.69,297.31946,-1089.9825
306500.0,107611.06,299.01348,278.22365
307000.0,108117.29,297.84198,-95.182093
307500.0,107958.24,303.36671,-536.83836
308000.0,108171.62,302.81372,436.61114
308500.0,107891.29,302.63691,-64.492475
309000.0,107939.81,301.58984,357.28021
309500.0,108398.74,297.56078,1509.6053
310000.0,107217.29,299.21656,-138.9839
310500.0,107725.56,296.63264,388.36339
