step,volume,temperature,pressure
1000000.0,70420.673,299.38287,-882.16492
1001000.0,70241.642,302.22522,-172.36894
1002000.0,70508.074,299.13544,240.49554
1003000.0,69746.914,300.7362,124.15035
1004000.0,70255.107,301.98212,635.41315
1005000.0,70352.513,297.8693,1948.8371
1006000.0,70306.518,300.60497,-959.21729
1007000.0,70081.107,299.21876,-91.956097
1008000.0,70176.268,299.07845,469.73611
1009000.0,69741.234,297.72137,354.70234
1010000.0,70111.989,295.90586,488.8774
1011000.0,70568.955,296.8048,-79.903238
1012000.0,69972.062,300.27483,1486.4744
1013000.0,70758.253,301.15482,1278.5025
1014000.0,70069.333,302.22944,134.78471
1015000.0,70429.776,292.73116,1270.8513
1016000.0,69999.12,300.04094,1225.4366
1017000.0,70119.464,306.98037,482.84951
1018000.0,70389.062,294.4651,-1479.3886
1019000.0,70479.229,307.32807,-661.31955
1020000.0,70130.178,298.59307,-260.62144
1021000.0,69813.42,299.20351,163.63644
1022000.0,69774.993,299.23226,96.773678
1023000.0,70740.803,302.99539,322.45633
1024000.0,70156.027,297.38772,6.9834145
1025000.0,70158.147,301.33611,813.54395
1026000.0,70386.539,298.02269,149.91242
1027000.0,70013.105,294.57989,989.3642
1028000.0,70186.207,300.78553,-1411.669
1029000.0,69835.471,301.2439,941.24936
1030000.0,70170.041,299.78956,-279.97419
1031000.0,69875.449,300.98584,201.7229
1032000.0,69964.546,301.79713,-1170.8133
1033000.0,70599.937,295.98338,486.94012
1034000.0,69660.739,297.16598,-502.37956
1035000.0,70274.105,307.06274,540.07982
1036000.0,70261.274,292.87126,-1330.6228
1037000.0,69856.137,302.98406,560.64345
1038000.0,70054.152,302.96977,-139.84369
1039000.0,69964.839,300.6254,1373.3486
1040000.0,70169.744,299.96189,-277.40812
1041000.0,69869.403,301.31229,-3107.0067
1042000.0,70322.025,304.59275,603.36133
1043000.0,70122.326,300.96616,163.79929
1044000.0,69964.147,306.24061,978.89203
1045000.0,70030.679,301.97475,926.15477
1046000.0,69878.834,299.11424,-553.06906
1047000.0,69820.228,299.60384,395.37157
1048000.0,70453.967,295.30891,96.392298
1049000.0,69927.652,298.04699,-423.7243
1050000.0,70516.552,304.16504,285.97066
1051000.0,69999.126,294.30978,-549.82939
1052000.0,69944.273,300.27766,911.5442
1053000.0,70627.186,300.7404,-772.71141
1054000.0,69837.949,298.86047,-1663.4611
1055000.0,70220.741,299.96905,730.01101
1056000.0,69801.889,303.25447,221.30232
1057000.0,69921.331,295.14777,-739.77885
1058000.0,70683.202,303.16795,1075.7185
1059000.0,70223.581,307.5106,-269.16939
1060000.0,70112.494,297.34503,706.25317
1061000.0,69794.757,305.62927,-273.61162
1062000.0,70405.439,299.233,-3.2742854
1063000.0,69693.913,304.39859,-236.97214
1064000.0,70103.393,300.99007,1183.715
1065000.0,70445.525,304.93822,-822.76059
1066000.0,69690.493,295.47924,609.79642
1067000.0,70545.675,301.15072,-1948.1345
1068000.0,69855.595,303.11001,495.26482
1069000.0,70527.144,295.79629,141.6068
1070000.0,70524.435,298.58397,24.567047
1071000.0,70709.163,302.43915,969.01746
1072000.0,70015.16,302.18794,561.91644
1073000.0,70109.587,299.1552,-139.88135
1074000.0,70199.195,303.07569,-324.33468
1075000.0,70073.423,296.39515,-106.98221
1076000.0,70201.061,301.20696,444.98255
1077000.0,69873.836,301.74163,184.7931
1078000.0,70050.647,297.26329,233.29389
1079000.0,70435.659,302.66017,1135.631
1080000.0,70649.237,303.06285,-1232.701
1081000.0,70559.785,297.09929,994.68832
1082000.0,70461.575,301.04401,-66.285045
1083000.0,69674.599,302.87989,104.01907
1084000.0,70400.588,299.87496,814.03874
1085000.0,70553.548,298.58053,-588.42314
1086000.0,70495.522,301.53718,976.27736
1087000.0,69931.91,297.46154,270.2825
1088000.0,69541.378,294.96466,-828.27685
1089000.0,70973.632,297.94075,-353.2883
1090000.0,70466.579,297.54327,806.91594
1091000.0,70157.029,300.64881,-1009.4505
1092000.0,70022.68,299.02412,2192.8684
1093000.0,70188.077,305.13327,-593.72312
1094000.0,70099.178,298.50509,-740.54455
1095000.0,70007.858,306.59954,945.47863
1096000.0,69968.441,298.62645,1185.5046
1097000.0,70467.064,302.18784,-1270.7773
1098000.0,70384.076,296.16204,616.41716
1099000.0,69954.468,303.83505,1012.4403
1100000.0,70719.187,301.41492,-1394.1631
1101000.0,70249.774,300.08134,604.68607
1102000.0,70038.253,299.83979,-41.931976
1103000.0,70062.553,301.84546,-1203.0206
1104000.0,70219.692,298.85073,1004.9375
1105000.0,70823.571,303.50245,-456.21683
1106000.0,70200.707,296.46978,-447.3118
1107000.0,69570.615,298.80261,233.32671
1108000.0,70359.546,295.65701,2267.1767
1109000.0,70505.804,304.22908,-1638.6516
1110000.0,70325.524,297.63605,0.16758149
1111000.0,69791.865,301.53352,1232.4982
1112000.0,70318.833,300.61758,247.22832
1113000.0,70193.54,293.94743,-1263.6489
1114000.0,70304.173,302.97414,-336.64354
1115000.0,70008.692,300.53034,-879.67146
1116000.0,71128.891,299.64208,373.61761
1117000.0,70393.68,302.88981,50.120584
1118000.0,70216.572,304.72485,1276.0184
1119000.0,70197.307,298.04817,-100.07101
1120000.0,70007.418,301.48874,865.43019
1121000.0,70548.551,297.99907,748.48012
1122000.0,70341.512,300.72872,295.30056
1123000.0,69921.606,301.10144,-122.27709
1124000.0,70188.52,294.59998,1657.7371
1125000.0,70118.401,307.29548,-2629.2046
1126000.0,70115.956,298.30482,863.2891
1127000.0,69878.24,302.66866,14.976642
1128000.0,70471.072,297.01144,-631.23044
1129000.0,70393.638,306.03709,68.686893
1130000.0,70099.261,302.72837,362.33328
1131000.0,70250.559,303.16493,-429.67834
1132000.0,70209.488,294.52341,284.77233
