step,volume,temperature,pressure
1000000.0,125091.39,304.76725,117.01057
1001000.0,124467.42,300.03062,-208.73897
1002000.0,124315.77,299.22966,-306.92919
1003000.0,124919.37,299.85177,-181.65869
1004000.0,124572.33,302.36626,252.93769
1005000.0,124372.65,299.64934,960.42521
1006000.0,124882.57,302.37918,634.72452
1007000.0,124110.58,300.87406,108.05268
1008000.0,125101.12,297.35432,219.00158
1009000.0,124839.2,300.85327,494.57633
1010000.0,124797.04,299.5761,540.02439
1011000.0,124234.26,296.93577,34.198732
1012000.0,124649.4,303.28625,972.86963
1013000.0,124258.93,296.42364,-251.10431
1014000.0,124790.84,302.70204,35.140387
1015000.0,124721.69,300.36777,-515.07471
1016000.0,124739.35,297.02084,-516.09851
1017000.0,124488.29,297.53283,-923.45848
1018000.0,124546.15,300.44522,577.56198
1019000.0,124500.76,298.68292,290.4737
1020000.0,124901.56,298.59152,-990.09614
1021000.0,124806.46,300.82981,-612.8305
1022000.0,124295.82,298.55176,384.9065
1023000.0,125302.66,298.95268,1271.426
1024000.0,124772.05,302.37703,-17.924433
1025000.0,124508.9,300.66477,371.47299
1026000.0,124629.36,296.67812,-265.17155
1027000.0,124094.48,302.3144,33.712255
1028000.0,124448.79,298.85739,-25.580223
1029000.0,124801.25,305.94582,-98.298414
1030000.0,124312.65,298.85141,-311.408
1031000.0,125032.92,299.14145,-358.25274
1032000.0,124922.96,299.9828,483.99269
1033000.0,124726.48,298.21263,-606.9597
1034000.0,125165.74,299.91646,661.62398
1035000.0,124855.25,299.89393,-304.73017
1036000.0,124764.32,297.43639,-167.54594
1037000.0,125272.87,301.52716,1668.1944
1038000.0,124928.09,301.21191,575.11086
1039000.0,124397.16,297.9114,371.01784
1040000.0,125300.58,301.16164,-35.281
1041000.0,124925.49,297.20828,454.37988
1042000.0,125248.18,300.64949,458.47566
1043000.0,124610.07,298.61874,328.04339
1044000.0,125091.68,298.87233,171.4013
1045000.0,125139.32,297.89807,-46.242382
1046000.0,124491.83,305.10974,-1048.3344
1047000.0,124512.98,300.11794,-8.3758164
1048000.0,125322.79,300.33502,-99.007677
1049000.0,124231.55,298.69662,-291.90176
1050000.0,125150.32,301.05532,771.22693
1051000.0,125353.96,303.39419,83.04649
1052000.0,124429.98,294.10896,576.57338
1053000.0,125042.24,304.57236,-283.93998
1054000.0,124779.15,302.01779,1021.4559
1055000.0,124877.07,298.79035,-901.93662
1056000.0,124792.18,297.52727,-230.46392
1057000.0,124831.4,305.04929,-449.83094
1058000.0,124930.38,301.97064,-53.223826
1059000.0,125187.83,299.73774,-847.95216
1060000.0,125091.69,300.33293,150.39602
1061000.0,125677.51,301.00198,-381.15149
1062000.0,124778.52,299.30545,407.00744
1063000.0,124446.1,299.41667,-586.02576
1064000.0,124316.44,303.03655,-498.79176
1065000.0,124809.49,303.92676,-953.11814
1066000.0,124502.19,298.01571,749.68128
1067000.0,125170.01,298.46007,-1573.6448
1068000.0,125155.45,305.33943,-1059.3961
1069000.0,124946.47,301.87812,-321.31958
1070000.0,124025.52,301.7806,465.64249
1071000.0,125053.19,301.67732,-1219.3906
1072000.0,124637.04,303.62974,918.20154
1073000.0,124216.85,299.20882,749.61917
1074000.0,125415.55,300.575,326.05829
1075000.0,124476.77,296.23299,1349.9764
1076000.0,124400.11,302.69583,339.23617
1077000.0,124891.67,298.19557,-208.48713
1078000.0,124915.11,300.33493,244.90098
1079000.0,125167.26,303.35208,-185.00604
1080000.0,124493.7,300.65712,-240.5889
1081000.0,124598.18,298.02981,683.46051
1082000.0,124984.16,300.64985,1038.5908
1083000.0,124756.32,298.37804,209.69096
1084000.0,124755.72,298.73478,491.98613
1085000.0,124510.92,299.33197,-624.0057
1086000.0,124447.95,295.75911,-586.54606
1087000.0,124621.71,304.90918,-284.79456
1088000.0,125318.45,299.40301,-34.916763
1089000.0,124904.86,298.78938,200.16975
1090000.0,124357.88,300.94481,110.74316
1091000.0,124493.72,294.96352,-838.55615
1092000.0,124402.87,300.65322,40.347742
1093000.0,125183.54,305.43039,-1067.5925
1094000.0,124469.47,305.39837,184.53876
1095000.0,125081.22,299.55611,-387.51587
1096000.0,124710.93,298.59742,492.66518
1097000.0,124764.23,300.20924,-1468.875
1098000.0,125157.96,304.02816,-750.54679
1099000.0,125387.24,301.4429,-903.42577
1100000.0,125409.41,299.2775,-688.00776
1101000.0,125002.0,299.0988,505.50307
1102000.0,125460.12,300.87892,10.68647
1103000.0,124392.34,300.67958,285.5353
1104000.0,125165.35,298.11599,263.66963
1105000.0,124730.57,302.20226,-692.11942
1106000.0,124920.28,301.18566,195.88632
1107000.0,125564.12,301.63523,-627.39272
1108000.0,124938.59,296.91814,585.41635
1109000.0,125342.43,300.90269,1130.8577
1110000.0,125874.49,299.79808,205.75678
1111000.0,124641.31,299.08354,277.52087
1112000.0,124987.07,298.87874,-311.45354
1113000.0,124915.8,303.16819,140.97039
1114000.0,124579.54,300.70644,811.75731
1115000.0,124744.4,301.27188,382.51932
1116000.0,124861.39,301.02681,425.76656
1117000.0,124765.82,302.53967,-344.779
1118000.0,124397.9,297.01295,786.46902
1119000.0,124703.9,297.83163,-484.17364
1120000.0,124744.62,300.31557,634.13203
1121000.0,124977.17,299.36712,1259.047
1122000.0,124595.91,300.04199,-47.489772
1123000.0,124374.15,304.28755,465.38141
1124000.0,124848.33,300.39468,-214.0782
1125000.0,125396.17,303.01242,-1524.4814
1126000.0,124937.42,297.69494,-478.98158
1127000.0,125150.09,302.54966,723.85372
