Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (5.1119641 5.1119641 5.1119641) to (40.249629 40.249629 40.249629)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  3020 atoms
  reading velocities ...
  3020 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  12 = max angles/atom
  scanning dihedrals ...
  24 = max dihedrals/atom
  orthogonal box = (5.1119641 5.1119641 5.1119641) to (40.249629 40.249629 40.249629)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  3010 bonds
  reading angles ...
  6000 angles
  reading dihedrals ...
  8910 dihedrals
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0.5     
  special bond factors coul:  0        0        0.5     
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    12 = max # of 1-4 neighbors
    16 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.075 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.32934466
  grid = 36 36 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00037028345
  estimated relative force accuracy = 1.1150976e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 79507 46656
Generated 3 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 25.93 | 25.93 | 25.93 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              330.40204      657.81423      3203.705       2787.5091      2973.3096     -185.8005       1187.5116      2289.1568     -4427.3825      0              199.26416      15056.718     -14491.069     -125.61065      43382.911      35.137665      35.137665      35.137665      1.9148564     -1015.6232      1318.243       1670.8229    
      1000   1000           316.53096      355.00976      2945.1453      2724.2683      2848.4828     -124.21452      1282.8098      2321.4749     -4415.3645      0              121.55625      15080.38      -14515.071     -127.73527      42661.323      34.94176       34.94176       34.94176       1.9472449     -201.69701     -548.36358      1815.0899    
      2000   2000           332.06628     -761.01492      2444.5071      2926.454       2988.2862     -61.832277      1242.2002      2370.3629     -4419.9737      0              192.14753      15046.3       -14492.869     -125.49171      43424.028      35.148762      35.148762      35.148762      1.9130432     -755.88035     -1344.8621     -182.30228    
      3000   3000           329.88856     -82.731235      2769.3328      2821.7337      2968.6888     -146.95507      1276.7219      2313.6868     -4431.3063      0              136.72052      15048.746     -14491.524     -125.47338      43430.374      35.150474      35.150474      35.150474      1.9127637      821.54483     -1192.5939      122.85532    
      4000   4000           331.58031     -812.01156      2326.0615      2833.8497      2983.913      -150.06323      1288.7713      2292.8264     -4430.6331      0              129.78121      15079.791     -14510.6       -127.08685      42878.99       35.001086      35.001086      35.001086      1.9373601      1203.4951     -2418.5163     -1221.0134    
      5000   5000           326.28256      88.403615      2901.7738      2845.9241      2936.2382     -90.314058      1267.0756      2352.3363     -4424.0903      0              149.47071      15063.85      -14498.956     -125.79697      43318.654      35.120308      35.120308      35.120308      1.9176968      1150.5187     -1105.3877      220.07987    
      6000   6000           322.29831     -740.19867      2296.5426      2766.6145      2900.3836     -133.76917      1259.074       2277.7176     -4420.9935      0              179.88426      15062.923     -14492.374     -125.14257      43545.178      35.181419      35.181419      35.181419      1.9077208     -422.34835     -1903.1581      104.91042    
      7000   7000           317.72968     -204.54372      2617.0785      2746.425       2859.2702     -112.84518      1285.3204      2286.8332     -4425.2195      0              188.23375      15043.606     -14491.62      -125.67601      43360.348      35.131572      35.131572      35.131572      1.9158528     -883.19677      116.05395      153.51165    
      8000   8000           331.16        -92.011971      2752.9313      2810.4805      2980.1306     -169.65004      1253.2403      2289.8216     -4430.3973      0              159.15317      15060.902     -14502.37      -127.06495      42886.378      35.003096      35.003096      35.003096      1.9370263      154.83076     -560.26735      129.40067    
      9000   9000           324.21037      794.74265      3241.355       2742.36        2917.5903     -175.23038      1228.3106      2322.3136     -4429.1963      0              139.61163      15076.704     -14512.973     -126.576        43052.043      35.048109      35.048109      35.048109      1.9295726      919.17052     -364.69181      1829.7492    
     10000   10000          319.50623      877.39939      3334.3645      2782.2064      2875.2575     -93.051154      1302.1166      2304.7952     -4424.9276      0              155.81151      15068.261     -14499.108     -126.2859       43150.943      35.074926      35.074926      35.074926      1.9251501      54.951159      1214.3384      1362.9086    
     11000   11000          324.23882      1013.6528      3421.8945      2783.4043      2917.8464     -134.4421       1236.3219      2296.4356     -4405.2931      0              179.94411      15055.573     -14497.424     -126.16996      43190.595      35.085666      35.085666      35.085666      1.9233827      1006.995       3018.7521     -984.78888    
     12000   12000          319.5922       627.40561      3138.8102      2743.0761      2876.0311     -132.9551       1230.8729      2326.8462     -4414.7974      0              165.86973      15059.018     -14500.765     -125.99866      43249.312      35.101559      35.101559      35.101559      1.9207714      535.84199     -159.83912      1506.214     
     13000   13000          329.59849      757.99093      3321.1498      2837.7818      2966.0785     -128.29667      1273.7887      2315.41       -4430.1252      0              157.57751      15037.566     -14482.514     -124.62556      43725.827      35.230003      35.230003      35.230003      1.8998392     -963.00605      1090.4791      2146.4997    
     14000   14000          316.38311      794.10783      3266.0778      2769.1559      2847.1523     -77.996438      1281.9047      2348.2264     -4413.8162      0              150.71783      15059.447     -14504.476     -127.00254      42907.454      35.008829      35.008829      35.008829      1.9360749     -347.61361      2748.9298     -18.992678    
