Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.9780062 4.9780062 4.9780062) to (49.305864 49.305864 49.305864)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  7860 atoms
  reading velocities ...
  7860 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  14 = max angles/atom
  scanning dihedrals ...
  34 = max dihedrals/atom
  scanning impropers ...
  11 = max impropers/atom
  orthogonal box = (4.9780062 4.9780062 4.9780062) to (49.305864 49.305864 49.305864)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  8340 bonds
  reading angles ...
  14700 angles
  reading dihedrals ...
  23430 dihedrals
  reading impropers ...
  6860 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     8 = max # of 1-3 neighbors
    12 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.324 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.29636958
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00037453517
  estimated relative force accuracy = 1.1279016e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 6 of 6 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 46.87 | 46.87 | 46.87 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              301.00408      547.00379      12723.866      12029.007      7051.3776      4977.6297      3592.8931      3451.8471     -2462.4143      250.52679      217.73323      4668.9582     -4741.9143     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -983.50492      2308.4496      316.06666    
      1000   1000           301.54146      906.5834       13213.457      12061.825      7063.9664      4997.8586      3599.4112      3415.4507     -2449.2396      254.75589      253.00274      4669.7346     -4745.257      -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     392.22163      1450.8671      876.66149    
      2000   2000           299.83906     -191.8414       11951.298      12194.994      7024.0857      5170.9084      3645.0644      3538.5398     -2407.8307      249.05302      228.96993      4660.9398     -4743.8277     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     467.41099      507.30652     -1550.2417    
      3000   3000           299.10101      308.01854      12422.465      12031.189      7006.7959      5024.3929      3664.6307      3503.3097     -2491.0232      231.43099      195.72206      4668.2212     -4747.8986     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     668.49372     -288.23496      543.79686    
      4000   4000           302.45123      477.60344      12760.757      12154.058      7085.2787      5068.779       3599.0707      3477.0902     -2427.7585      245.15966      248.65298      4671.3018     -4744.7378     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     1068.9794      161.33535      202.49555    
      5000   5000           300.25463      423.84055      12613.698      12075.294      7033.8208      5041.4728      3614.3432      3475.9305     -2446.6405      255.23085      232.72724      4656.2322     -4746.3507     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -351.71242     -27.567652      1650.8017    
      6000   6000           300.90229     -125.56566      12085.21       12244.716      7048.9931      5195.7226      3633.6416      3544.3987     -2422.3053      257.38513      251.10729      4670.6946     -4739.1994     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -511.42756      29.69396       105.03663    
      7000   7000           306.61531     -1186.9092      10680.506      12188.236      7182.8273      5005.4092      3564.9762      3468.648      -2355.7222      265.06387      144.92944      4668.0831     -4750.5693     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -612.15344     -1929.8239     -1018.7502    
      8000   8000           301.60456     -1631.2843      10056.036      12128.255      7065.4445      5062.811       3544.0078      3510.0678     -2351.0192      265.55136      177.28615      4662.624      -4745.7069     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -1765.3057     -1207.1229     -1921.4244    
      9000   9000           296.75235      986.66196      13288.073      12034.717      6951.7757      5082.941       3614.926       3436.097      -2416.3817      266.70934      247.43282      4676.6998     -4742.5423     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     1125.2612      1021.9668      812.75783    
     10000   10000          308.27719      293.03168      12768.438      12396.2        7221.7589      5174.441       3583.9162      3523.8522     -2365.8125      260.92804      241.88989      4674.9316     -4745.2643     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     1060.9978     -220.5064       38.603661    
     11000   11000          303.54211     -899.7323       11064.552      12207.481      7110.834       5096.6471      3546.5587      3505.8499     -2324.7415      257.01044      188.22431      4664.4915     -4740.7463     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -1631.1159     -507.0596      -561.02141    
     12000   12000          302.88322      583.92626      12936.917      12195.156      7095.3987      5099.7574      3669.9073      3465.993      -2480.3197      266.40607      255.13669      4668.3841     -4745.75       -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -155.09046      1510.3292      396.54008    
     13000   13000          300.69014      564.37388      12912.06       12195.136      7044.0231      5151.1128      3599.2365      3498.654      -2345.4302      273.38701      203.27739      4666.4762     -4744.4882     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     573.94413      1247.881      -128.70349    
     14000   14000          308.82419     -105.43864      12299.657      12433.595      7234.573       5199.0222      3621.1631      3579.7805     -2424.0645      253.80616      246.07662      4666.5281     -4744.2677     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -1320.7112      287.74171      716.65356    
     15000   15000          306.13697      408.42752      12829.95       12311.125      7171.6217      5139.5031      3638.7112      3500.419      -2412.3554      265.90923      221.80985      4671.6349     -4746.6256     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -805.91132      309.37322      1721.8207    
     16000   16000          307.82923     -164.00334      12249.693      12458.027      7211.2649      5246.762       3644.0686      3576.8447     -2366.631       259.9856       222.06943      4659.4819     -4749.0573     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     577.69581      231.09815     -1300.804     
     17000   17000          302.82886     -125.44576      12145.395      12304.749      7094.1252      5210.6236      3668.9881      3491.4793     -2366.3612      268.27962      214.00257      4677.4634     -4743.2282     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -243.84791      741.56568     -874.05505    
     18000   18000          309.09323     -584.42104      11571.002      12313.392      7240.8756      5072.5163      3556.6318      3481.347      -2353.4533      271.50584      193.09372      4667.4689     -4744.0775     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537     62.231625     -780.79698     -1034.6978    
     19000   19000          307.82108      58.925818      12511.641      12436.787      7211.0739      5225.7134      3683.9574      3492.3963     -2359.3642      276.84219      199.40055      4674.6598     -4742.1787     -495.30553      87102.422      44.327858      44.327858      44.327858      0.97332537    -460.8758       336.46597      301.18729    
