Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.925089 4.925089 4.925089) to (49.358781 49.358781 49.358781)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  7860 atoms
  reading velocities ...
  7860 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  14 = max angles/atom
  scanning dihedrals ...
  34 = max dihedrals/atom
  scanning impropers ...
  11 = max impropers/atom
  orthogonal box = (4.925089 4.925089 4.925089) to (49.358781 49.358781 49.358781)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  8340 bonds
  reading angles ...
  14700 angles
  reading dihedrals ...
  23430 dihedrals
  reading impropers ...
  6860 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     8 = max # of 1-3 neighbors
    12 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.301 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.29618592
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00037713173
  estimated relative force accuracy = 1.135721e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 6 of 6 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 46.87 | 46.87 | 46.87 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              654.63227      3770.0456      33547.272      28723.801      15335.537      13388.263      6671.7275      5973.1767     -742.64569      556.69181      999.02571      4674.4541     -4744.167      -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     5158.4554      3766.8528      2384.8285    
      1000   1000           656.045        1370.0417      30638.582      28885.723      15368.632      13517.091      6612.8571      6224.9445     -736.40722      540.34233      960.35065      4662.3052     -4747.3017     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     1077.509       1416.1996      1616.4166    
      2000   2000           651.2131       191.49507      29213.593      28968.59       15255.439      13713.151      6877.3475      5969.0071     -630.25941      550.45296      996.28938      4694.7758     -4744.4625     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697    -274.66946     -33.268028      882.42269    
      3000   3000           644.73719      2995.3746      32391.263      28558.922      15103.733      13455.188      6825.4835      6010.4644     -830.67336      533.93096      970.97227      4683.6981     -4738.6878     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     1462.8534      3782.0523      3741.2181    
      4000   4000           647.78556      1826.1348      30987.115      28650.722      15175.145      13475.577      6668.2209      6149.4644     -773.95163      539.06121      955.91581      4679.7838     -4742.9175     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     2081.5775      256.17895      3140.648     
      5000   5000           656.31401      1601.7492      30847.86       28798.55       15374.934      13423.616      6749.7943      5955.9546     -763.11962      545.88162      1026.0086      4654.5747     -4745.4787     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     1111.5023      1180.2886      2513.4568    
      6000   6000           644.38747      2927.0351      32236.728      28491.821      15095.541      13396.28       6646.5247      6116.8598     -852.88761      535.3341       1041.569       4661.4019     -4752.5217     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     2829.4054      2376.826       3574.8739    
      7000   7000           641.45219      1744.1487      31086.306      28854.807      15026.779      13828.029      6883.2461      6161.0877     -746.47796      568.61073      1030.2568      4682.9091     -4751.6037     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     1046.0153      1514.0309      2672.4       
      8000   8000           658.8618       1761.6199      31111.55       28857.699      15434.619      13423.08       6704.862       5990.9815     -770.2456       558.81633      1008.8848      4674.6243     -4744.8436     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     3420.618       584.17216      1280.0695    
      9000   9000           653.29106      13.421391      28555.97       28538.799      15304.118      13234.681      6607.3782      5976.1459     -730.89078      542.07776      911.16209      4680.6748     -4751.8673     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     1133.1686      554.51022     -1647.4146    
     10000   10000          649.348        708.2628       29475.679      28569.514      15211.747      13357.767      6628.2621      5962.2738     -666.74494      559.87378      934.61091      4684.8869     -4745.396      -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     3378.0827      97.579485     -1350.8738    
     11000   11000          658.09741      3036.2363      32620.363      28735.742      15416.713      13319.03       6641.6633      6015.6585     -764.68511      547.87369      961.69369      4664.7105     -4747.8849     -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     3745.9236      1757.9211      3604.8643    
