Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.925089 4.925089 4.925089) to (49.358781 49.358781 49.358781)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  7860 atoms
  reading velocities ...
  7860 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  14 = max angles/atom
  scanning dihedrals ...
  34 = max dihedrals/atom
  scanning impropers ...
  11 = max impropers/atom
  orthogonal box = (4.925089 4.925089 4.925089) to (49.358781 49.358781 49.358781)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  8340 bonds
  reading angles ...
  14700 angles
  reading dihedrals ...
  23430 dihedrals
  reading impropers ...
  6860 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     8 = max # of 1-3 neighbors
    12 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.297 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.29618592
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00037713173
  estimated relative force accuracy = 1.135721e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 6 of 6 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 47.28 | 47.28 | 47.28 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              650.50133      1678.3145      30593.392      28446.123      15238.765      13207.358      6688.2768      6090.961      -995.46639      505.11545      994.17151      4670.7137     -4746.414      -491.77472      87727.794      44.433692      44.433692      44.433692      0.96638697     1467.9374      2544.7144      1022.2916    
      1000   1000           655.14555      1140.7546      30435.934      28879.958      15347.562      13532.396      6728.9673      6086.9233     -918.73294      529.22571      1166.3915      4670.1866     -4730.5652     -461.28434      93526.503      45.391886      45.391886      45.391886      0.9064703      2260.8067     -547.59803      1709.0552    
      2000   2000           644.27473      1213.9792      30347.225      28656.532      15092.9        13563.633      6684.8168      6052.1932     -832.06509      536.77252      1199.2039      4648.8563     -4726.1451     -451.77873      95494.338      45.708034      45.708034      45.708034      0.88779082     1601.0244      900.12414      1140.7892    
      3000   3000           662.52316      388.52187      29651.743      29112.823      15520.391      13592.432      6776.9503      5957.4663     -851.08078      532.9083       1257.124       4653.3419     -4734.2775     -453.59751      95111.438      45.646861      45.646861      45.646861      0.8913649      497.933        1081.454      -413.82134    
      4000   4000           648.73061      911.87198      30285.37       29018.843      15197.284      13821.559      6718.5456      6136.5544     -773.41543      535.39423      1276.4157      4655.5366     -4727.4719     -453.0007       95236.742      45.666898      45.666898      45.666898      0.89019212    -686.95871      1173.5631      2249.0116    
      5000   5000           647.58245     -1064.8849      27325.755      28842.107      15170.387      13671.72       6840.3476      5937.283      -743.71704      517.62152      1198.2308      4641.9859     -4720.0319     -441.85717      97638.591      46.047618      46.047618      46.047618      0.86829394    -765.14356     -2019.0647     -410.44639    
      6000   6000           648.51841     -893.73746      27457.975      28728.032      15192.313      13535.719      6582.4223      5934.426      -736.71068      553.65163      1269.7093      4651.6492     -4719.429      -442.75774      97439.994      46.016376      46.016376      46.016376      0.87006365    -2622.5311     -240.15063      181.46929    
      7000   7000           648.37561     -920.34458      27735.586      29037.812      15188.968      13848.845      6933.5304      6126.6857     -852.08372      525.04607      1166.7101      4662.2503     -4713.2944     -444.67551      97019.759      45.950129      45.950129      45.950129      0.87383228    -1593.4277     -1139.2049     -28.401237    
      8000   8000           647.25512     -1840.2649      26251.303      28879.49       15162.719      13716.771      6715.6033      5997.5527     -762.20857      530.58649      1293.5282      4652.7048     -4710.9958     -440.55829      97926.454      46.092827      46.092827      46.092827      0.86574152    -3188.1023     -329.29929     -2003.393     
      9000   9000           644.42958     -744.42793      27793.288      28857.045      15096.527      13760.517      6820.7858      5954.8662     -844.39225      544.52071      1331.5729      4659.6222     -4706.4584     -440.31114      97981.421      46.101449      46.101449      46.101449      0.86525584    -380.85173     -1461.7075     -390.72456    
