Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (5.1176754 5.1176754 5.1176754) to (49.166195 49.166195 49.166195)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  7860 atoms
  reading velocities ...
  7860 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  14 = max angles/atom
  scanning dihedrals ...
  34 = max dihedrals/atom
  scanning impropers ...
  11 = max impropers/atom
  orthogonal box = (5.1176754 5.1176754 5.1176754) to (49.166195 49.166195 49.166195)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  8340 bonds
  reading angles ...
  14700 angles
  reading dihedrals ...
  23430 dihedrals
  reading impropers ...
  6860 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     8 = max # of 1-3 neighbors
    12 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.302 seconds
Finding SHAKE clusters ...
    2930 = # of size 2 clusters
     490 = # of size 3 clusters
      10 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.2968529
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00036775858
  estimated relative force accuracy = 1.107494e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 6 of 6 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 48.77 | 48.77 | 48.77 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              367.92671      876.17884      11603.236      10511.136      7178.7612      3332.3748      2306.4736      3224.2177     -2454.0647      257.96107      160.75205      4616.5301     -4779.495      -504.78851      85466.112      44.04852       44.04852       44.04852       0.99196038     288.21177      216.46232      2123.8624    
       100   100            302.22162      1398.9262      10947.724      9232.7357      5896.7635      3335.9721      2209.0974      3103.855      -2365.3629      249.80235      304.88347      4620.4857     -4786.7889     -513.23098      84060.224      43.805655      43.805655      43.805655      1.0085507      911.92106      1731.4493      1553.4084    
       200   200            306.27039      2785.4497      12532.884      9189.8052      5975.7607      3214.0445      2270.5221      3164.308      -2523.1988      243.79115      221.59442      4627.5714     -4790.5437     -524.23736      82295.377      43.496917      43.496917      43.496917      1.0301793      2860.2911      3263.7992      2232.2587    
       300   300            301.76369      4097.9806      13957.929      9133.8007      5887.8287      3245.972       2236.9389      3172.37       -2476.5026      245.77083      246.52077      4617.6326     -4796.7585     -534.47862      80718.497      43.217306      43.217306      43.217306      1.0503045      5485.9878      3755.6222      3052.332     
       400   400            296.85323      3999.0219      13739.595      9093.4751      5792.0189      3301.4562      2191.0983      3231.7995     -2445.9993      245.93464      253.99494      4624.8137     -4800.1855     -541.55509      79663.753      43.028241      43.028241      43.028241      1.0642104      4543.4307      3564.1696      3889.4653    
       500   500            302.92725      4088.8858      13744.575      9034.3085      5910.5314      3123.7772      2216.6396      3096.8809     -2446.5743      238.34128      204.22627      4617.556      -4803.2926     -546.18382      78988.629      42.906345      42.906345      42.906345      1.0733064      4167.6604      3702.8358      4396.1612    
       600   600            299.6529       5514.9316      15323.348      9013.0684      5846.6442      3166.4242      2232.6951      3128.0605     -2488.0861      242.60402      235.90817      4619.0706     -4803.8282     -549.88367      78457.161      42.809898      42.809898      42.809898      1.0805769      5626.4845      4989.0963      5929.214     
       700   700            299.52669      4364.2626      14008.948      9034.0105      5844.1818      3189.8288      2171.7441      3174.6888     -2426.1606      248.86882      212.24454      4613.2047     -4804.7616     -551.95353      78162.941      42.756318      42.756318      42.756318      1.0846444      5279.1199      3745.5086      4068.1593    
       800   800            301.25881      5621.1289      15536.585      9143.9719      5877.9778      3265.9941      2174.7778      3258.3591     -2471.2948      245.10967      247.13659      4619.7108     -4807.805      -553.25382      77979.238      42.722795      42.722795      42.722795      1.0871996      5666.5943      5103.7304      6093.0619    
       900   900            301.48106      6056.6141      16140.393      9251.941       5882.3142      3369.6269      2218.6122      3256.499      -2455.8813      258.22016      292.69229      4608.9295     -4809.445      -553.20686      77985.857      42.724004      42.724004      42.724004      1.0871073      6330.2062      5785.3247      6054.3114    
