Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (5.102561 5.102561 5.102561) to (49.181309 49.181309 49.181309)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  7860 atoms
  reading velocities ...
  7860 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  14 = max angles/atom
  scanning dihedrals ...
  34 = max dihedrals/atom
  scanning impropers ...
  11 = max impropers/atom
  orthogonal box = (5.102561 5.102561 5.102561) to (49.181309 49.181309 49.181309)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  8340 bonds
  reading angles ...
  14700 angles
  reading dihedrals ...
  23430 dihedrals
  reading impropers ...
  6860 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     8 = max # of 1-3 neighbors
    12 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.303 seconds
Finding SHAKE clusters ...
    2930 = # of size 2 clusters
     490 = # of size 3 clusters
      10 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.2968007
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00036848655
  estimated relative force accuracy = 1.1096863e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 6 of 6 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 48.77 | 48.77 | 48.77 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              361.35428      1547.436       12196.235      10263.482      7050.5239      3212.9583      2275.4035      3266.7618     -2561.7584      242.08846      150.69489      4624.551      -4784.783      -503.75068      85642.189      44.078748      44.078748      44.078748      0.98992095     428.22278      3049.5615      1164.5236    
       100   100            302.41469      62.28559       9187.9525      9109.9527      5900.5307      3209.4221      2248.0573      3212.9285     -2490.3197      245.6356       158.90622      4619.9647     -4785.7505     -502.42793      85867.661      44.117397      44.117397      44.117397      0.98732161    -502.02775      5.6633292      683.22119    
       200   200            297.05316     -564.84401      8323.9215      9037.3228      5795.9198      3241.403       2187.6343      3262.5246     -2524.7715      249.1101       224.73322      4622.2947     -4780.1224     -498.16579      86602.316      44.242858      44.242858      44.242858      0.97894607    -461.01868     -717.10832     -516.40501    
       300   300            300.02262     -1126.5382      7632.3522      9070.2277      5853.858       3216.3697      2242.0556      3201.9535     -2484.697       239.87254      171.48073      4621.1948     -4775.4906     -492.95123      87518.416      44.398314      44.398314      44.398314      0.96869894    -1327.1251     -996.36183     -1056.1277    
       400   400            298.3344      -869.99037      7985.8545      9104.6996      5820.9185      3283.7811      2263.6262      3164.903      -2499.0975      241.50938      256.52558      4628.7502     -4772.4359     -489.24207      88181.932      44.510233      44.510233      44.510233      0.96141007    -19.726579     -1201.3057     -1388.9388    
       500   500            300.6407      -1161.7579      7667.2818      9170.9511      5865.9176      3305.0335      2277.5931      3195.1379     -2473.4572      241.89944      209.4854       4626.5781     -4772.2032     -486.11898      88748.46       44.605349      44.605349      44.605349      0.95527288    -369.03691     -1483.0818     -1633.1549    
       600   600            303.54299     -689.11936      8324.9993      9219.5977      5922.5453      3297.0524      2212.3088      3174.6327     -2452.6069      251.53999      244.91872      4635.3197     -4769.0607     -484.66945      89013.885      44.649773      44.649773      44.649773      0.95242441    -1018.1022     -1568.2992      519.04331    
       700   700            302.44282     -314.12148      8835.934       9244.6541      5901.0796      3343.5746      2267.8294      3160.6146     -2495.6491      247.91027      296.09651      4636.2759     -4769.503      -483.56064      89217.996      44.683874      44.683874      44.683874      0.95024547    -1399.2736      225.51846      231.39074    
       800   800            301.99693     -317.76282      8884.4251      9298.7024      5892.3795      3406.3228      2313.9863      3249.3286     -2549.2287      243.97277      284.09413      4636.1075     -4771.9378     -482.60437      89394.778      44.713368      44.713368      44.713368      0.94836632     768.30064     -52.428874     -1669.1602    
       900   900            306.62821     -335.03671      8880.5564      9317.3671      5982.7423      3334.6249      2276.7623      3141.5203     -2497.8066      243.28061      312.93044      4631.8318     -4773.8939     -482.59004      89397.433      44.713811      44.713811      44.713811      0.94833816    -837.62902      87.846223     -255.32735    
      1000   1000           300.28764     -1791.3742      6902.8307      9240.2602      5859.029       3381.2313      2226.8772      3242.7548     -2453.9334      259.16419      241.96804      4635.8073     -4771.4069     -482.19985      89469.774      44.725868      44.725868      44.725868      0.94757138    -1105.9998     -1486.8221     -2781.3005    
      1100   1100           298.64203     -1544.7091      7133.8201      9147.0313      5826.9208      3320.1105      2206.5184      3225.8505     -2466.9213      240.09083      263.21558      4626.84       -4775.4836     -482.76598      89364.853      44.708378      44.708378      44.708378      0.9486839     -558.79612     -1859.3996     -2215.9315    
      1200   1200           302.34694     -595.2416       8363.3769      9137.7779      5899.2088      3238.5691      2164.0021      3167.2885     -2489.99        257.65216      286.29255      4628.0961     -4774.7723     -483.62272      89206.543      44.681962      44.681962      44.681962      0.95036747     134.34909     -230.21526     -1689.8586    
      1300   1300           305.41948     -1018.515       7950.3618      9274.1936      5959.1583      3315.0352      2278.6174      3174.5769     -2512.1014      245.47857      279.12121      4621.2777     -4771.9351     -484.0764       89122.938      44.667999      44.667999      44.667999      0.951259      -1150.2397     -693.52024     -1211.785     
      1400   1400           304.91479     -850.42882      8246.2726      9352.002       5949.3112      3402.6909      2303.2736      3198.9714     -2475.4018      242.37024      277.02517      4626.606      -4770.1539     -483.91424      89152.803      44.672988      44.672988      44.672988      0.95094034     268.5707      -2134.1641     -685.69302    
      1500   1500           303.66237     -1774.7465      6973.5615      9282.6497      5924.8746      3357.7751      2262.1652      3173.9904     -2423.4938      255.90045      240.13625      4621.2359     -4772.1593     -483.58752      89213.036      44.683046      44.683046      44.683046      0.95029831    -2709.4137     -1488.0737     -1126.752     
      1600   1600           303.97445     -341.21893      8765.5866      9209.5022      5930.9638      3278.5384      2168.6607      3202.2709     -2498.3399      250.37585      294.53783      4630.1846     -4769.1516     -483.6287       89205.439      44.681778      44.681778      44.681778      0.95037923    -372.03512     -1016.3113      364.68966    
      1700   1700           299.01717     -1719.6948      6937.5239      9180.2083      5834.2403      3345.9679      2212.1797      3228.9648     -2441.3018      252.81552      239.03361      4623.6379     -4769.3618     -482.46135      89421.28       44.717786      44.717786      44.717786      0.94808526    -1254.1682     -1918.2133     -1986.7031    
      1800   1800           298.1089      -1410.5481      7339.666       9182.8779      5816.5186      3366.3593      2223.8237      3204.8827     -2449.2509      255.15612      260.27705      4636.9789     -4765.5083     -481.49519      89600.711      44.747676      44.747676      44.747676      0.94618666    -2043.9157     -601.61239     -1586.1164    
      1900   1900           297.79648     -1420.5887      7422.2138      9282.9586      5810.4229      3472.5356      2246.6782      3259.3548     -2460.4768      253.03503      310.00971      4631.1347     -4767.2001     -480.35336      89813.697      44.783104      44.783104      44.783104      0.94394284    -1108.7504     -1220.867      -1932.1487    
      2000   2000           304.11956     -716.64625      8441.2801      9379.6587      5933.7951      3445.8636      2257.9946      3195.7337     -2433.3117      269.51052      292.83552      4630.3036     -4767.2026     -480.51402      89783.668      44.778112      44.778112      44.778112      0.94425856     736.67472     -1222.6495     -1663.964     
      2100   2100           303.7973      -508.7504       8656.7752      9322.0378      5927.5073      3394.5305      2256.0568      3205.4061     -2479.214       250.50749      297.68596      4630.4547     -4766.3665     -481.16157      89662.837      44.758016      44.758016      44.758016      0.94553106    -898.9148      -806.16825      178.83185    
      2200   2200           300.45988     -1594.2028      7117.7114      9205.0992      5862.3896      3342.7096      2181.3286      3250.3099     -2444.5905      248.33675      246.0388       4628.511      -4767.2251     -480.52912      89780.845      44.777643      44.777643      44.777643      0.94428825    -2458.3968     -1861.2944     -462.91709    
      2300   2300           295.86249     -575.52711      8420.78        9173.9768      5772.6881      3401.2887      2184.2293      3209.0002     -2436.3458      259.9797       318.28019      4633.8477     -4767.7027     -480.76916      89736.019      44.77019       44.77019       44.77019       0.94475995    -260.6965      -752.88554     -712.9993     
      2400   2400           300.01349     -715.8055       8265.968       9202.5868      5853.6799      3348.9068      2227.4661      3214.9967     -2498.4892      246.83179      279.38855      4644.2507     -4765.5378     -480.85203      89720.555      44.767618      44.767618      44.767618      0.94492279    -968.17833     -602.60029     -576.63787    
      2500   2500           303.71902     -1360.9562      7486.6024      9265.7922      5925.98        3339.8122      2191.9808      3188.6868     -2428.1681      250.70495      267.52717      4633.8359     -4764.7554     -481.28373      89640.078      44.754228      44.754228      44.754228      0.94577112    -898.40907     -1042.3161     -2142.1435    
      2600   2600           299.40531     -97.603749      9155.8768      9283.2947      5841.8135      3441.4812      2259.1369      3245.5482     -2497.378       256.40562      312.52539      4632.8296     -4767.5865     -481.96487      89513.393      44.733135      44.733135      44.733135      0.94710964     957.3949      -130.84031     -1119.3658    
      2700   2700           293.48172      256.5558       9533.7747      9198.5503      5726.2361      3472.3142      2282.97        3243.5929     -2513.2279      252.58395      341.30416      4632.7568     -4767.6656     -481.53238      89593.79       44.746524      44.746524      44.746524      0.94625974    -563.52195      1605.1785     -271.98917    
      2800   2800           295.95548     -961.71994      7869.2881      9128.3671      5774.5024      3353.8646      2261.6886      3142.6826     -2463.7701      242.85733      302.45822      4633.5835     -4765.6355     -480.59024      89769.427      44.775745      44.775745      44.775745      0.94440835    -177.80306     -1758.5076     -948.84916    
      2900   2900           299.42383     -2018.0122      6533.6883      9186.4525      5842.1748      3344.2777      2272.6935      3161.1493     -2454.9949      246.02943      256.2528       4629.5007     -4766.3532     -478.63499      90136.142      44.836633      44.836633      44.836633      0.94056608    -1818.0899     -2019.1655     -2216.7814    
      3000   3000           298.46389     -480.32017      8670.6524      9303.0552      5823.4451      3479.6102      2230.5351      3239.0269     -2456.3172      251.92011      345.38848      4635.0369     -4765.9802     -477.87721      90279.072      44.860319      44.860319      44.860319      0.93907697     437.56467     -1613.7832     -264.74198    
      3100   3100           302.65577     -1814.1509      6956.8567      9349.6543      5905.2345      3444.4198      2218.1521      3212.3613     -2404.5122      251.50565      298.90695      4631.7472     -4763.7412     -477.03115      90439.191      44.886825      44.886825      44.886825      0.93741436    -3269.9121     -2016.994      -155.54652    
      3200   3200           301.22498     -1411.852       7448.0982      9314.7682      5877.3178      3437.4503      2211.6598      3215.8838     -2431.8949      260.21491      313.08678      4632.0091     -4763.5091     -475.88381      90657.237      44.92287       44.92287       44.92287       0.93515973    -1202.341      -2363.6747     -669.54025    
      3300   3300           298.03932     -898.45672      8085.705       9273.9224      5815.1612      3458.7612      2280.9076      3185.6395     -2462.4978      256.76857      325.58307      4636.1219     -4763.7617     -475.75194      90682.365      44.92702       44.92702       44.92702       0.9349006     -960.98095     -819.40878     -914.98044    
      3400   3400           299.03533     -926.12383      8043.5734      9266.524       5834.5946      3431.9293      2240.877       3250.1691     -2486.0584      245.27725      314.3034       4632.0714     -4764.7103     -476.47428      90544.89       44.904305      44.904305      44.904305      0.93632006    -322.27842     -1288.1519     -1167.9412    
      3500   3500           295.23415     -1249.4117      7625.6209      9270.532       5760.4283      3510.1038      2265.5986      3244.5847     -2451.1529      257.30491      304.26744      4650.4315     -4760.9304     -477.90592      90273.648      44.859421      44.859421      44.859421      0.93913339    -1515.7281     -590.657       -1641.8499    
      3600   3600           303.11782     -447.50191      8689.1366      9275.8968      5914.2498      3361.647       2234.3495      3194.0782     -2497.9682      246.32036      310.36739      4641.0474     -4766.5475     -479.85885      89906.254      44.798482      44.798482      44.798482      0.94297108    -71.124695     -753.31066     -518.07038    
      3700   3700           301.71827     -348.11876      8820.1321      9274.7372      5886.9425      3387.7947      2252.5066      3226.9318     -2528.7427      250.11443      321.21173      4635.8745     -4770.1017     -481.80624      89542.864      44.738044      44.738044      44.738044      0.94679791    -439.26799     -1128.9643      523.87603    
      3800   3800           299.82786     -408.70874      8708.7133      9240.3688      5850.0579      3390.3108      2255.3824      3181.4456     -2470.4411      245.63497      310.93739      4638.0148     -4770.6632     -483.68537      89194.989      44.680033      44.680033      44.680033      0.95049058    -151.48565     -670.05693     -404.58365    
      3900   3900           300.41915     -1072.785       7754.8981      9148.328       5861.5949      3286.733       2293.3167      3173.7587     -2532.3471      247.98437      236.53653      4638.882      -4771.3982     -484.40306      89062.837      44.657956      44.657956      44.657956      0.95190092    -2144.8547     -1748.5453      675.04494    
      4000   4000           297.56133     -974.02588      7824.2576      9086.7473      5805.8348      3280.9125      2194.8266      3177.0014     -2442.9077      249.99309      243.86934      4631.4142     -4773.2845     -485.42479      88875.377      44.626602      44.626602      44.626602      0.95390872    -606.80513     -235.93731     -2079.3352    
      4100   4100           298.76047     -1393.9374      7346.7135      9150.9007      5829.2318      3321.6688      2193.3306      3169.7862     -2408.3445      258.84452      248.31091      4631.5697     -4771.8285     -486.11719      88748.786      44.605404      44.605404      44.605404      0.95526937    -1633.4239     -669.76596     -1878.6224    
      4200   4200           302.56538     -648.94242      8451.639       9291.7432      5903.4709      3388.2723      2312.1741      3162.175      -2460.4479      252.14341      253.21945      4638.9284     -4769.9202     -486.0179       88766.917      44.608441      44.608441      44.608441      0.95507425    -374.86555     -623.14626     -948.81544    
      4300   4300           304.19244     -1298.8756      7593.5126      9277.9765      5935.217       3342.7595      2255.4371      3220.1869     -2456.7401      249.94658      211.00163      4634.6318     -4771.7044     -485.16015      88923.855      44.634714      44.634714      44.634714      0.95338868    -2593.4953     -272.79551     -1030.3358    
      4400   4400           299.2446      -392.62065      8698.2419      9207.4338      5838.6778      3368.756       2223.7094      3240.1885     -2490.1887      257.87415      278.59733      4630.2438     -4771.6684     -485.1443       88926.761      44.635201      44.635201      44.635201      0.95335753     1078.1517     -1444.2819     -811.73181    
      4500   4500           298.80039     -715.47004      8245.3635      9173.7178      5830.0106      3343.7071      2265.2135      3221.8155     -2507.7457      249.81427      254.40202      4634.6082     -4774.4007     -484.90536      88970.58       44.642531      44.642531      44.642531      0.95288799    -649.03947      239.91542     -1737.2861    
      4600   4600           300.22722     -96.796985      9065.3043      9190.8728      5857.85        3333.0228      2242.0169      3153.0295     -2476.6669      254.67463      297.86831      4631.6244     -4769.524      -485.02084      88949.397      44.638988      44.638988      44.638988      0.95311492     25.300442     -352.35769      36.666294    
      4700   4700           300.04786     -945.66579      7978.5907      9207.2194      5854.3506      3352.8689      2237.305       3186.0403     -2489.9625      252.7447       303.27253      4631.3936     -4767.9247     -484.27976      89085.514      44.661746      44.661746      44.661746      0.95165862    -1602.9644      128.36885     -1362.4019    
      4800   4800           297.10693     -838.86925      8120.1464      9213.0646      5796.9689      3416.0957      2264.464       3211.9584     -2470.2876      257.33311      295.85932      4629.4031     -4772.6346     -482.93194      89334.143      44.703256      44.703256      44.703256      0.94901002    -1003.3798     -924.08468     -589.14331    
      4900   4900           299.45248     -1640.5383      7086.3845      9230.6607      5842.7338      3387.9269      2205.8713      3239.1703     -2421.2097      251.53873      253.61182      4630.0642     -4771.1198     -481.37656      89622.791      44.751351      44.751351      44.751351      0.94595354    -1388.0777     -2091.7814     -1441.7558    
      5000   5000           301.25646     -1713.3783      7074.7322      9315.6941      5877.932       3437.7621      2211.277       3268.1466     -2434.8327      244.85206      288.71951      4629.0679     -4769.4683     -481.0587       89682.009      44.761206      44.761206      44.761206      0.94532892     240.42367     -2857.0002     -2523.5583    
      5100   5100           303.2339      -1226.1213      7771.1281      9373.2121      5916.5146      3456.6975      2188.0429      3283.3046     -2411.9229      260.58236      277.69984      4628.2248     -4769.2341     -481.53457      89593.382      44.746456      44.746456      44.746456      0.94626405    -609.53202     -777.65032     -2291.1816    
      5200   5200           300.58833     -873.47311      8096.2808      9236.6192      5864.8959      3371.7234      2249.898       3158.1533     -2444.1265      258.04979      278.05452      4638.209      -4766.5147     -481.94233      89517.58       44.733833      44.733833      44.733833      0.94706533    -492.77108     -1833.8957     -293.75254    
      5300   5300           299.68696     -964.99326      7894.4996      9153.6133      5847.3089      3306.3044      2279.0678      3133.2864     -2488.4843      248.55005      266.9592       4637.3565     -4770.4313     -482.21266      89467.396      44.725472      44.725472      44.725472      0.94759656    -2355.6415     -901.3901       362.05179    
      5400   5400           296.2824       326.71873      9604.9598      9178.9567      5780.8811      3398.0756      2243.6381      3169.6291     -2484.2493      250.72189      336.04915      4647.5114     -4765.2248     -482.548        89405.222      44.715109      44.715109      44.715109      0.94825554    -187.99736      1099.0943      69.05925     
      5500   5500           301.55798     -1135.5343      7794.5166      9277.0287      5883.815       3393.2137      2260.6759      3216.0721     -2473.4449      259.84467      250.11908      4644.8754     -4764.9286     -481.92704      89520.421      44.734306      44.734306      44.734306      0.94703528    -431.51579     -2482.3048     -492.78235    
      5600   5600           301.31736     -535.90159      8642.0788      9341.284       5879.1202      3462.1638      2240.2063      3250.6177     -2458.4412      257.17903      309.8541       4632.2562     -4769.5082     -482.23603      89463.061      44.72475       44.72475       44.72475       0.94764248    -457.14519     -574.08045     -576.47915    
      5700   5700           298.72389     -2599.9914      5865.5471      9258.7108      5828.518       3430.1928      2265.0805      3226.5385     -2384.7889      260.45064      199.94226      4631.1502     -4768.1803     -482.11027      89486.396      44.728638      44.728638      44.728638      0.94739536    -2166.207      -2810.8955     -2822.8715    
