Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.7505938 4.7505938 4.7505938) to (63.427784 63.427784 63.427784)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  8040 atoms
  reading velocities ...
  8040 velocities
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  scanning dihedrals ...
  2 = max dihedrals/atom
  orthogonal box = (4.7505938 4.7505938 4.7505938) to (63.427784 63.427784 63.427784)
  2 by 2 by 2 MPI processor grid
  reading bonds ...
  8020 bonds
  reading angles ...
  8000 angles
  reading dihedrals ...
  7980 dihedrals
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     2 = max # of 1-3 neighbors
     4 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.001 seconds
  read_data CPU = 0.243 seconds
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0.5     
     2 = max # of 1-2 neighbors
     2 = max # of 1-3 neighbors
     4 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.001 seconds
Generated 3 of 3 mixed pair_coeff terms from arithmetic mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 16
  ghost atom cutoff = 16
  binsize = 8, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 2
Per MPI rank memory allocation (min/avg/max) = 9.233 | 9.234 | 9.235 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_vdwl         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              299.51771     -410.83397      10407.905      11618.364      7177.2627      4441.1014     -9031.6579     -287.70855      202026.31      58.67719       58.67719       58.67719       0.89414285    -649.53033     -159.71045     -423.26114    
      1000   2000           302.69869      1321.4039      15251.81       11530.156      7253.4875      4276.6682     -9331.0365     -300.97897      193118.79      57.80182       57.80182       57.80182       0.93538477     901.82894      1845.6227      1216.7601    
      2000   4000           300.55395      1404.9399      15345.3        11401.561      7202.0937      4199.4673     -9399.6793     -301.98551      192475.11      57.737529      57.737529      57.737529      0.93851293     1041.7881      1282.1552      1890.8765    
      3000   6000           297.8863       1242.9825      14864.704      11371.095      7138.1695      4232.9257     -9412.7949     -301.59724      192722.9       57.762295      57.762295      57.762295      0.93730624     1284.0682      919.51585      1525.3635    
      4000   8000           300.83409      1642.1045      16072.276      11469.851      7208.8067      4261.0441     -9434.2273     -302.44796      192180.81      57.708087      57.708087      57.708087      0.93995011     2313.4071      1638.0063      974.90011    
      5000   10000          295.97061      1128.9802      14497.767      11332.755      7092.2644      4240.4904     -9408.6049     -302.37615      192226.46      57.712655      57.712655      57.712655      0.93972694     1168.3366      1117.159       1101.4449    
      6000   12000          299.74659      1451.2494      15358.863      11287.234      7182.7472      4104.4867     -9476.116      -302.14154      192375.71      57.727588      57.727588      57.727588      0.93899784     1148.3317      1860.3125      1345.1041    
      7000   14000          297.85842      339.61885      12209.682      11254.077      7137.5015      4116.5759     -9453.9461     -301.2659       192934.86      57.783464      57.783464      57.783464      0.9362765     -20.67567       642.7688       396.76341    
      8000   16000          299.50996      1095.8587      14480.931      11405.701      7177.0769      4228.6237     -9427.0729     -302.07412      192418.65      57.731883      57.731883      57.731883      0.93878831     1160.1757      1365.4279      761.9724     
      9000   18000          298.64599      260.44708      12115.556      11385.329      7156.3739      4228.9551     -9472.763      -302.34193      192248.21      57.714832      57.714832      57.714832      0.93962059     252.53066      289.61905      239.19152    
     10000   20000          303.84567      1609.1769      15869.331      11365.361      7280.9725      4084.3885     -9485.5678     -302.86209      191918.03      57.681772      57.681772      57.681772      0.94123715     2016.7405      1065.1524      1745.6378    
     11000   22000          297.38834      1352.1864      15008.204      11214.253      7126.237       4088.0158     -9486.2921     -302.12133      192388.59      57.728876      57.728876      57.728876      0.93893501     1665.3287      1110.2876      1280.9428    
     12000   24000          303.22668      782.05945      13698.079      11511.053      7266.1396      4244.9132     -9460.8495     -303.12548      191751.27      57.66506       57.66506       57.66506       0.94205572     728.07763      585.70709      1032.3936    
     13000   26000          300.98294      1228.7838      14786.852      11358.284      7212.3734      4145.9102     -9500.5752     -303.80799      191320.49      57.621845      57.621845      57.621845      0.94417685     1197.2646      1006.937       1482.1498    
     14000   28000          299.98796      633.55949      13038.239      11267.072      7188.5311      4078.5407     -9506.8995     -303.22453      191688.63      57.658781      57.658781      57.658781      0.94236354     776.34241      99.451582      1024.8845    
     15000   30000          297.56022      340.58438      12234.302      11286.039      7130.3557      4155.683      -9543.4842     -304.46141      190909.89      57.580594      57.580594      57.580594      0.94620754     436.42023      356.86063      228.47229    
     16000   32000          298.25775      1541.2273      15506.852      11198.521      7147.0704      4051.4507     -9465.6172     -303.24537      191675.45      57.657459      57.657459      57.657459      0.94242833     1494.7399      1377.0728      1751.8692    
