step,volume,temperature,pressure
750000.0,201971.09,304.4803,-125.03839
751000.0,201202.6,297.50017,-396.8936
752000.0,201326.06,301.06562,346.43107
753000.0,202004.13,296.03167,-102.01102
754000.0,201166.53,302.05127,-43.791819
755000.0,201528.45,303.78404,-482.49298
756000.0,200771.15,293.1759,-564.95553
757000.0,200886.3,299.69034,-42.093292
758000.0,201266.35,295.47142,-96.004881
759000.0,200378.0,303.02335,157.34884
760000.0,200874.1,301.02192,-93.332416
761000.0,201503.43,301.16223,-278.08512
762000.0,200842.39,302.87724,-3.5062737
763000.0,200284.74,303.8913,-51.511799
764000.0,200689.5,296.85695,-186.97269
765000.0,200977.38,299.74484,106.16457
766000.0,200215.73,306.79814,134.69519
767000.0,201524.0,301.47412,-355.98665
768000.0,202251.05,300.45375,-4.0003179
769000.0,201317.32,303.88463,-132.91673
770000.0,202659.89,303.23052,-170.9073
771000.0,201763.69,297.29212,-485.25027
772000.0,200326.5,302.44584,455.47735
773000.0,200858.57,299.98308,200.25489
774000.0,200564.49,298.6595,-453.41798
775000.0,200756.12,305.25813,-175.65402
776000.0,200387.01,301.53594,147.73952
777000.0,201002.57,297.34757,0.6981475
778000.0,200490.93,294.96362,-554.51623
779000.0,200195.31,298.24802,-159.74578
780000.0,200158.17,293.7299,126.7399
781000.0,200222.33,300.58804,414.04027
782000.0,200612.77,296.3983,113.35593
783000.0,201606.76,296.38268,311.49883
784000.0,200721.24,301.7928,138.52584
785000.0,201019.15,298.83544,159.92272
786000.0,200056.32,300.25019,396.39217
787000.0,202483.07,299.1827,71.078204
788000.0,201170.94,302.35752,153.78089
789000.0,200781.97,297.29998,-147.22597
790000.0,200680.37,303.74958,-37.632098
791000.0,202097.4,300.8487,-357.14411
792000.0,202731.03,298.1242,-366.58561
793000.0,202268.63,301.5431,-308.08116
794000.0,202221.73,299.07009,-646.60017
795000.0,201445.65,297.03888,-80.961926
796000.0,200926.72,304.77024,-597.15455
797000.0,200744.59,296.89699,-169.6906
798000.0,201575.9,297.27821,-216.63847
799000.0,201913.15,298.7473,564.47608
800000.0,200365.25,299.82221,393.56035
801000.0,202028.95,301.75489,152.37333
802000.0,200216.2,299.22019,541.6803
803000.0,200171.17,302.74691,-61.248911
804000.0,200709.35,301.74057,-205.09825
805000.0,200266.13,299.50158,796.36824
806000.0,202074.96,302.45836,-67.449913
807000.0,201331.9,298.05759,104.70731
808000.0,201071.0,298.93286,253.53999
809000.0,201296.8,298.13164,145.45301
810000.0,199695.8,301.74679,402.96263
811000.0,200441.68,297.38206,71.613297
812000.0,200938.84,298.17078,337.17497
813000.0,201141.05,301.1848,207.39309
814000.0,201486.65,300.43026,37.18419
815000.0,201663.76,303.74061,-234.56529
816000.0,201204.72,298.78446,-85.137995
817000.0,200944.63,298.53792,172.24019
818000.0,200472.31,296.12901,-4.1751924
819000.0,200111.76,302.22448,207.33687
820000.0,200827.61,301.16918,135.01871
821000.0,200754.06,298.61436,337.51835
822000.0,200455.17,297.50168,696.66253
823000.0,201079.32,299.65608,219.29172
824000.0,199959.57,301.53783,677.99372
825000.0,200632.04,296.71895,67.577771
826000.0,202013.44,300.64967,-611.64838
827000.0,201414.82,300.17778,327.35661
828000.0,200409.71,302.68622,190.44528
829000.0,200079.0,298.85748,-342.18168
830000.0,201420.85,300.30392,366.00208
831000.0,201239.34,297.54651,-663.6149
832000.0,201541.52,300.51368,-280.61845
833000.0,201195.98,298.29679,-0.77722839
834000.0,201480.81,294.39146,185.54978
835000.0,201945.84,303.67847,292.19049
836000.0,200547.84,302.55558,-157.64413
837000.0,199128.64,294.21927,-291.13276
838000.0,200527.6,302.91873,533.28725
839000.0,201566.37,301.74795,-132.90294
840000.0,199921.73,297.11607,391.03439
841000.0,200366.75,297.56896,-241.30055
842000.0,201953.72,297.96152,151.34282
843000.0,199806.18,300.38341,195.61526
844000.0,201323.55,301.0468,527.83436
845000.0,200144.78,298.94945,-118.29821
846000.0,202049.85,303.01285,114.75224
847000.0,200622.29,299.92433,-25.697972
848000.0,200602.63,299.67751,-11.479445
849000.0,200682.59,301.2909,-176.45158
850000.0,200831.03,302.72251,-109.84113
851000.0,199629.17,302.31276,392.50043
852000.0,201216.14,301.42866,-462.22902
853000.0,200193.68,300.95889,-237.6422
854000.0,202026.85,296.40201,-349.10944
855000.0,201956.36,303.01585,489.75156
856000.0,201897.15,303.82859,-564.50031
857000.0,201433.61,300.36529,-80.849478
858000.0,202325.85,300.89111,42.325415
859000.0,202600.64,298.68752,-71.660843
860000.0,200878.52,297.76486,79.537218
861000.0,200713.92,299.86364,59.939534
862000.0,200044.14,298.76208,86.016155
863000.0,200886.45,297.51405,202.09131
864000.0,200559.41,300.54315,-498.46249
865000.0,200428.45,303.67928,-405.50327
866000.0,200238.28,305.55391,-577.39937
867000.0,200486.29,297.74511,244.45121
868000.0,200849.79,304.81646,-143.0022
869000.0,201628.81,298.26741,-40.371068
870000.0,200966.61,297.63506,-414.07401
871000.0,200752.04,298.56475,620.96539
872000.0,201385.02,302.67903,487.33679
873000.0,201483.27,299.84958,-191.53589
874000.0,201452.38,294.80852,307.62487
875000.0,201407.89,301.89955,-814.01593
876000.0,201939.36,299.41244,-35.178709
877000.0,200343.05,301.08792,-64.644835
878000.0,200694.32,298.9061,-4.3371261
879000.0,201282.18,301.29954,266.10801
880000.0,200409.06,301.03217,91.76397
881000.0,199913.75,298.04461,-211.8923
882000.0,200873.92,300.66295,-229.53887
883000.0,200561.79,300.98322,-113.39664
884000.0,201227.59,301.63334,195.71937
885000.0,200477.41,304.02077,236.30567
886000.0,201132.24,295.6849,-200.91044
887000.0,200262.97,299.21226,-139.41899
888000.0,199656.0,301.6309,-252.89338
889000.0,200413.78,299.64034,148.40686
890000.0,201181.37,297.94761,475.95748
891000.0,200875.39,299.81478,475.50347
892000.0,201240.46,299.60134,-433.64027
893000.0,201599.08,294.96463,93.965017
894000.0,201050.73,302.84098,-148.96287
895000.0,200802.76,296.11899,-99.994868
896000.0,201003.0,302.73073,-723.28841
897000.0,200372.85,300.92019,170.8721
898000.0,199802.41,305.35835,207.10394
899000.0,201267.21,300.80854,-739.57754
900000.0,201552.84,298.88325,-78.443221
901000.0,200076.34,296.29253,6.5564506
902000.0,201398.31,300.52005,-335.52493
903000.0,200271.75,304.0856,5.0985216
904000.0,201629.9,297.01219,79.924941
905000.0,200159.45,306.13961,-264.59229
906000.0,201352.21,299.64477,57.182812
907000.0,200625.32,300.31154,-25.095312
908000.0,200482.07,303.00527,159.82848
909000.0,201286.59,298.44406,354.34878
910000.0,201181.51,297.6593,229.00082
911000.0,202220.72,303.31995,156.06558
912000.0,200713.84,304.58177,-4.3823907
913000.0,201115.49,304.54339,224.19859
914000.0,201317.33,295.43522,-58.244495
915000.0,201376.04,299.26809,-541.54828
916000.0,202009.33,302.8688,-235.75977
917000.0,200806.86,302.02471,69.780426
918000.0,201077.63,302.11973,413.3051
919000.0,202168.31,303.55208,-337.50561
920000.0,201203.19,298.97677,19.57878
921000.0,202355.54,300.79103,-587.41645
922000.0,201575.01,301.42444,-168.03667
923000.0,202450.58,304.52817,-38.179523
924000.0,202057.17,300.94061,-572.86317
925000.0,201830.82,296.64979,-122.01228
926000.0,201293.68,301.75169,221.76436
927000.0,201452.66,301.97126,47.035937
928000.0,201718.96,296.73263,95.78346
929000.0,200633.77,301.50393,-531.43151
930000.0,201497.43,302.14329,397.48961
931000.0,200198.96,294.95126,963.28534
932000.0,201041.71,298.60637,-69.276129
933000.0,200422.43,299.94748,179.18764
934000.0,201910.48,299.39878,-359.31172
935000.0,199607.87,297.21161,-152.06005
936000.0,201469.34,300.57384,-277.66471
937000.0,202059.76,296.83433,29.732713
938000.0,201543.57,297.78262,810.49612
939000.0,202515.38,298.12377,301.42059
940000.0,202005.38,301.93703,-90.884408
941000.0,201791.42,302.35456,-463.59711
942000.0,201307.98,299.80835,111.26763
943000.0,200996.05,304.80207,52.722505
944000.0,201542.55,297.91732,333.32723
945000.0,201417.0,298.08656,348.7561
946000.0,201010.4,297.39862,-34.274357
947000.0,201569.23,301.97133,417.3114
948000.0,199738.39,295.73541,312.56763
949000.0,201007.46,302.15816,707.89139
950000.0,199906.52,296.21928,260.30439
951000.0,201349.11,300.57223,141.63148
952000.0,201555.57,300.59511,557.09621
953000.0,201898.61,301.6167,-721.63341
954000.0,201561.31,297.31743,-447.68138
955000.0,201902.72,299.34651,398.07456
956000.0,201534.07,295.7585,-416.65047
957000.0,201132.1,302.30271,-493.44737
958000.0,201587.59,300.34665,107.35281
959000.0,200912.62,303.36957,-49.547289
960000.0,202614.04,302.73641,147.31724
961000.0,201410.06,303.41459,557.79013
962000.0,201864.94,302.0958,84.4777
963000.0,201839.78,302.54641,448.62364
964000.0,201767.2,305.15574,-21.543971
965000.0,201478.75,302.23191,165.02011
966000.0,201374.7,305.98914,-40.546787
967000.0,201377.93,295.38706,-104.55568
968000.0,202390.18,295.60301,-41.922609
969000.0,202089.26,302.47122,262.12824
970000.0,202035.89,301.75501,-321.51888
971000.0,202571.36,304.64568,-371.48313
972000.0,201015.78,296.46547,341.62698
973000.0,201342.54,298.58762,60.737042
974000.0,201134.32,300.06898,-534.00093
975000.0,201307.07,293.76792,438.13858
976000.0,200842.8,300.15702,-96.597223
977000.0,201894.12,296.94121,-96.99596
978000.0,200655.12,300.70848,-58.924209
979000.0,200959.16,294.09044,273.66581
980000.0,200473.25,301.19927,391.6722
981000.0,201348.42,301.07093,139.71699
982000.0,201035.1,305.63874,-266.7516
983000.0,200714.85,302.28846,-159.8867
984000.0,201561.26,298.90003,436.01058
985000.0,201774.95,299.03721,-104.90915
986000.0,202245.11,296.25144,-213.07412
987000.0,200749.01,296.40789,-105.38098
988000.0,201712.65,300.59017,-248.62137
989000.0,202132.45,296.68633,-199.36223
990000.0,201801.17,300.44116,-84.483798
991000.0,200674.34,299.43534,193.1171
992000.0,201232.04,303.96642,-534.18271
993000.0,201166.36,297.79594,441.59729
994000.0,201785.32,301.5839,-132.04465
995000.0,201865.07,298.48589,-138.82365
996000.0,201785.38,302.93398,59.976574
997000.0,200575.77,300.71105,719.71964
998000.0,202345.69,302.60215,344.31688
999000.0,202549.85,300.42569,-326.97851
1000000.0,202290.18,305.092,-46.015417
1001000.0,201724.44,301.0948,279.46104
1002000.0,201459.7,300.81463,-50.338011
1003000.0,201971.04,298.95905,-459.23913
1004000.0,201043.47,297.08248,-54.154972
1005000.0,201298.65,300.98025,-81.094681
1006000.0,201971.42,300.29463,-225.71454
1007000.0,202412.63,303.60575,-836.47927
1008000.0,201392.76,303.45511,-164.58355
1009000.0,201049.89,301.39118,-177.75488
1010000.0,200695.31,300.11184,207.28617
1011000.0,200730.8,305.68966,164.70008
1012000.0,200956.64,297.84973,370.88713
1013000.0,200641.42,305.13898,289.58237
1014000.0,201297.3,300.31405,73.711606
1015000.0,201290.89,301.27462,286.14179
1016000.0,201348.05,299.43838,274.27982
1017000.0,200469.7,303.99143,-381.46956
1018000.0,201834.14,297.70908,302.21798
1019000.0,201644.27,299.31596,-383.99584
1020000.0,201410.44,303.37605,424.31139
1021000.0,202570.91,294.21995,-116.0319
1022000.0,200875.22,303.57629,445.70671
1023000.0,199940.27,303.61048,-122.36887
1024000.0,201090.35,297.05253,-348.15273
1025000.0,201537.17,301.47072,150.36853
1026000.0,201424.23,299.53262,488.47093
1027000.0,200461.41,297.61775,93.449334
1028000.0,201368.02,298.63856,150.49078
1029000.0,201312.28,294.00494,231.4065
1030000.0,200080.02,300.67599,-219.38691
1031000.0,202280.57,301.05051,-215.13183
1032000.0,200990.85,299.7211,59.535677
1033000.0,200400.96,306.00649,611.53534
1034000.0,200255.2,302.32308,165.64178
1035000.0,200961.7,300.50185,-77.022084
1036000.0,201517.46,295.51537,-194.98089
1037000.0,201245.57,303.28538,859.76911
1038000.0,202614.46,299.50168,24.763726
1039000.0,201187.49,298.14109,2.2542833
1040000.0,201584.62,295.40632,-24.337416
1041000.0,201106.57,299.539,-499.78913
1042000.0,201506.92,298.6444,-119.1293
1043000.0,201599.86,302.79363,79.715804
1044000.0,201656.24,299.503,349.70525
1045000.0,201714.85,297.55496,95.233385
1046000.0,201199.2,297.44407,41.498442
1047000.0,200484.84,298.80473,288.51375
1048000.0,201737.58,308.40418,-662.44349
1049000.0,200188.64,295.7663,307.80366
1050000.0,200890.28,306.29016,-539.70026
1051000.0,200454.39,296.65446,-22.525403
1052000.0,201862.82,300.15743,-57.945056
1053000.0,201504.89,300.99096,108.41761
1054000.0,200754.13,301.35317,-128.5254
1055000.0,201358.23,298.79534,-332.27951
1056000.0,201466.47,298.08668,33.72352
1057000.0,201167.64,298.75056,24.442713
1058000.0,201808.58,296.70425,123.73163
1059000.0,201665.47,302.87732,247.23715
1060000.0,201173.79,300.22824,-13.910637
1061000.0,201628.84,299.70043,252.68099
1062000.0,200265.58,303.35763,59.449468
1063000.0,201497.99,301.08949,418.79498
1064000.0,201677.01,298.85884,88.845202
1065000.0,200495.26,304.39244,433.23526
1066000.0,200752.09,296.94727,355.17584
1067000.0,201937.08,298.91297,-48.104191
1068000.0,200924.27,301.09592,-466.51279
1069000.0,200746.19,298.64185,-361.93022
1070000.0,200628.31,299.49968,-548.91662
1071000.0,201438.79,302.34999,-24.659958
1072000.0,200273.08,303.47219,92.133095
1073000.0,200422.14,301.4907,731.73664
1074000.0,201286.56,301.69275,-18.343874
1075000.0,201363.15,299.14182,-210.3722
1076000.0,200717.71,300.93277,266.93607
1077000.0,200730.9,302.81702,-655.39063
1078000.0,202080.24,295.13183,-51.09439
1079000.0,200372.89,297.73188,-87.497213
1080000.0,200666.79,300.6424,-392.69084
1081000.0,200688.14,303.38845,588.42112
1082000.0,200762.52,297.6729,129.88683
1083000.0,201941.15,301.93226,-61.351912
1084000.0,201988.92,300.81689,-243.53837
1085000.0,200982.22,299.39889,320.39159
1086000.0,200613.5,301.82996,311.79623
1087000.0,202087.5,299.66817,-482.80003
1088000.0,200913.97,297.07806,24.755942
1089000.0,201542.93,303.77251,-313.30456
1090000.0,200697.45,299.00001,-366.05305
1091000.0,201208.54,299.36896,-236.37386
1092000.0,199985.57,298.59885,-13.841992
1093000.0,201560.97,298.88243,207.078
1094000.0,202464.16,303.10592,-6.959929
1095000.0,200508.65,299.35248,-364.40067
1096000.0,199923.15,301.79161,226.38459
1097000.0,200423.94,298.64721,315.67122
1098000.0,200747.07,301.84123,206.77174
1099000.0,201477.93,303.81056,4.1003207
1100000.0,199960.1,296.78409,298.09483
1101000.0,200365.53,300.4066,8.7239721
1102000.0,200410.63,304.45446,676.51487
1103000.0,201070.78,301.75674,-314.83194
1104000.0,201526.14,298.62955,-321.22308
1105000.0,200609.12,296.80647,374.7008
1106000.0,201986.99,298.46653,-2.2512493
1107000.0,200752.76,300.16918,-13.091774
1108000.0,200508.29,299.25248,6.1022003
1109000.0,201301.15,301.27893,-249.32406
1110000.0,201467.35,303.06822,199.00571
1111000.0,202451.72,298.03429,244.56518
1112000.0,200509.64,301.46812,-61.257905
1113000.0,201965.66,301.25175,313.21456
1114000.0,200370.77,295.22276,271.9469
1115000.0,201287.12,301.53155,174.81544
1116000.0,201278.45,302.59801,220.56182
1117000.0,201652.47,300.3423,238.51752
1118000.0,201138.23,302.77095,636.64749
1119000.0,201338.56,297.34731,-78.239927
1120000.0,201701.11,296.78153,-109.8031
1121000.0,201772.44,302.70204,67.317157
1122000.0,201335.29,301.6302,-29.228218
1123000.0,201657.74,298.75431,412.43881
1124000.0,201469.28,300.29069,284.71159
1125000.0,200891.08,301.70255,310.85772
1126000.0,201751.31,298.39851,-68.428856
1127000.0,201289.46,297.6985,-396.48727
1128000.0,201389.88,298.46959,257.31037
1129000.0,201077.12,305.14252,-204.77464
1130000.0,199934.81,297.33284,549.96597
1131000.0,201114.16,296.50035,190.79466
1132000.0,200725.02,298.2024,103.45886
1133000.0,200531.22,298.84149,-266.78711
1134000.0,200186.2,300.15201,-40.037018
1135000.0,200871.4,296.97145,110.8106
1136000.0,201354.23,298.69273,230.83391
1137000.0,200722.59,298.7709,82.609061
1138000.0,200721.5,302.17753,-68.893308
1139000.0,202773.93,302.29074,-650.49889
1140000.0,201914.85,300.20183,-588.96429
1141000.0,201596.88,300.23544,-156.77635
1142000.0,201406.93,296.94303,-439.22905
1143000.0,199833.04,302.59584,396.96906
1144000.0,201030.57,299.36891,-479.98912
1145000.0,201262.75,302.47186,105.86199
1146000.0,200914.48,302.52296,-45.108916
1147000.0,200623.71,295.19516,147.30027
1148000.0,200226.37,300.57078,-31.388305
1149000.0,202007.47,296.46289,-295.16927
1150000.0,202446.72,302.16307,487.15326
1151000.0,201365.86,299.22582,773.02298
1152000.0,201393.4,297.93295,-4.5685996
1153000.0,201471.54,299.31377,-6.0525971
1154000.0,200676.22,304.48592,419.54006
1155000.0,200385.71,295.44686,-77.693657
1156000.0,201542.74,299.95343,140.10669
1157000.0,200694.48,301.76683,192.44695
1158000.0,202081.72,298.74094,-259.47253
1159000.0,202089.43,293.69271,-407.61279
1160000.0,200724.16,303.27815,608.6676
1161000.0,201498.63,300.39364,-317.36576
1162000.0,199451.45,296.40604,139.07312
1163000.0,201425.54,303.69911,-49.293257
1164000.0,200718.56,302.65502,151.87189
1165000.0,201200.39,299.15833,-282.45921
1166000.0,201397.51,298.97469,367.27877
1167000.0,201569.12,301.78753,116.19812
1168000.0,201857.85,295.32478,-511.15775
1169000.0,200062.17,300.10261,275.28286
1170000.0,202243.59,300.20396,-181.92406
1171000.0,200895.07,303.05693,363.42917
1172000.0,200907.18,296.96434,-316.02394
1173000.0,201514.33,294.81284,99.227338
1174000.0,201218.68,302.8675,379.48946
1175000.0,201120.43,296.12064,88.258594
1176000.0,201323.26,297.27211,184.85696
1177000.0,200805.92,300.48187,461.35838
1178000.0,201231.84,297.9327,-286.51864
1179000.0,202505.37,300.90196,-70.835378
1180000.0,201226.56,302.07312,67.517221
1181000.0,202191.3,296.36467,-87.95329
1182000.0,201476.28,302.5084,-559.95595
