Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.496705 4.496705 4.496705) to (44.824428 44.824428 44.824428)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  7020 atoms
  reading velocities ...
  7020 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  10 = max angles/atom
  scanning dihedrals ...
  16 = max dihedrals/atom
  scanning impropers ...
  7 = max impropers/atom
  orthogonal box = (4.496705 4.496705 4.496705) to (44.824428 44.824428 44.824428)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  7010 bonds
  reading angles ...
  13000 angles
  reading dihedrals ...
  14970 dihedrals
  reading impropers ...
  8000 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
     8 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.254 seconds
Finding SHAKE clusters ...
      10 = # of size 2 clusters
    1990 = # of size 3 clusters
      10 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.30975445
  grid = 32 32 32
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00030490814
  estimated relative force accuracy = 9.1822181e-07
  using double precision cuFFT
  3d grid and FFT values/proc = 59319 32768
Generated 15 of 15 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 35.59 | 35.59 | 35.59 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              371.02606     -655.28359      6672.3111      7299.0928      6280.7366      1018.3562      1013.1455      4950.5366     -6106.5767     -54.332754     -3143.8347      11333.557     -6974.1386     -343.42382      65585.993      40.327723      40.327723      40.327723      1.1158809     -2715.0038      178.57105      570.58196    
       100   100            306.87357     -179.39449      5941.3114      6112.8337      5194.762       918.07169      987.37155      4831.3232     -6045.8337     -50.24966      -3132.9999      11310.538     -6982.0773     -343.5626       65559.501      40.322292      40.322292      40.322292      1.1163319     -444.90504      171.80674     -265.08518    
       200   200            294.90546     -88.599672      5922.1199      6006.7364      4992.1656      1014.5707      1038.6904      4861.6318     -6051.8017     -47.27639      -3117.3255      11312.541     -6981.8885     -343.94956      65485.744      40.307165      40.307165      40.307165      1.1175892      451.43671     -894.37622      177.14049    
       300   300            298.51983     -330.45687      5620.9535      5936.2582      5053.3497      882.90854      987.56688      4846.8581     -6130.4231     -48.70983      -3119.7398      11330.945     -6983.5883     -344.27196      65424.418      40.294579      40.294579      40.294579      1.1186368     -552.50447     -207.79372     -231.07243    
       400   400            296.98616     -362.46569      5696.3722      6042.0934      5027.3877      1014.7057      1028.8574      4918.6641     -6127.7264     -51.999215     -3126.3442      11354.036     -6980.7821     -344.39607      65400.84       40.289738      40.289738      40.289738      1.1190401     -894.52871      2.5663533     -195.43471    
       500   500            307.61846      727.36748      6855.8493      6161.0076      5207.3715      953.63606      984.37475      4866.415      -6084.6688     -49.850216     -3140.8868      11357.058     -6978.8057     -343.86295      65502.236      40.310549      40.310549      40.310549      1.1173078      36.215205      908.32741      1237.5598    
       600   600            306.18713     -1666.5383      4550.4649      6145.3533      5183.142       962.2113       983.62005      4839.7383     -6049.589      -52.342722     -3113.448       11331.047     -6976.8142     -343.24358      65620.433      40.33478       40.33478       40.33478       1.1152953     -826.56966     -2647.4123     -1525.633     
       700   700            297.22331     -294.48856      5780.5381      6062.4008      5031.4023      1030.9986      975.29445      4992.425      -6081.0459     -52.403853     -3153.6638      11330.781     -6980.388      -343.20068      65628.636      40.336461      40.336461      40.336461      1.1151559     -1569.1893      836.11513     -150.39148    
       800   800            298.02781     -321.97257      5698.0836      6005.8552      5045.0209      960.83429      1000.6993      4854.173      -6035.494      -50.471408     -3145.7747      11317.396     -6979.6937     -343.6432       65544.125      40.31914       40.31914       40.31914       1.1165937     -322.36417     -492.56195     -150.99161    
       900   900            294.26846      270.84447      6292.5345      6034.5955      4981.3825      1053.213       1005.0053      4935.9309     -6063.1392     -52.90274      -3111.9707      11318.534     -6978.245      -344.92158      65301.198      40.269266      40.269266      40.269266      1.1207476     -233.48773      1481.2425     -435.22139    
