temperature,mean_density,std_density,n_points
100.0,0.9222139977972028,0.001699834835200294,2002
150.0,0.9132834984015984,0.0021795690624681835,1001
190.0,0.9059917060778443,0.003069237982157715,1002
230.0,0.8905383614785216,0.0035866245449181,1001
270.0,0.8713637932502493,0.0036844472282500664,1003
310.0,0.8528706354133064,0.004356833238954756,992
315.0,0.8481322584615383,0.004162028086085456,13
345.0,0.828672566,0.007121690990072493,5
350.0,0.8290518226850829,0.004688897975101109,905
355.0,0.8247130733333333,0.003333377810241387,12
385.0,0.8062795374468086,0.004110502678425328,47
390.0,0.8071065131855956,0.005247428839225995,722
395.0,0.8060867116666667,0.004768082723356989,36
425.0,0.784901392,0.005150776105686629,85
430.0,0.7845684699832777,0.005569204961712875,598
435.0,0.7847784370689656,0.005546605428984605,116
440.0,0.7854024133333333,0.0018023675885160823,3
460.0,0.761283804,0.003202378369459155,5
465.0,0.7632463280357141,0.005247637298569148,56
470.0,0.763432105077951,0.006091085550941661,449
475.0,0.7635823689473685,0.005841104229415959,95
480.0,0.7632478871428571,0.0034241999564382005,7
495.0,0.7545880833333333,0.00728788361457793,3
505.0,0.7442818797058822,0.005131707626347883,68
510.0,0.7409908711803278,0.006243261749809641,305
515.0,0.7425798753846155,0.006114591350518606,143
520.0,0.7425918125,0.006792288988931387,4
540.0,0.7226469470000001,0.0052756159894543535,10
545.0,0.7210611058426967,0.005434875912249112,89
550.0,0.7207486800881058,0.006045968253559761,227
555.0,0.7186037004347826,0.007515939147142474,46
560.0,0.7208317937500001,0.005024321988730804,16
