r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,2.58627
1.4183,14.07064
1.5150,1.42023
1.6117,0.11675
1.7083,0.00000
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00316
2.2883,0.22009
2.3850,4.03897
2.4817,2.53377
2.5783,0.61136
2.6750,0.37512
2.7717,1.54177
2.8683,0.82579
2.9650,0.39504
3.0617,0.41903
3.1583,0.32840
3.2550,0.24906
3.3517,0.23760
3.4483,0.30610
3.5450,0.53099
3.6417,0.62097
3.7383,0.74337
3.8350,0.90745
3.9317,0.74859
4.0283,0.73459
4.1250,0.88685
4.2217,1.09263
4.3183,1.18415
4.4150,1.10719
4.5117,0.97084
4.6083,0.98910
4.7050,1.07631
4.8017,1.08998
4.8983,1.06951
4.9950,1.18960
5.0917,1.21506
5.1883,1.13020
5.2850,1.10390
5.3817,1.06617
5.4783,1.03949
5.5750,1.02767
5.6717,1.00095
5.7683,1.01190
5.8650,1.03658
5.9617,1.04932
6.0583,1.02932
6.1550,1.07211
6.2517,1.10790
6.3483,1.11920
6.4450,1.09136
6.5417,1.08876
6.6383,1.03594
6.7350,0.99104
6.8317,0.96806
6.9283,1.00380
7.0250,0.96407
7.1217,1.01254
7.2183,1.01820
7.3150,1.01471
7.4117,0.99808
7.5083,1.00537
7.6050,0.99544
7.7017,0.93430
7.7983,0.94794
7.8950,0.96356
7.9917,0.92614
8.0883,0.94564
8.1850,0.93951
8.2817,0.97984
8.3783,0.95520
8.4750,0.99688
8.5717,0.98856
8.6683,1.00802
8.7650,0.99814
8.8617,0.99541
8.9583,0.99200
9.0550,0.98980
9.1517,0.98421
9.2483,0.99052
9.3450,0.99063
9.4417,0.99410
9.5383,1.01573
9.6350,1.00182
9.7317,0.99931
9.8283,0.97237
9.9250,1.00680
10.0217,1.01767
10.1183,0.99447
10.2150,1.01774
10.3117,1.00003
10.4083,1.01962
10.5050,0.99448
10.6017,1.01152
10.6983,1.02128
10.7950,1.01583
10.8917,0.99135
10.9883,0.99157
11.0850,1.01916
11.1817,1.02212
11.2783,1.02053
11.3750,1.03537
11.4717,1.00094
11.5683,1.00797
11.6650,1.00471
11.7617,0.98486
11.8583,0.99012
11.9550,0.98075
12.0517,1.00361
12.1483,1.00610
12.2450,1.00565
12.3417,1.00310
12.4383,1.01130
12.5350,1.01796
12.6317,0.99303
12.7283,0.99298
12.8250,0.99116
12.9217,0.99565
13.0183,0.98646
13.1150,0.98996
13.2117,0.99569
13.3083,0.99566
13.4050,0.99866
13.5017,0.99256
13.5983,1.00253
13.6950,1.00048
13.7917,0.99081
13.8883,1.00050
13.9850,0.97764
14.0817,0.99180
14.1783,0.99658
14.2750,0.99690
14.3717,0.99161
14.4683,0.99985
14.5650,1.01172
14.6617,1.00731
14.7583,1.01233
14.8550,0.99459
14.9517,1.00484
