r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,0.00000
1.4183,0.14143
1.5150,9.30987
1.6117,2.61814
1.7083,0.00000
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.04147
2.2883,0.82607
2.3850,2.48154
2.4817,1.34008
2.5783,0.18836
2.6750,0.00398
2.7717,0.00000
2.8683,0.01038
2.9650,0.07446
3.0617,0.13966
3.1583,0.21969
3.2550,0.23907
3.3517,0.17481
3.4483,0.19148
3.5450,0.32386
3.6417,1.35204
3.7383,1.96935
3.8350,0.93663
3.9317,0.76962
4.0283,0.88923
4.1250,1.03538
4.2217,1.07953
4.3183,1.15232
4.4150,1.33312
4.5117,1.32275
4.6083,1.38176
4.7050,1.48628
4.8017,1.54061
4.8983,1.41042
4.9950,1.21490
5.0917,1.22959
5.1883,1.20112
5.2850,1.18102
5.3817,1.09672
5.4783,1.09345
5.5750,1.08516
5.6717,1.04318
5.7683,1.04871
5.8650,1.03594
5.9617,1.08831
6.0583,1.06083
6.1550,0.96617
6.2517,0.91977
6.3483,0.88279
6.4450,0.93599
6.5417,0.86264
6.6383,0.86225
6.7350,0.81822
6.8317,0.87512
6.9283,0.91135
7.0250,0.90836
7.1217,0.94055
7.2183,0.94939
7.3150,0.90744
7.4117,0.89792
7.5083,0.88454
7.6050,0.86220
7.7017,0.89395
7.7983,0.90235
7.8950,0.90459
7.9917,0.92785
8.0883,1.00108
8.1850,0.95803
8.2817,1.06486
8.3783,1.04408
8.4750,1.04378
8.5717,1.06027
8.6683,1.08865
8.7650,1.05365
8.8617,1.07320
8.9583,1.06896
9.0550,1.03029
9.1517,1.03549
9.2483,1.08317
9.3450,1.06316
9.4417,1.07694
9.5383,1.08087
9.6350,1.06727
9.7317,1.07111
9.8283,1.04543
9.9250,1.01852
10.0217,1.02164
10.1183,1.02751
10.2150,0.99725
10.3117,0.99925
10.4083,1.00836
10.5050,1.00098
10.6017,0.97318
10.6983,1.00467
10.7950,0.97063
10.8917,0.94053
10.9883,0.94503
11.0850,0.93696
11.1817,0.95475
11.2783,0.97873
11.3750,0.97932
11.4717,0.98365
11.5683,0.98217
11.6650,0.93772
11.7617,0.95467
11.8583,0.97398
11.9550,0.96507
12.0517,0.95180
12.1483,0.97683
12.2450,0.95426
12.3417,0.99767
12.4383,1.01055
12.5350,1.01187
12.6317,1.01018
12.7283,1.01123
12.8250,1.02668
12.9217,1.02961
13.0183,1.01236
13.1150,1.03589
13.2117,1.01736
13.3083,1.02240
13.4050,1.00501
13.5017,1.04626
13.5983,1.02528
13.6950,1.02102
13.7917,1.04342
13.8883,0.99678
13.9850,1.01026
14.0817,1.01926
14.1783,1.03444
14.2750,0.98947
14.3717,0.99563
14.4683,1.01487
14.5650,1.00842
14.6617,0.97822
14.7583,0.99955
14.8550,1.00503
14.9517,1.00353
