r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,0.00000
1.4183,0.03659
1.5150,6.41395
1.6117,8.98353
1.7083,0.30268
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00000
2.2883,0.08436
2.3850,1.49706
2.4817,3.04438
2.5783,3.89836
2.6750,1.88289
2.7717,0.60059
2.8683,0.59659
2.9650,0.20658
3.0617,0.28538
3.1583,0.51175
3.2550,0.96131
3.3517,1.18193
3.4483,1.18058
3.5450,0.82609
3.6417,0.58850
3.7383,0.74462
3.8350,0.67084
3.9317,0.75258
4.0283,1.16457
4.1250,1.01832
4.2217,0.78494
4.3183,0.72913
4.4150,0.74666
4.5117,0.85488
4.6083,1.05284
4.7050,1.31824
4.8017,1.29551
4.8983,1.13031
4.9950,0.97091
5.0917,0.76494
5.1883,0.71664
5.2850,0.71439
5.3817,0.72031
5.4783,0.80388
5.5750,0.85285
5.6717,0.83089
5.7683,0.88884
5.8650,0.88618
5.9617,1.00200
6.0583,1.01509
6.1550,0.98734
6.2517,0.94762
6.3483,1.00790
6.4450,1.02989
6.5417,0.99452
6.6383,0.92343
6.7350,0.96205
6.8317,0.99970
6.9283,1.00472
7.0250,1.06230
7.1217,1.01576
7.2183,1.02218
7.3150,1.01736
7.4117,0.98295
7.5083,0.95389
7.6050,0.99854
7.7017,0.99349
7.7983,1.01139
7.8950,1.02930
7.9917,1.05028
8.0883,1.02571
8.1850,1.02983
8.2817,1.00378
8.3783,1.09369
8.4750,1.06991
8.5717,1.05861
8.6683,1.06518
8.7650,1.05299
8.8617,1.03108
8.9583,1.01568
9.0550,1.02345
9.1517,1.07755
9.2483,1.02759
9.3450,1.05450
9.4417,1.00191
9.5383,1.02244
9.6350,1.02503
9.7317,1.00995
9.8283,0.98230
9.9250,0.99291
10.0217,1.00806
10.1183,1.01622
10.2150,0.94557
10.3117,0.98909
10.4083,1.02586
10.5050,1.00507
10.6017,1.00560
10.6983,0.99995
10.7950,1.01793
10.8917,1.03428
10.9883,0.98750
11.0850,0.98274
11.1817,0.97269
11.2783,0.97809
11.3750,0.99549
11.4717,0.99948
11.5683,0.96983
11.6650,1.00342
11.7617,0.98611
11.8583,1.00920
11.9550,0.97182
12.0517,0.97505
12.1483,0.99385
12.2450,0.99934
12.3417,0.98697
12.4383,1.00881
12.5350,0.98878
12.6317,0.98047
12.7283,1.03336
12.8250,1.00008
12.9217,1.00531
13.0183,1.00724
13.1150,1.00129
13.2117,0.97629
13.3083,0.99070
13.4050,0.98425
13.5017,1.02177
13.5983,0.96788
13.6950,1.00124
13.7917,1.00545
13.8883,1.00983
13.9850,0.98939
14.0817,0.99628
14.1783,0.99995
14.2750,1.00247
14.3717,0.97525
14.4683,0.99427
14.5650,1.00912
14.6617,0.97758
14.7583,1.00798
14.8550,0.97522
14.9517,1.00579
