r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,2.70032
1.4183,14.39152
1.5150,1.61972
1.6117,0.78342
1.7083,0.00241
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00147
2.2883,0.31739
2.3850,4.06455
2.4817,2.76270
2.5783,1.12823
2.6750,0.64268
2.7717,1.39988
2.8683,0.99211
2.9650,0.57199
3.0617,0.43201
3.1583,0.30148
3.2550,0.30046
3.3517,0.33604
3.4483,0.38972
3.5450,0.56043
3.6417,0.63835
3.7383,0.59770
3.8350,0.89598
3.9317,0.75405
4.0283,0.62932
4.1250,0.77526
4.2217,0.91325
4.3183,1.06016
4.4150,1.01099
4.5117,0.91900
4.6083,0.93823
4.7050,1.03847
4.8017,1.07803
4.8983,1.07905
4.9950,1.12774
5.0917,1.14320
5.1883,1.11408
5.2850,1.03613
5.3817,0.96203
5.4783,0.95021
5.5750,0.94700
5.6717,0.99995
5.7683,0.97391
5.8650,1.01886
5.9617,1.06357
6.0583,1.07519
6.1550,1.04781
6.2517,1.09567
6.3483,1.06116
6.4450,1.06772
6.5417,1.05813
6.6383,1.04543
6.7350,1.01486
6.8317,1.00793
6.9283,1.02666
7.0250,1.04883
7.1217,1.06444
7.2183,1.05626
7.3150,1.04090
7.4117,1.03021
7.5083,1.01360
7.6050,0.99482
7.7017,0.97629
7.7983,0.98432
7.8950,0.97178
7.9917,1.00289
8.0883,0.97723
8.1850,0.98887
8.2817,0.99786
8.3783,1.00537
8.4750,1.01189
8.5717,0.98076
8.6683,0.99181
8.7650,1.00508
8.8617,1.00758
8.9583,0.99736
9.0550,0.98537
9.1517,0.98737
9.2483,1.00784
9.3450,0.98017
9.4417,0.97932
9.5383,1.00339
9.6350,0.99769
9.7317,0.99262
9.8283,0.98537
9.9250,0.98986
10.0217,0.97928
10.1183,0.98377
10.2150,0.97631
10.3117,0.99412
10.4083,0.98309
10.5050,0.97963
10.6017,0.98723
10.6983,0.98904
10.7950,0.98936
10.8917,0.98422
10.9883,1.00589
11.0850,0.99605
11.1817,0.99315
11.2783,0.99287
11.3750,0.98962
11.4717,1.00732
11.5683,0.99929
11.6650,1.00438
11.7617,1.00321
11.8583,0.99424
11.9550,0.99931
12.0517,1.00769
12.1483,1.01501
12.2450,1.00684
12.3417,1.00431
12.4383,1.00538
12.5350,1.00307
12.6317,0.99810
12.7283,1.00504
12.8250,1.00061
12.9217,1.00776
13.0183,1.00926
13.1150,1.01016
13.2117,1.00847
13.3083,1.01193
13.4050,1.00569
13.5017,1.00413
13.5983,0.99364
13.6950,1.01094
13.7917,1.00423
13.8883,1.00092
13.9850,1.00557
14.0817,1.01458
14.1783,1.00461
14.2750,1.02002
14.3717,1.00055
14.4683,0.99244
14.5650,1.00039
14.6617,1.00464
14.7583,1.00187
14.8550,0.99475
14.9517,1.00445
