r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,2.04096
1.4183,11.75934
1.5150,3.86638
1.6117,1.71703
1.7083,0.02715
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00000
2.2883,0.09945
2.3850,3.15467
2.4817,2.68026
2.5783,1.92447
2.6750,0.90028
2.7717,1.24388
2.8683,0.47890
2.9650,0.18932
3.0617,0.39980
3.1583,0.51417
3.2550,0.48088
3.3517,0.41726
3.4483,0.45799
3.5450,0.53156
3.6417,0.58056
3.7383,0.68784
3.8350,1.08395
3.9317,0.93023
4.0283,0.78914
4.1250,0.67872
4.2217,0.72106
4.3183,0.91136
4.4150,0.99504
4.5117,0.98178
4.6083,1.05779
4.7050,1.09149
4.8017,1.15014
4.8983,1.10614
4.9950,1.13226
5.0917,1.15170
5.1883,1.13610
5.2850,1.04668
5.3817,1.06103
5.4783,1.02316
5.5750,1.01094
5.6717,1.01866
5.7683,1.02360
5.8650,1.04445
5.9617,1.06342
6.0583,1.04394
6.1550,1.05415
6.2517,1.04845
6.3483,1.06509
6.4450,1.02466
6.5417,1.07213
6.6383,1.04627
6.7350,1.04641
6.8317,1.02161
6.9283,1.00227
7.0250,1.01755
7.1217,1.00172
7.2183,0.96855
7.3150,0.96873
7.4117,0.97104
7.5083,0.95865
7.6050,0.98025
7.7017,0.93728
7.7983,0.97228
7.8950,0.94934
7.9917,0.95399
8.0883,0.95590
8.1850,0.96658
8.2817,0.94712
8.3783,0.95685
8.4750,0.96872
8.5717,0.98044
8.6683,0.97241
8.7650,0.99868
8.8617,0.99878
8.9583,0.99371
9.0550,1.00796
9.1517,1.00071
9.2483,1.00266
9.3450,1.00109
9.4417,0.99009
9.5383,0.98357
9.6350,1.01443
9.7317,1.00370
9.8283,1.00808
9.9250,1.00923
10.0217,1.01692
10.1183,1.00786
10.2150,1.02599
10.3117,1.00237
10.4083,1.02868
10.5050,1.01281
10.6017,1.02444
10.6983,1.02966
10.7950,1.00372
10.8917,1.02684
10.9883,1.02048
11.0850,1.00138
11.1817,1.02951
11.2783,1.00268
11.3750,1.01432
11.4717,0.99808
11.5683,1.01023
11.6650,1.01237
11.7617,1.01527
11.8583,0.99581
11.9550,0.99783
12.0517,0.98898
12.1483,0.99863
12.2450,0.99886
12.3417,0.99479
12.4383,0.98729
12.5350,1.00138
12.6317,0.99186
12.7283,0.98909
12.8250,1.00287
12.9217,1.00813
13.0183,0.99348
13.1150,0.99331
13.2117,0.98615
13.3083,1.00180
13.4050,1.00083
13.5017,0.99226
13.5983,0.99143
13.6950,0.98684
13.7917,1.00580
13.8883,0.99666
13.9850,0.99312
14.0817,0.99986
14.1783,0.99697
14.2750,1.00769
14.3717,1.00256
14.4683,0.99354
14.5650,1.00057
14.6617,0.99606
14.7583,0.99277
14.8550,0.99826
14.9517,1.00728
