run,family,prod_ns,thermo_steps,tau_V_ps,n_eff,stat_floor_pct,V_cv_pct,K_fluc_GPa,K_fluc_blockSEM_GPa,K_murn_GPa,K_murn_SEM_GPa,murn_r2,murn_B0p,murn_gate_pass,K_deform_GPa,K_headline_GPa,headline_method
PE1,PE,1.25,1000.0,28.1748,44.4013,21.2235,0.4473,1.5889,0.0636,1.4626,0.0976,0.9996,13.4557,True,,1.4626,murnaghan_gated
PE2,PE,1.25,1000.0,12.0284,104.0043,13.8672,0.4784,1.4909,0.0793,1.6409,0.1084,0.9996,12.2658,True,,1.6409,murnaghan_gated
PE3,PE,0.625,1000.0,9.4069,66.5469,17.3361,0.4437,1.6513,0.072,1.3577,0.3228,0.9962,16.2434,True,,1.3577,murnaghan_gated
PE4,PE,0.625,1000.0,8.5415,73.2891,16.5194,0.4286,1.6659,0.1028,1.5583,0.09,0.9999,9.6115,True,,1.5583,murnaghan_gated
PEEK1,PEEK,0.5,1000.0,4.2618,117.5573,13.0434,0.4193,4.9326,0.1801,5.1575,0.1222,0.9998,6.3035,True,3.5307,5.1575,murnaghan_gated
PEEK2,PEEK,0.5,1000.0,5.7231,87.5406,15.1151,0.2582,4.9768,0.1051,4.8711,0.0258,1.0,11.3169,True,,4.8711,murnaghan_gated
PEEK3,PEEK,0.5,1000.0,1.1673,429.1954,6.8263,0.2558,5.5634,0.2596,5.306,0.058,0.9998,7.6014,True,,5.306,murnaghan_gated
PEEK4,PEEK,0.5,1000.0,3.3809,148.1839,11.6175,0.2644,4.5293,0.2578,5.1315,0.1766,0.9981,16.155,True,,5.1315,murnaghan_gated
PEG1,PEG,0.5,1000.0,4.8557,103.1782,13.9226,0.4041,3.1397,0.1155,3.3943,0.0613,1.0,8.9289,True,,3.3943,murnaghan_gated
PEG2,PEG,0.5,1000.0,36.7307,13.6398,38.2922,0.424,3.4528,0.2431,3.2912,0.0637,1.0,9.3307,True,,3.2912,murnaghan_gated
PEG3,PEG,0.5,1000.0,20.3806,24.5822,28.5236,0.4447,2.7321,0.1617,3.3367,0.1367,0.9999,9.2007,True,,3.3367,murnaghan_gated
PEG4,PEG,0.5,1000.0,15.3029,32.7389,24.7163,0.444,3.216,0.1602,3.4984,0.2081,0.9997,8.9619,True,,3.4984,murnaghan_gated
PLA1,PLA,0.5,1000.0,11.6074,43.1623,21.526,0.4265,4.541,0.2963,4.9838,0.1155,0.9998,7.8389,True,,4.9838,murnaghan_gated
PLA2,PLA,0.5,1000.0,2.2071,226.9911,9.3866,0.4097,5.2719,0.4511,5.3913,0.1468,0.9998,6.1501,True,3.4159,5.3913,murnaghan_gated
PLA3,PLA,,,,,,,,,4.4617,0.1356,0.9998,11.3883,True,3.1258,4.4617,murnaghan_gated
