run,family,ff_class,atoms,sim_ns,wall_h,gpu_h,cpu_h,cpu_core_h,core_h,cores,n_logs
PE1,PE,UA,4840,16.65,33.54,33.54,0.0,0.0,33.54,1,15
PE2,PE,UA,4840,16.64,4.59,4.59,0.0,0.0,4.59,1,15
PE3,PE,UA,4840,28.21,17.46,8.16,9.3,74.44,114.33,2/8,18
PE4,PE,UA,4840,40.25,8.14,8.14,0.0,0.0,8.14,1,17
PEEK1,PEEK,AA,4096,18.9,45.12,45.12,0.0,0.0,130.84,1/3,16
PEEK2,PEEK,AA,10900,24.83,39.84,39.84,0.0,0.0,39.84,1,17
PEEK3,PEEK,AA,8720,32.8,52.1,52.1,0.0,0.0,52.1,1,15
PEEK4,PEEK,AA,8720,121.2,80.29,80.29,0.0,0.0,80.29,1,23
PEG1,PEG,AA,7020,21.82,29.09,29.09,0.0,0.0,84.39,1/4,15
PEG2,PEG,AA,7020,24.15,16.65,16.65,0.0,0.0,16.65,1,16
PEG3,PEG,AA,7020,26.65,15.55,15.55,0.0,0.0,15.55,1,21
PEG4,PEG,AA,7020,37.2,20.32,20.32,0.0,0.0,20.32,1,17
PLA1,PLA,AA,4520,22.03,54.81,54.81,0.0,0.0,174.63,1/4,17
PLA2,PLA,AA,4520,38.35,59.42,59.42,0.0,0.0,59.42,1,22
PLA3,PLA,AA,4520,47.4,57.09,57.09,0.0,0.0,57.09,1,20
PLA4,PLA,AA,4520,33.6,33.39,33.39,0.0,0.0,33.39,1,17
PMMA1,PMMA,AA,6020,36.6,72.64,72.64,0.0,0.0,380.05,1/4/8,17
PMMA2,PMMA,AA,7520,28.2,41.27,41.27,0.0,0.0,41.27,1,17
PMMA3,PMMA,AA,7520,16.8,31.44,31.44,0.0,0.0,31.44,1,15
PMMA4,PMMA,AA,7520,47.6,31.66,31.66,0.0,0.0,31.66,1,18
PS1,PS,AA,6420,22.5,43.7,43.7,0.0,0.0,166.09,1/4,15
PS2,PS,AA,6420,26.18,15.27,15.27,0.0,0.0,15.27,1,17
PS3,PS,AA,6420,26.18,14.43,14.43,0.0,0.0,14.43,1,17
PS4,PS,AA,6420,41.41,24.07,24.07,0.0,0.0,24.07,1,17
PSU1,PSU,AA,8656,28.57,55.05,55.05,0.0,0.0,145.02,1/4,16
PSU2,PSU,AA,10820,33.35,53.19,53.19,0.0,0.0,53.19,1,20
PSU3,PSU,AA,10816,48.65,40.1,40.1,0.0,0.0,40.1,1,18
PSU4,PSU,AA,10816,54.41,82.06,82.06,0.0,0.0,82.06,1,18
PVC1,PVC,AA,3620,19.9,58.39,58.39,0.0,0.0,108.06,1/4,16
PVC2,PVC,AA,3620,23.08,11.79,11.79,0.0,0.0,11.79,1,17
PVC3,PVC,AA,3620,38.3,17.81,17.81,0.0,0.0,17.81,1,17
PVC4,PVC,AA,3620,27.7,13.74,13.74,0.0,0.0,13.74,1,16
cis-PBD1,cis-PBD,UA,8040,13.76,33.51,7.87,25.64,205.13,212.99,1/8,13
cis-PBD2,cis-PBD,UA,8040,20.98,9.79,9.79,0.0,0.0,9.79,1,18
cis-PBD3,cis-PBD,UA,8040,22.91,11.6,11.6,0.0,0.0,11.6,1,17
cis-PBD4,cis-PBD,UA,8040,39.06,31.71,11.16,20.55,164.36,175.53,1/8,17
