temperature,mean_density,std_density,n_points
100.0,0.9195865516334661,0.0014613253828436156,502
130.0,0.9148150367330676,0.0018462051190102594,251
150.0,0.9103269290039842,0.0020193359322587725,251
170.0,0.9062456229482071,0.0019645616969113677,251
190.0,0.9007041372908366,0.002409669803454705,251
210.0,0.8969550668525896,0.0022403072696194236,251
230.0,0.8877856248207172,0.0028336114467156334,251
250.0,0.8807710771713148,0.00299948030105609,251
270.0,0.8720321965476191,0.0029972865940451044,252
290.0,0.8617256408366534,0.0034111380331481355,251
310.0,0.8520029184523809,0.003417391260396463,252
330.0,0.8419427940611355,0.003966426920746726,229
345.0,0.8322175460000001,0.0015390545806208225,5
350.0,0.8305756398453608,0.004272394662059368,194
365.0,0.8115307283333334,0.004650837122193867,6
370.0,0.8169698963589743,0.004143891290913299,195
390.0,0.807497952284264,0.004678278452324747,197
405.0,0.7955268735714284,0.003222166818146335,14
410.0,0.794624125736842,0.005232558164982077,190
415.0,0.7908236353658538,0.00476502525855574,41
425.0,0.7779183926666667,0.004879475703289473,15
430.0,0.783248784043716,0.004927780366011114,183
435.0,0.7797531449999999,0.0031326279852848878,6
440.0,0.7780797233333333,0.007437865226705367,3
450.0,0.7709025151173707,0.0050884605923702956,213
455.0,0.7679118880000001,0.004654640971172761,5
