step,volume,temperature,pressure
1000000.0,48266.609,301.99988,452.43477
1001000.0,48208.563,295.76985,1296.5291
1002000.0,48169.693,301.17285,1729.5924
1003000.0,48244.682,302.62018,1103.64
1004000.0,48064.46,300.81841,-7.7213311
1005000.0,48017.875,304.11841,-108.63455
1006000.0,48279.299,303.25642,389.17437
1007000.0,48350.026,304.04535,-1958.0307
1008000.0,48347.561,297.42034,-1483.527
1009000.0,48031.798,304.6405,1913.9225
1010000.0,47963.98,298.08027,-81.836801
1011000.0,48067.354,301.80907,714.27514
1012000.0,48101.369,300.26926,-899.50242
1013000.0,48145.66,302.67144,-2058.7157
1014000.0,48199.293,302.65497,359.64639
1015000.0,47984.384,301.04425,612.22298
1016000.0,48049.48,300.80029,363.39107
1017000.0,48284.837,293.2127,-1006.1959
1018000.0,48433.379,307.5202,-837.384
1019000.0,47870.159,300.43549,806.84617
1020000.0,48575.862,303.96457,-2476.099
1021000.0,48120.897,303.70631,245.3186
1022000.0,48178.087,299.96867,-195.82585
1023000.0,48005.37,298.8493,-613.6817
1024000.0,48150.873,300.90696,-598.48541
1025000.0,48176.826,305.17779,499.19842
1026000.0,47834.598,295.53284,583.8636
1027000.0,48044.432,298.03202,834.71476
1028000.0,48236.741,298.28621,-364.25486
1029000.0,48636.623,302.36116,-169.51961
1030000.0,48235.657,306.98069,-848.49205
1031000.0,48163.291,300.94844,-592.33414
1032000.0,48243.978,308.08569,-1395.451
1033000.0,48553.484,303.65551,783.80428
1034000.0,48159.899,295.09006,309.07894
1035000.0,47954.529,302.24802,-162.89482
1036000.0,48086.669,293.46103,802.50991
1037000.0,48362.03,300.58219,-69.01883
1038000.0,48233.675,301.33186,-1596.8807
1039000.0,48467.278,291.90665,-540.05987
1040000.0,48333.79,299.19946,-485.85517
1041000.0,48262.946,294.75514,-275.1508
1042000.0,48427.583,308.48136,881.60789
1043000.0,48405.982,303.72898,681.39272
1044000.0,48287.582,300.19525,-111.84505
1045000.0,48564.343,299.61388,-715.46579
1046000.0,48455.389,305.01777,-2140.0234
1047000.0,48460.227,293.08461,544.36437
1048000.0,48149.829,299.16558,-12.171179
1049000.0,48166.725,299.39065,1036.9563
1050000.0,47962.031,293.50263,1261.7011
1051000.0,48430.724,299.09072,-498.9625
1052000.0,48321.069,301.91317,-439.63832
1053000.0,48522.443,302.21718,-1402.367
1054000.0,48034.701,299.18484,-289.75486
1055000.0,48317.535,300.87592,435.26129
1056000.0,48175.829,301.18954,1734.2343
1057000.0,48115.169,297.99944,-1022.9609
1058000.0,47873.151,300.89736,-2416.2485
1059000.0,48159.569,293.32627,-713.37701
1060000.0,48144.895,302.10797,-646.27694
1061000.0,48271.254,291.95375,721.07775
1062000.0,47954.405,303.16477,-1338.796
1063000.0,48271.085,301.24536,-2632.3611
1064000.0,48258.844,297.91929,-1274.635
1065000.0,47916.762,304.95191,2151.2751
1066000.0,47987.436,297.64977,287.45395
1067000.0,48280.724,297.93152,-1692.8105
1068000.0,48265.377,302.17408,1695.1114
1069000.0,48341.651,297.40387,171.58744
1070000.0,48200.366,301.80347,-681.78512
1071000.0,48419.766,307.2519,-819.54482
1072000.0,48498.107,293.13723,-91.814712
1073000.0,48139.135,301.43638,-577.43422
1074000.0,47882.191,297.26156,1300.2686
1075000.0,48317.78,297.37464,-465.88516
1076000.0,48196.135,299.9196,-1522.1085
1077000.0,47981.693,307.34172,1657.7708
1078000.0,48023.756,297.76714,1783.1929
1079000.0,48452.136,298.66863,-2240.9582
1080000.0,48047.076,300.33846,-580.89441
1081000.0,48096.524,296.57436,464.31173
1082000.0,48266.872,305.54435,741.48156
1083000.0,48340.09,295.80336,-925.16907
1084000.0,48241.723,301.35193,-1931.6072
1085000.0,48076.728,299.26744,388.89802
1086000.0,48193.906,299.72786,49.830631
1087000.0,48214.438,306.84394,-471.53446
1088000.0,48110.364,292.85323,-116.93968
1089000.0,48125.576,299.30933,721.22018
1090000.0,47990.185,301.79481,-1176.1457
1091000.0,48046.086,302.28242,-994.57093
1092000.0,48012.935,303.37951,-10.795891
1093000.0,48115.363,300.15968,1106.2027
1094000.0,48309.951,300.40144,-156.12716
1095000.0,48546.894,294.60046,729.70418
1096000.0,48317.161,296.82757,507.21763
1097000.0,48418.144,301.97884,1431.9283
1098000.0,48185.206,304.26118,1237.4206
1099000.0,48108.342,298.99256,1984.3755
1100000.0,48336.004,293.52052,-683.93181
1101000.0,48128.187,301.21966,-285.82049
1102000.0,48014.367,301.99637,-1666.8525
1103000.0,48189.284,297.87861,116.11588
1104000.0,48412.982,299.97896,-643.00287
1105000.0,47821.133,302.14752,1018.4529
1106000.0,48081.869,301.67086,-2566.4558
1107000.0,48488.882,296.74662,384.75867
1108000.0,48110.545,301.46844,-163.06721
1109000.0,48158.129,302.57167,1956.1757
1110000.0,47839.34,291.8982,-189.8664
1111000.0,48033.485,297.75362,335.24673
1112000.0,48118.539,302.31412,1933.2302
1113000.0,48048.434,301.36274,1847.1887
1114000.0,47976.337,304.43282,962.81837
1115000.0,47876.732,297.23428,-2592.8834
1116000.0,48270.556,294.41215,361.08954
1117000.0,48338.872,298.08857,890.15608
