Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.5704171 4.5704171 4.5704171) to (41.062706 41.062706 41.062706)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  4520 atoms
  reading velocities ...
  4520 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  12 = max angles/atom
  scanning dihedrals ...
  21 = max dihedrals/atom
  scanning impropers ...
  8 = max impropers/atom
  orthogonal box = (4.5704171 4.5704171 4.5704171) to (41.062706 41.062706 41.062706)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  4510 bonds
  reading angles ...
  8000 angles
  reading dihedrals ...
  9970 dihedrals
  reading impropers ...
  4500 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
    10 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.276 seconds
Finding SHAKE clusters ...
     500 = # of size 2 clusters
      10 = # of size 3 clusters
     500 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.34318297
  grid = 45 45 45
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00024909339
  estimated relative force accuracy = 7.5013733e-07
  using double precision cuFFT
  3d grid and FFT values/proc = 140608 91125
Generated 21 of 21 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 38.42 | 38.42 | 38.42 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              356.85367      401.03678      16043.171      15758.945      4090.6857      11668.259      1557.3123      3802.344      -4145.1088      128.44282     -2498.5066      44844.305     -32020.53      -389.17239      48596.313      36.492289      36.492289      36.492289      1.2319067      1458.1234     -681.51164      426.49855    
       100   100            302.53867      1777.13        16371.455      15109.737      3468.0619      11641.675      1470.1434      3803.8143     -4165.0145      146.10384     -2465.0552      44866.343     -32014.66      -388.48835      48681.881      36.513695      36.513695      36.513695      1.2297414      1702.479       687.7036       2941.2073    
       200   200            296.9581      -1401.8648      14044.922      15045.085      3404.0906      11640.995      1509.0487      3770.3367     -4136.0323      143.90453     -2502.6485      44870.012     -32013.626     -386.59531      48920.261      36.573197      36.573197      36.573197      1.223749      -1283.7303     -1894.7864     -1027.0776    
       300   300            300.84567      683.00792      15550.121      15062.096      3448.6546      11613.442      1479.0799      3732.891      -4139.4002      153.37116     -2477.7895      44882.816     -32017.527     -386.01575      48993.71       36.591491      36.591491      36.591491      1.2219145      841.98064      264.61226      942.43087    
       400   400            293.69246      916.20191      15746.599      15091.964      3366.656       11725.308      1510.1039      3819.7406     -4089.1872      145.15968     -2505.101       44861.09      -32016.498     -386.0235       48992.726      36.591246      36.591246      36.591246      1.221939       599.8374      -283.81159      2432.5799    
       500   500            304.04975     -1590.4037      14036.034      15171.851      3485.3837      11686.467      1525.9804      3783.5175     -4093.7711      158.66732     -2514.4713      44844.228     -32017.684     -386.20707      48969.439      36.585448      36.585448      36.585448      1.2225201     -2089.7075     -1395.3724     -1286.1314    
       600   600            304.03289     -667.3255       14739.201      15214.732      3485.1904      11729.542      1539.7921      3872.3386     -4121.3026      151.40278     -2559.5077      44862.833     -32016.014     -387.06122      48861.375      36.558516      36.558516      36.558516      1.2252238      736.39315     -1647.7918     -1090.5779    
       700   700            297.5842      -168.8409       15013.924      15133.624      3411.2678      11722.356      1501.9422      3820.9006     -4080.0269      154.38554     -2498.515       44846.244     -32022.574     -389.05126      48611.444      36.496076      36.496076      36.496076      1.2315232     -503.3821       634.95099     -638.0916     
       800   800            303.89508      119.83815      15124.694      15039.973      3483.6106      11556.362      1467.6716      3752.753      -4146.5884      152.38593     -2517.4602      44866.56      -32018.96      -390.14273      48475.447      36.46201       36.46201       36.46201       1.2349782      1044.5289     -447.67258     -237.34185    
       900   900            297.41743      2294.162       16636.706      15014.257      3409.3561      11604.901      1502.7947      3758.639      -4144.9359      144.47873     -2485.7284      44855.339     -32025.686     -390.00871      48492.106      36.466186      36.466186      36.466186      1.234554       2139.5218      785.30538      3957.6588    
      1000   1000           298.56673     -226.81554      14869.418      15030.289      3422.5307      11607.758      1532.8615      3760.3988     -4151.949       139.90749     -2464.2857      44810.972     -32020.147     -388.88132      48632.687      36.501392      36.501392      36.501392      1.2309853      645.07507     -9.7081996     -1315.8135    
      1100   1100           300.52783     -669.32605      14642.999      15119.167      3445.0112      11674.156      1543.9663      3812.9081     -4129.1439      156.37747     -2529.3145      44832.641     -32013.279     -387.70269      48780.533      36.538343      36.538343      36.538343      1.2272544     -1001.787      -590.03582     -416.15539    
      1200   1200           305.1031       497.16617      15525.327      15171.495      3497.4585      11674.036      1549.3069      3766.5193     -4152.5873      153.99195     -2531.9801      44897.82      -32009.035     -387.54744      48800.073      36.543221      36.543221      36.543221      1.226763       1315.0288     -567.85567      744.3254     
      1300   1300           303.83084      538.83902      15512.784      15128.56       3482.8743      11645.685      1513.6109      3783.046      -4154.5054      149.45796     -2507.6542      44874.395     -32012.665     -386.80762      48893.409      36.566504      36.566504      36.566504      1.2244211      436.7786       769.57283      410.16564    
      1400   1400           300.28295     -2559.0019      13244.832      15072.161      3442.2041      11629.956      1519.2181      3796.9848     -4100.3939      134.23547     -2548.2913      44841.593     -32013.39      -386.25591      48963.247      36.583906      36.583906      36.583906      1.2226747     -1802.2227     -3584.9761     -2289.8069    
      1500   1500           304.53588      1212.0284      15926.92       15064.577      3490.9563      11573.621      1529.3017      3697.7388     -4157.2903      130.82721     -2446.4704      44840.936     -32021.422     -387.66279      48785.552      36.539596      36.539596      36.539596      1.2271281      3007.0992     -57.709509      686.69538    
      1600   1600           299.70015      185.91527      15195.656      15063.653      3435.5233      11628.129      1477.6128      3801.9784     -4067.3731      141.56659     -2538.1331      44838.628     -32026.15      -388.46544      48684.751      36.514413      36.514413      36.514413      1.2296689      1347.3824      1172.1482     -1961.7848    
      1700   1700           296.27342     -650.7285       14642.745      15104.401      3396.242       11708.159      1576.6486      3750.8358     -4108.6722      172.90146     -2474.5868      44808.69      -32017.658     -388.77949      48645.424      36.504578      36.504578      36.504578      1.230663      -62.53539      -1377.6524     -511.99765    
