step,volume,temperature,pressure
1000000.0,75057.238,301.18228,-46.170204
1001000.0,74614.033,299.4835,741.88501
1002000.0,74812.176,298.26188,-208.41393
1003000.0,75085.415,296.85471,986.54197
1004000.0,74848.295,290.15942,-127.80012
1005000.0,74283.328,304.53282,1126.6823
1006000.0,74858.447,293.89748,111.82968
1007000.0,75007.177,303.82174,687.34437
1008000.0,75004.887,299.8266,790.44212
1009000.0,74473.907,297.69283,-404.75386
1010000.0,75022.651,300.18166,-263.32569
1011000.0,75200.213,300.313,-489.06262
1012000.0,74938.57,302.1788,-325.88073
1013000.0,75510.976,294.04492,538.3215
1014000.0,74891.661,296.26612,1172.2561
1015000.0,74963.574,303.92615,-1343.7003
1016000.0,75057.604,296.64465,3.376596
1017000.0,74646.741,297.24014,1113.7296
1018000.0,74462.987,299.91066,315.76894
1019000.0,74826.004,299.40461,964.26366
1020000.0,74009.509,298.98194,1271.6093
1021000.0,74802.28,299.99956,-902.70851
1022000.0,74655.065,301.38559,-490.66203
1023000.0,75108.348,301.02481,-891.65847
1024000.0,74555.1,299.87638,-1276.0054
1025000.0,75084.469,301.06094,-830.95129
1026000.0,74833.547,295.48447,298.74389
1027000.0,74437.474,295.32615,354.33114
1028000.0,74835.118,303.51072,233.32919
1029000.0,74789.992,302.41406,-1015.539
1030000.0,75186.342,293.21355,-810.12615
1031000.0,74735.284,296.08715,478.70087
1032000.0,74948.074,301.7208,490.05846
1033000.0,74807.938,298.35046,63.31393
1034000.0,74508.577,299.61484,-242.24443
1035000.0,74642.92,296.94199,2032.3868
1036000.0,74435.181,300.94575,241.9665
1037000.0,74282.216,302.02197,902.08079
1038000.0,74817.511,293.35678,-76.954786
1039000.0,74523.952,300.19917,-347.59133
1040000.0,74784.948,300.8848,497.27677
1041000.0,74744.229,301.64543,-8.3947376
1042000.0,74855.181,300.45884,5.1977951
1043000.0,74825.079,299.80239,400.28344
1044000.0,74890.505,298.46988,820.2123
1045000.0,74877.686,301.85006,-494.80418
1046000.0,74720.793,300.20822,-407.1474
1047000.0,74963.54,303.61871,1058.8654
1048000.0,75020.681,301.1272,-666.66122
1049000.0,74655.876,300.40587,-168.53315
1050000.0,75275.512,301.14104,-401.46093
1051000.0,74761.957,301.68584,-453.60683
1052000.0,74612.904,299.80561,-281.79978
1053000.0,74881.034,300.09788,118.42575
1054000.0,74921.624,301.88087,-384.20827
1055000.0,74649.583,302.20468,-166.10422
1056000.0,74758.481,303.16476,1248.3031
1057000.0,74630.3,296.46525,75.522942
1058000.0,75084.69,302.86357,-914.28339
1059000.0,75477.231,301.07954,-290.8406
1060000.0,74969.441,296.78264,-542.94957
1061000.0,74758.726,300.94786,-179.14274
1062000.0,74930.087,298.74508,-217.20594
1063000.0,74998.98,298.78912,-329.76874
1064000.0,74718.936,301.94696,-705.70227
1065000.0,74905.812,293.41973,-863.65222
1066000.0,75243.747,299.66142,-836.9703
1067000.0,75200.601,302.86235,202.6942
1068000.0,74729.353,303.99372,-109.25108
1069000.0,74863.005,301.86028,-593.10262
1070000.0,75006.535,300.93723,-512.57766
1071000.0,75136.818,300.24142,-687.20363
1072000.0,74898.021,297.56805,83.770951
1073000.0,74965.376,299.75044,-1460.078
1074000.0,75059.349,303.87156,622.06612
1075000.0,74334.163,301.29293,-259.01328
1076000.0,74623.127,293.20911,-125.18164
1077000.0,74915.411,301.5508,-153.92782
1078000.0,74990.569,298.71435,326.86114
1079000.0,75008.992,306.10787,1286.6927
1080000.0,75033.336,303.37461,-238.05215
1081000.0,75107.8,299.4242,-97.620349
1082000.0,74374.909,307.67944,716.6518
1083000.0,74790.773,301.60868,300.76925
1084000.0,74697.748,296.01549,29.242275
1085000.0,74653.736,299.68968,157.04459
1086000.0,74645.243,298.9715,1044.5432
1087000.0,75282.017,297.1285,-1458.0877
1088000.0,74899.495,301.6385,21.54844
1089000.0,74626.74,296.85129,-135.8252
1090000.0,74992.744,301.57969,778.19977
1091000.0,74889.308,298.11314,499.34038
1092000.0,74987.171,299.91601,535.14792
1093000.0,75541.63,304.27572,-19.999918
1094000.0,74565.116,301.71619,9.6021094
1095000.0,74718.103,296.61381,-280.02185
1096000.0,75155.128,303.1125,730.81508
1097000.0,74993.803,298.75185,170.50172
1098000.0,75641.513,302.81937,-339.80498
1099000.0,74994.964,300.85409,-85.438654
1100000.0,74689.137,306.36578,818.69996
1101000.0,74964.61,298.18887,-874.80027
1102000.0,75109.07,305.73844,-152.02682
1103000.0,74908.058,298.63882,107.4407
1104000.0,74360.324,305.69558,1640.9971
1105000.0,74744.794,302.71567,-88.834968
1106000.0,75108.72,300.74131,382.04193
1107000.0,74996.712,304.62432,432.40114
1108000.0,75008.088,303.21406,-626.90392
1109000.0,74968.442,298.97095,523.46899
1110000.0,74994.885,300.0239,-284.18523
1111000.0,74870.838,302.17774,-618.73481
