step,volume,temperature,pressure
1000000.0,124116.88,299.10365,285.17111
1001000.0,124308.0,297.43426,-524.66764
1002000.0,124276.57,300.52249,224.53485
1003000.0,124515.27,302.0746,-445.11318
1004000.0,124118.73,299.26378,-223.32667
1005000.0,124026.49,297.38498,-583.33905
1006000.0,123920.98,301.65589,-1109.3382
1007000.0,123945.32,299.95879,-68.644114
1008000.0,123965.26,298.82874,1075.4527
1009000.0,124186.88,302.13151,-650.24002
1010000.0,123922.34,298.46428,81.460059
1011000.0,123941.74,299.69349,-427.92112
1012000.0,123553.98,302.4273,-421.23868
1013000.0,123720.62,297.83849,87.688213
1014000.0,124242.27,298.46437,229.01276
1015000.0,124270.22,299.1862,312.10545
1016000.0,124225.42,298.32093,-48.528967
1017000.0,124376.04,301.48959,-1386.1992
1018000.0,124532.5,300.09835,65.690141
1019000.0,123857.9,302.69985,-35.935542
1020000.0,124234.63,301.11327,-277.03449
1021000.0,123870.33,299.54095,-141.54168
1022000.0,123728.99,303.56902,239.31406
1023000.0,123533.51,294.55861,679.31741
1024000.0,124220.07,299.53947,-275.4582
1025000.0,124403.95,301.76492,-447.68105
1026000.0,124136.6,298.6206,-1177.7932
1027000.0,123913.46,297.72423,-98.216367
1028000.0,123681.94,300.4402,76.641119
1029000.0,123290.6,299.82902,-809.72112
1030000.0,123533.37,299.98828,340.63534
1031000.0,123724.3,296.88008,208.3834
1032000.0,123425.11,297.57133,-462.76553
1033000.0,124224.57,298.60105,-464.78523
1034000.0,123509.67,299.84612,1000.3221
1035000.0,123567.47,298.29834,1078.8689
1036000.0,124186.75,302.9212,191.42518
1037000.0,124199.01,298.12045,-255.63265
1038000.0,124806.67,298.0176,-25.761411
1039000.0,123689.42,298.52027,1059.3563
1040000.0,124178.35,297.61372,-587.22308
1041000.0,124125.58,298.05165,53.826044
1042000.0,124029.45,300.85692,1125.8551
1043000.0,124428.89,299.56991,681.44627
1044000.0,124354.3,301.51537,-357.10062
1045000.0,124106.51,299.67788,-99.401151
1046000.0,124399.49,295.01883,-343.70905
1047000.0,124614.91,301.44857,-1082.1553
1048000.0,124242.31,300.25063,-233.99735
1049000.0,124580.95,299.03638,-289.80301
1050000.0,124263.49,297.40945,-695.10149
1051000.0,124107.72,299.44001,-823.78021
1052000.0,124270.18,301.64149,459.73981
1053000.0,124606.58,302.17592,293.78712
1054000.0,124477.35,300.23572,384.19716
1055000.0,124597.1,298.57012,-40.463733
1056000.0,124325.7,297.9935,603.66478
1057000.0,124210.04,298.5589,-215.37393
1058000.0,124368.51,298.0871,-358.84678
1059000.0,124161.74,298.5511,52.041215
1060000.0,124261.07,297.57655,347.60851
1061000.0,124097.76,302.05673,75.86495
1062000.0,124177.59,299.85074,643.37334
1063000.0,124678.95,301.28893,574.90381
1064000.0,124001.15,294.9757,10.583532
1065000.0,124038.06,300.87578,-792.4742
1066000.0,124399.85,302.68034,-14.020764
1067000.0,124126.11,300.0725,-166.11014
1068000.0,124260.7,295.1529,-1589.1985
1069000.0,123886.22,299.13868,988.17974
1070000.0,124270.72,298.7745,338.75187
1071000.0,124407.8,302.59861,194.47704
1072000.0,123558.16,299.51158,196.97523
1073000.0,124574.28,299.32787,-615.36401
1074000.0,124341.82,298.18893,74.369946
1075000.0,124623.35,296.72823,-793.85878
1076000.0,123767.27,299.88934,-165.69337
1077000.0,124194.9,299.42867,-1485.0984
1078000.0,123797.02,297.36898,-141.89182
1079000.0,123953.23,298.70388,-569.08237
1080000.0,123930.52,300.98031,69.193934
1081000.0,124483.88,301.01389,-273.26709
1082000.0,123872.31,303.27717,225.9687
1083000.0,124110.41,303.15517,-839.62997
1084000.0,124543.71,300.83574,850.25863
1085000.0,124145.78,302.86749,-94.873294
1086000.0,124219.45,300.9254,700.39362
1087000.0,123869.06,298.7061,-238.07822
1088000.0,123909.7,297.65708,-9.576667
1089000.0,124027.92,301.14123,-376.19712
1090000.0,123991.08,299.34648,331.29499
1091000.0,124123.34,303.17593,-736.85378
1092000.0,124264.31,303.38711,-523.39217
1093000.0,123890.67,300.53594,-68.599283
1094000.0,123816.12,297.90368,4.3738042
1095000.0,123802.36,299.48446,404.67926
1096000.0,123864.99,303.99192,-211.05709
1097000.0,124036.66,304.05649,-611.80113
1098000.0,124259.09,293.97811,-536.8851
1099000.0,123924.14,299.42221,-782.32128
1100000.0,124133.08,302.82105,470.20471
1101000.0,124081.78,302.26062,-926.93288
1102000.0,124982.03,297.44017,398.92323
1103000.0,124400.91,299.17515,111.82434
1104000.0,124804.26,298.20284,-168.15899
1105000.0,124413.36,300.363,245.83511
1106000.0,124226.46,299.87518,-540.91298
1107000.0,124564.39,299.25612,1024.8626
1108000.0,124251.84,299.19538,-178.58896
1109000.0,124298.53,306.05816,438.45622
1110000.0,124164.74,302.65058,-375.78511
1111000.0,123961.68,301.70021,-40.625309
1112000.0,124250.29,302.59296,46.046796
1113000.0,124287.49,295.7222,-1012.4437
1114000.0,124253.24,300.12298,-327.95314
1115000.0,124096.73,299.25752,499.35046
1116000.0,124244.03,300.92686,23.293856
1117000.0,124351.58,300.99289,-1190.2709
1118000.0,123568.21,296.16217,753.64376
1119000.0,123841.76,300.54942,477.94845
1120000.0,123523.02,301.97421,1006.4659
1121000.0,123999.87,300.54577,779.93447
1122000.0,123862.01,298.40889,887.36925
