Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

Authorization required, but no authorization protocol specified

LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (5.9633458 5.9633458 5.9633458) to (55.929296 55.929296 55.929296)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  10816 atoms
  reading velocities ...
  10816 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  16 = max angles/atom
  scanning dihedrals ...
  38 = max dihedrals/atom
  scanning impropers ...
  12 = max impropers/atom
  orthogonal box = (5.9633458 5.9633458 5.9633458) to (55.929296 55.929296 55.929296)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  11608 bonds
  reading angles ...
  19600 angles
  reading dihedrals ...
  29184 dihedrals
  reading impropers ...
  8000 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
    10 = max # of 1-3 neighbors
    14 = max # of special neighbors
  special bonds CPU = 0.006 seconds
  read_data CPU = 0.398 seconds
Finding SHAKE clusters ...
    3216 = # of size 2 clusters
       0 = # of size 3 clusters
     400 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.004 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.30185545
  grid = 36 36 36
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00028929117
  estimated relative force accuracy = 8.7119176e-07
  using double precision cuFFT
  3d grid and FFT values/proc = 79507 46656
Generated 28 of 28 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 65.42 | 65.42 | 65.42 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              347.76049      370.00426      23628.493      22955.354      9685.0283      13270.325      3576.2355      5082.0704      3839.0734      380.4107      -588.70181      8116.8854     -7135.6482     -876.51014      124744.8       49.96595       49.96595       49.96595       1.1783825      1821.6106     -275.98967     -435.60818    
       100   100            302.82415     -460.46969      20799.859      21639.061      8433.5643      13205.497      3510.2059      5032.2936      3867.584       387.38065     -587.20024      8131.7334     -7136.5001     -874.96317      124965.35      49.99538       49.99538       49.99538       1.1763028     -693.18376     -476.44692     -211.77838    
       200   200            298.72077     -465.9219       20665.356      21516.536      8319.2862      13197.249      3455.0445      5039.7686      3888.3176      357.89531     -529.85604      8126.0539     -7139.9745     -872.86513      125265.72      50.035405      50.035405      50.035405      1.1734822     -174.22238     -1037.8377     -185.70564    
       300   300            298.60123     -1400.8127      18956.266      21522.841      8315.9572      13206.884      3518.5897      5086.7211      3852.3443      369.1977      -619.26105      8136.5643     -7137.2721     -870.32467      125631.37      50.084041      50.084041      50.084041      1.1700668     -1478.0225     -1429.96       -1294.4556    
       400   400            297.32284      7.2642976      21597.509      21584.194      8280.3543      13303.84       3537.3798      5087.7865      3811.0971      383.39683     -503.36722      8124.313      -7136.7665     -869.97804      125681.43      50.090692      50.090692      50.090692      1.1696007     -306.96781      279.47712      49.283586    
       500   500            303.01114     -774.49674      20274.522      21695.209      8438.7719      13256.437      3542.4277      5037.4405      3876.0715      386.10534     -584.44246      8134.5942     -7135.7597     -869.31342      125777.52      50.103455      50.103455      50.103455      1.1687072     -291.31278     -728.04563     -1304.1318    
       600   600            303.67317      431.9725       22516.534      21724.085      8457.2091      13266.876      3576.811       5034.4054      3804.321       379.113       -508.22038      8119.5792     -7139.1333     -869.241        125787.99      50.104846      50.104846      50.104846      1.1686099      1707.4426     -1222.5396      811.01451    
       700   700            300.69063     -679.30929      20355.15       21601.461      8374.1464      13227.315      3470.2659      5012.8826      3917.6012      385.91655     -544.25369      8121.7408     -7136.8388     -869.15357      125800.65      50.106526      50.106526      50.106526      1.1684923     -336.46524     -1749.7464      48.283758    
       800   800            294.75072     -377.44628      20701.97       21394.787      8208.7217      13186.065      3532.7249      4998.3933      3818.388       389.0343      -540.39211      8121.9324     -7134.0154     -868.74445      125859.89      50.11439       50.11439       50.11439       1.1679423     -81.815363     -513.83701     -536.68647    
       900   900            295.92732     -464.7962       20615.827      21469.573      8241.4895      13228.084      3525.4651      5076.4647      3834.8758      382.27144     -579.99668      8122.1669     -7133.1637     -868.13906      125947.66      50.126037      50.126037      50.126037      1.1671284     -503.34789     -921.83499      30.794293    
