step,volume,temperature,pressure
750000.0,202242.69,301.43872,-759.32778
751000.0,201288.52,297.58581,-348.80261
752000.0,200530.86,304.25183,-325.61017
753000.0,200157.93,301.94559,185.50634
754000.0,201089.3,296.4577,-152.83874
755000.0,201024.61,296.40681,-417.00694
756000.0,202151.18,300.99836,367.28672
757000.0,201900.26,304.58565,191.87927
758000.0,202123.18,297.61695,-354.12473
759000.0,201052.27,299.69047,6.5595489
760000.0,201512.43,301.21591,267.43388
761000.0,200443.14,300.28656,92.090292
762000.0,200712.87,301.04212,140.60766
763000.0,200705.72,302.17194,-28.645367
764000.0,201320.64,301.87233,543.97367
765000.0,200975.9,302.56787,102.09674
766000.0,199849.83,296.29926,94.109063
767000.0,200303.28,298.82497,-165.79521
768000.0,200738.89,299.97871,-238.24563
769000.0,201304.23,302.42242,242.672
770000.0,200588.09,299.87557,54.067109
771000.0,201413.26,302.56615,92.53466
772000.0,201299.09,301.60024,-256.70331
773000.0,200899.7,297.24218,-228.97837
774000.0,201196.88,299.62298,1.7271477
775000.0,201287.26,305.70545,90.874297
776000.0,200219.76,298.45867,43.592285
777000.0,201057.27,304.07154,-146.68832
778000.0,199461.07,302.43642,519.50847
779000.0,200091.25,302.50752,-101.01482
780000.0,200646.15,297.16401,-187.96722
781000.0,200966.9,302.56509,-35.203086
782000.0,201329.14,301.17726,-170.95275
783000.0,201490.84,298.3098,313.57024
784000.0,200709.79,296.47951,550.13047
785000.0,200894.9,301.18694,120.44854
786000.0,201640.04,295.41417,-136.39146
787000.0,200749.66,297.25463,275.54559
788000.0,201433.02,294.19526,145.62723
789000.0,200933.81,297.85985,637.23551
790000.0,201794.93,296.30809,-763.6904
791000.0,200783.17,298.91827,-15.087771
792000.0,200701.19,303.46923,-78.926817
793000.0,201024.01,297.18935,-695.74983
794000.0,200570.1,299.76459,-274.31056
795000.0,201334.93,296.72559,377.47263
796000.0,200506.05,303.26583,-198.70199
797000.0,200981.7,299.15436,-449.42873
798000.0,201533.34,297.72646,-437.17003
799000.0,200508.5,302.59818,135.53259
800000.0,200823.94,300.8209,-478.14011
801000.0,201430.67,303.99909,-277.43902
802000.0,201295.95,297.22845,-145.67276
803000.0,201244.01,301.24009,-336.26288
804000.0,200959.34,297.43977,-765.14511
805000.0,200320.1,304.19688,78.161619
806000.0,201545.53,297.09473,103.7896
807000.0,200209.42,304.8278,301.00694
808000.0,200685.35,302.77255,-278.38187
809000.0,201293.86,299.95869,-173.10326
810000.0,199733.1,300.50092,140.27346
811000.0,201241.25,301.13073,-77.121207
812000.0,200726.55,297.54355,520.12438
813000.0,200104.48,305.89352,212.13557
814000.0,202205.74,302.33398,132.09163
815000.0,201857.66,298.81556,182.85724
816000.0,202025.33,298.72242,-130.66056
817000.0,201570.67,299.70315,201.01954
818000.0,202157.8,298.23403,-483.92039
819000.0,201929.88,296.19758,-178.56207
820000.0,200853.75,298.09505,502.09339
821000.0,202067.77,295.01119,93.818805
822000.0,201237.96,301.8164,-23.342099
823000.0,200920.7,299.98009,182.45456
824000.0,201168.16,299.29338,-294.89878
825000.0,200789.08,298.6044,148.6336
826000.0,200969.77,299.35742,231.39274
827000.0,201219.13,304.47376,-217.11232
828000.0,201293.95,296.55717,787.0304
829000.0,201839.99,299.73656,494.23756
830000.0,200063.42,298.11005,256.61204
831000.0,199850.38,302.96808,8.5475623
832000.0,201226.95,300.50138,-170.31783
833000.0,201284.81,298.85216,106.31468
834000.0,199553.55,303.33154,18.932889
835000.0,200104.29,300.62493,-714.72548
836000.0,200424.47,294.7911,-172.44716
837000.0,201151.32,303.09974,-59.437669
838000.0,201257.66,297.31286,50.075763
839000.0,201589.09,302.37907,-244.26147
840000.0,200514.17,294.31761,472.34679
841000.0,202112.83,298.50381,-152.43768
842000.0,201486.89,301.85735,89.723413
843000.0,201325.07,298.56512,95.668352
844000.0,201295.45,300.5415,77.028672
845000.0,201330.74,294.63778,254.85962
