r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,0.00000
1.4183,0.00000
1.5150,18.58413
1.6117,7.90400
1.7083,0.03645
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00000
2.2883,0.00000
2.3850,0.01870
2.4817,1.05380
2.5783,4.00112
2.6750,3.43469
2.7717,0.64402
2.8683,0.00647
2.9650,0.04841
3.0617,0.11918
3.1583,0.42133
3.2550,0.57744
3.3517,0.46884
3.4483,0.32213
3.5450,0.19050
3.6417,0.14041
3.7383,0.13704
3.8350,0.28577
3.9317,1.02905
4.0283,1.18680
4.1250,0.39708
4.2217,0.19104
4.3183,0.29385
4.4150,0.38757
4.5117,0.53580
4.6083,0.72900
4.7050,0.83875
4.8017,0.76378
4.8983,0.75167
4.9950,0.88918
5.0917,0.93167
5.1883,1.14433
5.2850,1.08571
5.3817,0.99746
5.4783,1.04589
5.5750,1.13147
5.6717,1.11473
5.7683,1.21519
5.8650,1.24661
5.9617,1.24094
6.0583,1.22775
6.1550,1.16702
6.2517,1.20744
6.3483,1.20131
6.4450,1.25264
6.5417,1.28427
6.6383,1.23627
6.7350,1.22919
6.8317,1.17071
6.9283,1.15490
7.0250,1.13843
7.1217,1.21263
7.2183,1.14769
7.3150,1.10961
7.4117,1.08182
7.5083,1.04471
7.6050,1.06615
7.7017,1.01355
7.7983,1.02532
7.8950,1.02426
7.9917,0.98714
8.0883,0.95311
8.1850,0.94503
8.2817,0.96964
8.3783,0.93527
8.4750,0.93331
8.5717,0.94062
8.6683,0.91622
8.7650,0.88504
8.8617,0.90649
8.9583,0.95001
9.0550,0.91945
9.1517,0.93126
9.2483,0.88515
9.3450,0.87972
9.4417,0.95073
9.5383,0.92337
9.6350,0.92442
9.7317,0.91850
9.8283,0.94459
9.9250,0.95490
10.0217,0.97418
10.1183,0.95046
10.2150,0.93357
10.3117,0.99121
10.4083,1.00087
10.5050,0.97579
10.6017,1.00304
10.6983,1.02312
10.7950,1.02816
10.8917,0.94586
10.9883,1.02402
11.0850,0.98416
11.1817,1.02977
11.2783,1.04314
11.3750,1.01439
11.4717,1.06245
11.5683,1.00502
11.6650,1.06819
11.7617,1.03763
11.8583,1.05332
11.9550,1.01476
12.0517,1.02053
12.1483,1.03608
12.2450,1.05952
12.3417,1.05068
12.4383,1.04300
12.5350,1.01140
12.6317,1.01666
12.7283,1.03280
12.8250,1.02149
12.9217,1.04196
13.0183,1.00645
13.1150,1.02260
13.2117,1.00586
13.3083,0.98139
13.4050,0.98002
13.5017,0.99201
13.5983,1.00816
13.6950,1.01185
13.7917,1.01087
13.8883,0.96678
13.9850,0.96380
14.0817,0.95302
14.1783,0.99750
14.2750,0.98665
14.3717,0.98991
14.4683,0.99655
14.5650,0.98562
14.6617,0.97787
14.7583,0.97658
14.8550,0.98392
14.9517,0.99742
